"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.12496769570062,-3.78463665036251,1.70467337836494
"pse...2",-10.1154731540009,0.792240034788847,6.12496774479181,-3.78436415065116,1.70525656036233
"pse...3",-14.088248074986,0.241769740357995,6.12496774021156,-3.78413521702443,1.70448451630822
"pse...4",-2.21503028646111,1.23571576131508,6.12496771097229,-3.78460833413921,1.70509676913124
"pse...5",-7.10375221911818,0.952647742349654,6.12496771291963,-3.78469187535586,1.70501248940806
"pse...6",10.8695699600503,0.297757264226675,6.12496773802805,-3.78480153910197,1.70497546218026
"pse...7",-9.58709761267528,1.99854662409052,6.12496771457659,-3.78456071071804,1.70445937439958
"pse...8",10.252235471271,0.285298119764775,6.12496782687904,-3.78495755339957,1.70450827943912
"pse...9",-4.65454840566963,1.77925090771168,6.12496769129734,-3.78463359424575,1.70473480212217
"pse...10",-5.40455113397911,1.41803166735917,6.12496771278061,-3.7841938248117,1.7049430525883
"pse...11",3.8445515697822,0.87634513201192,6.12496778746407,-3.78490839557164,1.70506953988283
"pse...12",-4.80311915511265,1.86618517432362,6.12496772518494,-3.78470075438355,1.70454517866913
"pse...13",6.38863236643374,1.26170374592766,6.12496768583014,-3.78438871509236,1.7049710942662
"pse...14",7.39348310278729,0.22290057502687,6.12496773771895,-3.78481786425577,1.70488335493576
"pse...15",-6.80134454509243,0.197036178316921,6.1249676981404,-3.78459419660699,1.70502453388901
"pse...16",7.7258844813332,1.32718420773745,6.12496779489039,-3.7845393232056,1.70542440692378
"pse...17",6.73083281842992,0.917893062811345,6.1249677021526,-3.78464920628054,1.70499019966639
"pse...18",5.23195741698146,1.40102722961456,6.12496772998333,-3.78478909129126,1.70473217658897
"pse...19",9.45216655964032,1.38236297573894,6.12496775780793,-3.78406207815579,1.70498167049085
"pse...20",6.49237031349912,1.7811597827822,6.1249677756156,-3.78482485147633,1.70517751100912
"pse...21",-4.79109353385866,1.33712569065392,6.1249676821618,-3.78440718839085,1.70462337757491
"pse...22",-3.47238088957965,0.470226733479649,6.12496776282334,-3.78439218142431,1.70424190016168
"pse...23",11.6549108549953,1.60290331766009,6.12496783374371,-3.78435130210499,1.70405767887306
"pse...24",2.89283210411668,1.95403548283502,6.12496770270602,-3.78419761793875,1.70471731241615
"pse...25",-5.15685097547248,1.61036005662754,6.12496770140776,-3.78469276001981,1.70481421067191
"pse...26",-14.030538580846,0.896579755470157,6.12496772722331,-3.7843818108109,1.70519711992153
"pse...27",-7.0580484601669,0.818535035476089,6.1249678260817,-3.78439901507335,1.70407327673419
"pse...28",-9.16209599236026,1.08697502827272,6.12496774344337,-3.78405849342252,1.70469947004627
"pse...29",13.0531110288575,1.54807522054762,6.12496811830964,-3.78376653039868,1.70559824585617
"pse...30",14.9064975022338,1.6452516829595,6.1249677063191,-3.78441647308999,1.70445764133586
"pse...31",-3.24883968103677,0.770498960278928,6.12496768547251,-3.78441559239714,1.70459070349063
"pse...32",11.9741340028122,0.637706046923995,6.12496772188842,-3.78474085058654,1.70465089527755
"pse...33",-8.73934552771971,1.12835434125736,6.12496771449815,-3.78425429035278,1.70448627397548
"pse...34",-0.537466944660991,0.13022926542908,6.1249677263221,-3.78411131784191,1.70469271399585
"pse...35",-7.16167943319306,0.660671283490956,6.12496789694972,-3.78422152156032,1.70558227968036
"pse...36",-5.0830762507394,0.18470659153536,6.12496770455039,-3.78454929531176,1.7045047668549
"pse...37",5.81980582326651,0.232979252003133,6.12496769044215,-3.78463746789465,1.70479011385188
"pse...38",11.1179193668067,0.257341200485826,6.12496781540778,-3.78393339720239,1.70499911243572
"pse...39",10.0613391492516,0.475383792072535,6.12496775774003,-3.78402742452473,1.70485253581609
"pse...40",-1.48744178703055,1.66859723208472,6.1249681450225,-3.78545287022368,1.70473988792672
"pse...41",4.97390852775425,1.08823836874217,6.12496770902575,-3.78468985159299,1.70498071170752
"pse...42",4.86875790869817,1.74702454963699,6.12496777184784,-3.78407140868232,1.70508417064401
"pse...43",5.05164217902347,0.427090503741056,6.12496770360891,-3.78442187326825,1.7051008945527
"pse...44",-2.42776960367337,0.925551891792566,6.12496776779828,-3.7840579741114,1.7044597376349
"pse...45",3.56426098616794,0.967452389188111,6.12496780839603,-3.78478925912305,1.70534495538389
"pse...46",7.68813236150891,0.443223801441491,6.12496801439601,-3.78374629150242,1.70409347358021
"pse...47",14.7353828768246,1.95945909665897,6.12496773855655,-3.78420036800933,1.70511459798284
"pse...48",10.7708918815479,0.483028418850154,6.12496774177535,-3.78408350313427,1.70491020538939
"pse...49",3.93997715553269,1.48809128301218,6.12496770992617,-3.78438639571142,1.70444267907516
"pse...50",8.23211068287492,1.34967308910564,6.1249677598618,-3.78409529027837,1.70506597465876
"pse...51",7.40335321985185,1.94818443665281,6.12496769325556,-3.78425800797465,1.70487351111915
"pse...52",-10.8701321901754,1.49083702685311,6.12496772202386,-3.78418337802373,1.70452578262374
"pse...53",-4.91306316806003,1.29541683150455,6.12496772546291,-3.78411191568358,1.70471566715206
"pse...54",11.4502522791736,0.856978599913418,6.12496776314621,-3.78401831220759,1.70487731834308
"pse...55",13.3049145620316,0.505520246457309,6.1249678054462,-3.78497836094571,1.70493119859583
"pse...56",14.6616448508576,1.8122444706969,6.12496770323724,-3.7843200369449,1.7045031050611
"pse...57",-14.4168034312315,1.10677122045308,6.12496779347426,-3.78495667437171,1.70488759716579
"pse...58",-4.75212800083682,1.26142082549632,6.12496773976912,-3.78457374169387,1.70524498104012
"pse...59",3.54894902324304,1.8458823855035,6.12496780234075,-3.78494332545005,1.70461320355139
"pse...60",7.70932551473379,0.504852851387113,6.12496776750579,-3.78400231312607,1.70463668752977
"pse...61",10.1540609216318,0.877452055457979,6.12496826504798,-3.78402257948339,1.70604780821343
"pse...62",-3.35457114502788,1.30771703599021,6.12496768577543,-3.78437101412819,1.70495884506938
"pse...63",-14.1814183071256,0.772552878130227,6.12496788534302,-3.78429746533511,1.70395341836578
"pse...64",-11.3923907722346,0.298589018173516,6.12496778018565,-3.7840152249138,1.70500912912201
"pse...65",10.5546809127554,1.64232668047771,6.12496792950202,-3.7849524775019,1.70552267326184
"pse...66",-1.58624636242166,1.76318219350651,6.12496769410887,-3.78425522044901,1.70487892019924
"pse...67",9.02730766218156,0.946886072400957,6.12496820135153,-3.78508085653441,1.70592697373081
"pse...68",-4.34705653460696,1.51056965626776,6.12496772008055,-3.78470680184024,1.7045896154584
"pse...69",10.5775444814935,0.197961130645126,6.12496785854395,-3.78508162602958,1.70487340353247
"pse...70",9.67875403119251,1.63090453203768,6.12496775791303,-3.78404842077873,1.70455056625043
"pse...71",-12.9113126196899,0.490221036132425,6.12496778128713,-3.78463374212263,1.70536159061239
"pse...72",-9.6570376935415,0.592606540769339,6.12496771643757,-3.7843249856192,1.70512254514181
"pse...73",-1.01491556502879,0.162787829060107,6.12496776075625,-3.7840213554671,1.70462607698989
"pse...74",-9.20684207696468,0.560268068686128,6.12496769306208,-3.78460724204586,1.70496502374135
"pse...75",7.50526732066646,0.456328784115613,6.12496783413884,-3.78414741269096,1.70538858411346
"pse...76",-0.964850359596312,0.131362666375935,6.12496778443436,-3.78395748488685,1.70479660300587
"pse...77",-1.49918372975662,0.340183107182384,6.12496775848204,-3.78408842657963,1.70445657447577
"pse...78",-4.53343437518924,1.10467529250309,6.12496768509082,-3.78455920778945,1.70466360065927
"pse...79",0.201385330874473,0.916464297100902,6.12496770411272,-3.78424149011612,1.70496006729139
"pse...80",-11.0994633939117,0.193895271513611,6.12496772118356,-3.78416737144784,1.70495741386793
"pse...81",2.59267499204725,0.0701830568723381,6.12496777454444,-3.78398993511413,1.7046083454873
"pse...82",13.7800922594033,1.27078649029136,6.1249678324801,-3.78455646408764,1.7055158558895
"pse...83",-1.42774465028197,1.2381923426874,6.1249677093037,-3.78436313297972,1.70510907245111
"pse...84",5.59740613913164,1.46605204930529,6.1249677296915,-3.78449058978593,1.70436454992817
"pse...85",1.68631760403514,0.939637712202966,6.12496780873648,-3.78390400071356,1.70471777258868
"pse...86",3.62839557230473,1.50440234225243,6.12496785328523,-3.78394526682822,1.7042725901176
"pse...87",10.1972509059124,0.937859548255801,6.12496782478406,-3.78437193967973,1.70407705471281
"pse...88",-5.93115591444075,0.791502819862217,6.12496771859057,-3.78473252816191,1.70497716642907
"pse...89",-8.70618156390265,1.84467114927247,6.12496777892765,-3.78492222913384,1.70476590946916
"pse...90",-14.183136227075,0.426073682960123,6.12496769089174,-3.784296547609,1.704924730723
"pse...91",-12.5281405029818,0.70525020128116,6.12496772516225,-3.78415721642965,1.70454924398666
"pse...92",4.97754934011027,1.05745945218951,6.12496771796381,-3.7847435872531,1.70470614308412
"pse...93",-3.46612612484023,1.70694530382752,6.12496774894435,-3.78404676802131,1.70466561894827
"pse...94",14.660883480683,1.75981011567637,6.12496781442674,-3.78395063480931,1.7050418974159
"pse...95",-11.336743561551,0.264785300008953,6.12496771843688,-3.78443872459497,1.7044016032716
"pse...96",11.7801800114103,1.84490755945444,6.12496778528291,-3.78492763194438,1.70497653071559
"pse...97",-12.9766115080565,0.707821612711996,6.12496823583595,-3.78549459008341,1.70445735080946
"pse...98",-2.74769260548055,0.223694822750986,6.12496770256944,-3.78419960776153,1.70481834239675
"pse...99",-8.85829110397026,0.0914246751926839,6.12496777782676,-3.78477467430857,1.70439581074494
"pse...100",-12.2183166956529,0.399198307655752,6.12496773579708,-3.78414571255527,1.70501929019407
