"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.56334293220684,2.90534759054014,1.80683335047545
"pse...2",-10.1154731540009,0.792240034788847,6.5633430000598,2.90515907732202,1.80742086346963
"pse...3",-14.088248074986,0.241769740357995,6.56334320316927,2.9042001414405,1.80718698781469
"pse...4",-2.21503028646111,1.23571576131508,6.56334292631148,2.90533326308573,1.80680183321173
"pse...5",-7.10375221911818,0.952647742349654,6.56334292354561,2.90479588626336,1.80654020996818
"pse...6",10.8695699600503,0.297757264226675,6.56334289901788,2.90521110215903,1.80676560932649
"pse...7",-9.58709761267528,1.99854662409052,6.56334291905758,2.90529883854209,1.80682640043988
"pse...8",10.252235471271,0.285298119764775,6.56334305895693,2.90533136135343,1.80587982926882
"pse...9",-4.65454840566963,1.77925090771168,6.56334294315951,2.90467418512879,1.80688855168596
"pse...10",-5.40455113397911,1.41803166735917,6.56334294474695,2.90540681852439,1.80672135471049
"pse...11",3.8445515697822,0.87634513201192,6.56334291554713,2.90477243034414,1.80676451558863
"pse...12",-4.80311915511265,1.86618517432362,6.56334300279603,2.90479287499916,1.80613664295057
"pse...13",6.38863236643374,1.26170374592766,6.5633429419542,2.90539170797196,1.80654941952371
"pse...14",7.39348310278729,0.22290057502687,6.56334294992534,2.90470444570023,1.80708873430384
"pse...15",-6.80134454509243,0.197036178316921,6.56334290518155,2.90518989149444,1.80648914888951
"pse...16",7.7258844813332,1.32718420773745,6.56334291453698,2.90492097283071,1.80643137135888
"pse...17",6.73083281842992,0.917893062811345,6.56334297773199,2.90463332870787,1.80714397566121
"pse...18",5.23195741698146,1.40102722961456,6.56334292185651,2.90532865397308,1.80664527382437
"pse...19",9.45216655964032,1.38236297573894,6.56334313336016,2.90429873875992,1.80664739634678
"pse...20",6.49237031349912,1.7811597827822,6.5633429577107,2.9047359675759,1.80640754749758
"pse...21",-4.79109353385866,1.33712569065392,6.56334301270236,2.9050308935581,1.80750756057777
"pse...22",-3.47238088957965,0.470226733479649,6.56334293903755,2.90495046697659,1.80724021041321
"pse...23",11.6549108549953,1.60290331766009,6.56334294084826,2.90498087874192,1.8062474601286
"pse...24",2.89283210411668,1.95403548283502,6.56334292326114,2.90501722118355,1.8071610159893
"pse...25",-5.15685097547248,1.61036005662754,6.56334296717338,2.90492073394259,1.80616793857746
"pse...26",-14.030538580846,0.896579755470157,6.56334296998476,2.90464434256041,1.80711164036733
"pse...27",-7.0580484601669,0.818535035476089,6.56334298698717,2.90482685477231,1.80740116195317
"pse...28",-9.16209599236026,1.08697502827272,6.56334292966827,2.90535606593124,1.80673100558455
"pse...29",13.0531110288575,1.54807522054762,6.56334361522282,2.90403666327731,1.80812622695075
"pse...30",14.9064975022338,1.6452516829595,6.5633429823498,2.90461548301001,1.80713499351866
"pse...31",-3.24883968103677,0.770498960278928,6.5633432813982,2.9056061959659,1.80770830422611
"pse...32",11.9741340028122,0.637706046923995,6.56334303298016,2.90447414007337,1.80662944945344
"pse...33",-8.73934552771971,1.12835434125736,6.56334295319036,2.90542817141377,1.80675749524822
"pse...34",-0.537466944660991,0.13022926542908,6.56334300985841,2.90518815066452,1.80743528393742
"pse...35",-7.16167943319306,0.660671283490956,6.56334296964766,2.90521423660678,1.8072737267907
"pse...36",-5.0830762507394,0.18470659153536,6.56334295726396,2.9047486606289,1.8072080809531
"pse...37",5.81980582326651,0.232979252003133,6.5633430501923,2.90475063561584,1.8075731157616
"pse...38",11.1179193668067,0.257341200485826,6.56334298318463,2.90502484013182,1.80741385167086
"pse...39",10.0613391492516,0.475383792072535,6.56334294769617,2.90465632242829,1.80681608150832
"pse...40",-1.48744178703055,1.66859723208472,6.56334292687277,2.90489417003859,1.80715813703568
"pse...41",4.97390852775425,1.08823836874217,6.56334290356919,2.90509092203835,1.80700847401632
"pse...42",4.86875790869817,1.74702454963699,6.5633429220059,2.90480526863758,1.80703809119745
"pse...43",5.05164217902347,0.427090503741056,6.56334305654287,2.90478464908808,1.80760743373963
"pse...44",-2.42776960367337,0.925551891792566,6.56334290604417,2.90525434180751,1.80663599984637
"pse...45",3.56426098616794,0.967452389188111,6.56334291230984,2.90527590591457,1.80657509123228
"pse...46",7.68813236150891,0.443223801441491,6.56334291083637,2.90484389657118,1.80656745064225
"pse...47",14.7353828768246,1.95945909665897,6.56334298885036,2.90542166365441,1.80622505242743
"pse...48",10.7708918815479,0.483028418850154,6.56334316063294,2.90570001182009,1.80722977047013
"pse...49",3.93997715553269,1.48809128301218,6.56334289084942,2.90495295264261,1.80686632645598
"pse...50",8.23211068287492,1.34967308910564,6.56334301733616,2.90463126072159,1.80735556158723
"pse...51",7.40335321985185,1.94818443665281,6.56334295155656,2.90540333676815,1.80645864364301
"pse...52",-10.8701321901754,1.49083702685311,6.56334291467993,2.90513312917535,1.80706158777837
"pse...53",-4.91306316806003,1.29541683150455,6.56334292301064,2.90474664472817,1.80688126261461
"pse...54",11.4502522791736,0.856978599913418,6.56334302384157,2.90501101769855,1.80594225339019
"pse...55",13.3049145620316,0.505520246457309,6.56334297837081,2.90546856060313,1.80639933378126
"pse...56",14.6616448508576,1.8122444706969,6.56334293400546,2.90476192989372,1.80652173453506
"pse...57",-14.4168034312315,1.10677122045308,6.56334292237079,2.90522674613438,1.80701516234698
