"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,5.856540421358,-2.41038274367281,1.17322998037279
"pse...2",-10.1154731540009,0.792240034788847,5.85654048849156,-2.41041067392377,1.17374688701008
"pse...3",-14.088248074986,0.241769740357995,5.85654042167088,-2.41039720205033,1.17319639479256
"pse...4",-2.21503028646111,1.23571576131508,5.85654047600591,-2.41030332393562,1.17360719118043
"pse...5",-7.10375221911818,0.952647742349654,5.85654056614136,-2.41101122783388,1.17329541424637
"pse...6",10.8695699600503,0.297757264226675,5.85654053890151,-2.41054305175024,1.17279611342967
"pse...7",-9.58709761267528,1.99854662409052,5.85654046007029,-2.41056413842208,1.17370955004927
"pse...8",10.252235471271,0.285298119764775,5.85654044049854,-2.41034095342942,1.17320300367807
"pse...9",-4.65454840566963,1.77925090771168,5.85654041912819,-2.41037778815569,1.17326507894493
"pse...10",-5.40455113397911,1.41803166735917,5.8565404153756,-2.4104624366499,1.17314306609593
"pse...11",3.8445515697822,0.87634513201192,5.85654056051445,-2.41086147074504,1.17372684003701
"pse...12",-4.80311915511265,1.86618517432362,5.85654042055206,-2.41062565867757,1.17356972391241
"pse...13",6.38863236643374,1.26170374592766,5.8565404448831,-2.4103411900217,1.17317731015624
"pse...14",7.39348310278729,0.22290057502687,5.85654049079504,-2.41076983792973,1.17366695592307
"pse...15",-6.80134454509243,0.197036178316921,5.85654040149121,-2.41068761055161,1.17336842303373
"pse...16",7.7258844813332,1.32718420773745,5.85654041558745,-2.41041022340677,1.17321131343935
"pse...17",6.73083281842992,0.917893062811345,5.85654043365998,-2.41078097467711,1.17321849039303
"pse...18",5.23195741698146,1.40102722961456,5.85654046064066,-2.41075643303478,1.17303584556732
"pse...19",9.45216655964032,1.38236297573894,5.85654048419777,-2.41061831443568,1.17290183618654
"pse...20",6.49237031349912,1.7811597827822,5.85654046171808,-2.41073419532048,1.17301075853772
"pse...21",-4.79109353385866,1.33712569065392,5.85654043377133,-2.41078425815331,1.17323120256587
"pse...22",-3.47238088957965,0.470226733479649,5.85654040721058,-2.41067275862763,1.17318389537506
"pse...23",11.6549108549953,1.60290331766009,5.85654045319438,-2.41071939681045,1.1730254959195
"pse...24",2.89283210411668,1.95403548283502,5.85654041324721,-2.41044344354637,1.17351735410446
"pse...25",-5.15685097547248,1.61036005662754,5.85654048139311,-2.41065282462165,1.17373370357231
"pse...26",-14.030538580846,0.896579755470157,5.85654117350948,-2.41131733498509,1.17252685579077
"pse...27",-7.0580484601669,0.818535035476089,5.85654042228361,-2.4106398712888,1.17356786584658
"pse...28",-9.16209599236026,1.08697502827272,5.85654044047958,-2.41077994927926,1.17316187926926
"pse...29",13.0531110288575,1.54807522054762,5.85654043012367,-2.4104328018744,1.1731076788132
"pse...30",14.9064975022338,1.6452516829595,5.85654041822561,-2.41038404122068,1.17345032085289
"pse...31",-3.24883968103677,0.770498960278928,5.85654047449552,-2.4104318986976,1.17297100286615
"pse...32",11.9741340028122,0.637706046923995,5.85654052865563,-2.41087461257699,1.17362603016017
"pse...33",-8.73934552771971,1.12835434125736,5.85654044950007,-2.41044877747149,1.17302818313261
"pse...34",-0.537466944660991,0.13022926542908,5.85654039807027,-2.41067723462712,1.17332751739988
"pse...35",-7.16167943319306,0.660671283490956,5.85654041410238,-2.41041154999222,1.1734788560973
"pse...36",-5.0830762507394,0.18470659153536,5.85654046870704,-2.41054509443889,1.17373236577155
"pse...37",5.81980582326651,0.232979252003133,5.85654040911341,-2.41041563034419,1.17344533580955
"pse...38",11.1179193668067,0.257341200485826,5.85654063554858,-2.41100600941171,1.17366304063557
"pse...39",10.0613391492516,0.475383792072535,5.85654047244383,-2.41086702437553,1.17337945306899
"pse...40",-1.48744178703055,1.66859723208472,5.85654038689765,-2.4105636241882,1.1732890159905
"pse...41",4.97390852775425,1.08823836874217,5.85654041378631,-2.41055905540282,1.17356474549597
"pse...42",4.86875790869817,1.74702454963699,5.85654051316218,-2.41034469338742,1.17376177332053
"pse...43",5.05164217902347,0.427090503741056,5.85654058846438,-2.41024583293966,1.17383522730106
"pse...44",-2.42776960367337,0.925551891792566,5.85654040629481,-2.41044974239112,1.17348147698464
"pse...45",3.56426098616794,0.967452389188111,5.8565404470972,-2.41072027916969,1.1730468868501
"pse...46",7.68813236150891,0.443223801441491,5.85654042212726,-2.41068173420171,1.17353139207027
"pse...47",14.7353828768246,1.95945909665897,5.85654047058906,-2.41086899989834,1.1732848272724
"pse...48",10.7708918815479,0.483028418850154,5.85654098566865,-2.40977867505041,1.17307483066985
"pse...49",3.93997715553269,1.48809128301218,5.8565404639589,-2.41062361446366,1.17370423676722
"pse...50",8.23211068287492,1.34967308910564,5.85654047475638,-2.41080780951868,1.17356504074004
"pse...51",7.40335321985185,1.94818443665281,5.85654041244695,-2.41054173001555,1.1731118452076
"pse...52",-10.8701321901754,1.49083702685311,5.85654049167023,-2.41068899532394,1.1729042896963
"pse...53",-4.91306316806003,1.29541683150455,5.85654042694343,-2.41035020120985,1.17342120892761
"pse...54",11.4502522791736,0.856978599913418,5.85654041919852,-2.41063131429597,1.17356098980003
"pse...55",13.3049145620316,0.505520246457309,5.85654042484583,-2.41062149939668,1.1730670965055
"pse...56",14.6616448508576,1.8122444706969,5.85654044561829,-2.41079405509864,1.17316386727155
"pse...57",-14.4168034312315,1.10677122045308,5.85654048556341,-2.4102880856084,1.17361800137661
"pse...58",-4.75212800083682,1.26142082549632,5.85654044071872,-2.41054118970391,1.17365830668076
"pse...59",3.54894902324304,1.8458823855035,5.85654048606706,-2.41047640124674,1.17376589088381
"pse...60",7.70932551473379,0.504852851387113,5.85654050415182,-2.41030759846324,1.17301575223132
"pse...61",10.1540609216318,0.877452055457979,5.85654042579772,-2.41035180921394,1.17329783056344
"pse...62",-3.35457114502788,1.30771703599021,5.85654038917837,-2.41053724346987,1.17326205269606
"pse...63",-14.1814183071256,0.772552878130227,5.85654045417858,-2.41046892894342,1.17300217599845
"pse...64",-11.3923907722346,0.298589018173516,5.85654050289588,-2.41022025029311,1.17319877845028
"pse...65",10.5546809127554,1.64232668047771,5.85654045524031,-2.41029088673794,1.17325918041222
"pse...66",-1.58624636242166,1.76318219350651,5.85654042877015,-2.41035381788052,1.17345671021725
"pse...67",9.02730766218156,0.946886072400957,5.8565404911731,-2.41089778920607,1.17320937586934
"pse...68",-4.34705653460696,1.51056965626776,5.85654041625941,-2.41049061107404,1.17311759783956
"pse...69",10.5775444814935,0.197961130645126,5.85654041043043,-2.41072556030768,1.17333964633886
"pse...70",9.67875403119251,1.63090453203768,5.85654059731977,-2.41100440442711,1.17355288492886
"pse...71",-12.9113126196899,0.490221036132425,5.85654063324916,-2.41080042238349,1.17269816606856
"pse...72",-9.6570376935415,0.592606540769339,5.8565413680536,-2.40993996007744,1.17450448052541
"pse...73",-1.01491556502879,0.162787829060107,5.85654042408977,-2.4103975752684,1.17351952193451
"pse...74",-9.20684207696468,0.560268068686128,5.85654042027718,-2.4104535180785,1.17356065465384
"pse...75",7.50526732066646,0.456328784115613,5.85654042199544,-2.41036716344399,1.1732735763382
"pse...76",-0.964850359596312,0.131362666375935,5.8565404594565,-2.41028641653005,1.17348187627733
"pse...77",-1.49918372975662,0.340183107182384,5.85654043902827,-2.41055211164849,1.17365291472223
"pse...78",-4.53343437518924,1.10467529250309,5.85654042173983,-2.41064077728177,1.17308624447054
"pse...79",0.201385330874473,0.916464297100902,5.85654042439074,-2.4106428905666,1.17357404869522
"pse...80",-11.0994633939117,0.193895271513611,5.85654051866597,-2.41080898214259,1.17369382236898
"pse...81",2.59267499204725,0.0701830568723381,5.85654044247275,-2.41069357849314,1.17304153635688
"pse...82",13.7800922594033,1.27078649029136,5.85654043159993,-2.41056832597293,1.17362813101989
"pse...83",-1.42774465028197,1.2381923426874,5.856540414817,-2.4107193405081,1.17320684879285
"pse...84",5.59740613913164,1.46605204930529,5.85654043277315,-2.41072539580126,1.17310927369173
"pse...85",1.68631760403514,0.939637712202966,5.85654046224688,-2.41054882793784,1.17295379245939
"pse...86",3.62839557230473,1.50440234225243,5.85654040557935,-2.41051251280264,1.17352272457299
"pse...87",10.1972509059124,0.937859548255801,5.85654042451634,-2.41037466571702,1.17322641825235
"pse...88",-5.93115591444075,0.791502819862217,5.85654042474632,-2.41065353346489,1.17308086593166
"pse...89",-8.70618156390265,1.84467114927247,5.85654054878258,-2.41084884847578,1.17371640265106
"pse...90",-14.183136227075,0.426073682960123,5.85654041762203,-2.41040588659333,1.17320586303149
"pse...91",-12.5281405029818,0.70525020128116,5.85654068800229,-2.4105103650245,1.17409522314615
"pse...92",4.97754934011027,1.05745945218951,5.85654047636496,-2.41038897517613,1.17300018135174
"pse...93",-3.46612612484023,1.70694530382752,5.85654040317308,-2.41056168997618,1.17315203858892
"pse...94",14.660883480683,1.75981011567637,5.85654042423225,-2.41072503298805,1.17348172316355
"pse...95",-11.336743561551,0.264785300008953,5.85654046694514,-2.41035007156935,1.17307169496742
"pse...96",11.7801800114103,1.84490755945444,5.85654043153142,-2.41034379278209,1.1734481210142
"pse...97",-12.9766115080565,0.707821612711996,5.85654042293549,-2.41053755832242,1.17307191982623
"pse...98",-2.74769260548055,0.223694822750986,5.8565403905974,-2.41062195418168,1.17337790048425
"pse...99",-8.85829110397026,0.0914246751926839,5.85654044294363,-2.41063479488012,1.17301117561089
"pse...100",-12.2183166956529,0.399198307655752,5.85654057832801,-2.41086606313202,1.17375959398157
