"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,8.60025878824872,-2.01473760484416,2.05151450424354
"pse...2",-10.1154731540009,0.792240034788847,8.60025892018777,-2.0142454735132,2.05165909823527
"pse...3",-14.088248074986,0.241769740357995,8.60025881406054,-2.01488909074487,2.05155097345495
"pse...4",-2.21503028646111,1.23571576131508,8.60025882481457,-2.01461755266053,2.05163791385551
"pse...5",-7.10375221911818,0.952647742349654,8.60025885460933,-2.01456950273537,2.05171116268247
"pse...6",10.8695699600503,0.297757264226675,8.60025879132901,-2.01436672908913,2.05097357792409
"pse...7",-9.58709761267528,1.99854662409052,8.60025876287882,-2.01465802147288,2.05085890279647
"pse...8",10.252235471271,0.285298119764775,8.60025899360724,-2.01475975295361,2.05202243427483
"pse...9",-4.65454840566963,1.77925090771168,8.60025883343687,-2.01507817195427,2.05087283314288
"pse...10",-5.40455113397911,1.41803166735917,8.60025891139736,-2.01412373268497,2.05142074764671
"pse...11",3.8445515697822,0.87634513201192,8.60025896289188,-2.01400195129006,2.05131702953966
"pse...12",-4.80311915511265,1.86618517432362,8.60025879045346,-2.01501625022363,2.05112768995467
"pse...13",6.38863236643374,1.26170374592766,8.60025883535169,-2.01510588353703,2.05092871162867
"pse...14",7.39348310278729,0.22290057502687,8.60025902627779,-2.01388973745634,2.05120109357032
"pse...15",-6.80134454509243,0.197036178316921,8.60025877353449,-2.01480341110999,2.05083962165476
"pse...16",7.7258844813332,1.32718420773745,8.60025921683083,-2.01510287282483,2.05226474772644
"pse...17",6.73083281842992,0.917893062811345,8.6002588632251,-2.01448142884525,2.05054305340326
"pse...18",5.23195741698146,1.40102722961456,8.60025878069724,-2.01440469209709,2.05098042076665
"pse...19",9.45216655964032,1.38236297573894,8.6002588494848,-2.01479607687348,2.05055788611124
"pse...20",6.49237031349912,1.7811597827822,8.60025934404184,-2.01381341156169,2.05018265229292
"pse...21",-4.79109353385866,1.33712569065392,8.60025876414016,-2.01447493362839,2.05124242538406
"pse...22",-3.47238088957965,0.470226733479649,8.60025881860435,-2.01447078314937,2.0506894076595
"pse...23",11.6549108549953,1.60290331766009,8.60025892445671,-2.01418182389095,2.05158677347742
"pse...24",2.89283210411668,1.95403548283502,8.60025882448108,-2.01438539037372,2.05149382743425
"pse...25",-5.15685097547248,1.61036005662754,8.60025904126255,-2.01474869966172,2.0521043628292
"pse...26",-14.030538580846,0.896579755470157,8.60025884297996,-2.01420965556646,2.05102558480984
"pse...27",-7.0580484601669,0.818535035476089,8.60025879082876,-2.01435190404945,2.05104440447749
"pse...28",-9.16209599236026,1.08697502827272,8.60025882346495,-2.01437175597467,2.05147279907403
"pse...29",13.0531110288575,1.54807522054762,8.60025890117204,-2.01524581132091,2.05090871206832
"pse...30",14.9064975022338,1.6452516829595,8.60025930694816,-2.0138591628142,2.05201068314978
