"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.65992839002167,4.42592708709759,1.0710731349901
"pse...2",-10.1154731540009,0.792240034788847,6.65992842010699,4.42561973145552,1.07171481771634
"pse...3",-14.088248074986,0.241769740357995,6.65992838489576,4.42545339125668,1.0712362206145
"pse...4",-2.21503028646111,1.23571576131508,6.65992836225231,4.42563245490713,1.07103176645128
"pse...5",-7.10375221911818,0.952647742349654,6.65992835729421,4.42579844177066,1.07102930455398
"pse...6",10.8695699600503,0.297757264226675,6.65992835752947,4.4257024078396,1.07101289123442
"pse...7",-9.58709761267528,1.99854662409052,6.6599284127832,4.42566368263465,1.07169020225236
"pse...8",10.252235471271,0.285298119764775,6.6599284652919,4.42584077797163,1.07167426259875
"pse...9",-4.65454840566963,1.77925090771168,6.65992886320025,4.42574957380409,1.07222404980232
"pse...10",-5.40455113397911,1.41803166735917,6.65992849597596,4.4260643209603,1.071321987536
"pse...11",3.8445515697822,0.87634513201192,6.65992842272652,4.42562825755935,1.07171925054691
"pse...12",-4.80311915511265,1.86618517432362,6.65992840926408,4.42593473764142,1.07098382764961
"pse...13",6.38863236643374,1.26170374592766,6.65992841931708,4.42587852219878,1.07152419613059
"pse...14",7.39348310278729,0.22290057502687,6.65992846070695,4.42540961874317,1.07105499088518
"pse...15",-6.80134454509243,0.197036178316921,6.65992838572024,4.42556343305123,1.07102462082906
"pse...16",7.7258844813332,1.32718420773745,6.65992836850983,4.42548746483605,1.07147965736661
"pse...17",6.73083281842992,0.917893062811345,6.65992835400268,4.4255098045883,1.07142079197216
"pse...18",5.23195741698146,1.40102722961456,6.65992832608837,4.42571240962417,1.0711636342647
"pse...19",9.45216655964032,1.38236297573894,6.65992835575872,4.42571626987126,1.07101636272242
"pse...20",6.49237031349912,1.7811597827822,6.65992838326278,4.42592131131512,1.07111094864353
"pse...21",-4.79109353385866,1.33712569065392,6.65992838948787,4.42560455097831,1.07097447297677
"pse...22",-3.47238088957965,0.470226733479649,6.65992838142538,4.42554039679924,1.07106656273317
"pse...23",11.6549108549953,1.60290331766009,6.65992845093691,4.42597443556909,1.07143214144609
"pse...24",2.89283210411668,1.95403548283502,6.65992836126633,4.42587643123322,1.07114432104623
"pse...25",-5.15685097547248,1.61036005662754,6.6599283500124,4.42574009325599,1.07147537285375
"pse...26",-14.030538580846,0.896579755470157,6.65992839153332,4.42594281469772,1.07117922998376
"pse...27",-7.0580484601669,0.818535035476089,6.65992840384855,4.42573407918967,1.07163730060392
"pse...28",-9.16209599236026,1.08697502827272,6.65992838327366,4.42579598811868,1.07153164740204
"pse...29",13.0531110288575,1.54807522054762,6.65992842508435,4.42542632009893,1.07112726833519
"pse...30",14.9064975022338,1.6452516829595,6.65992844240547,4.42542503461051,1.07107540390032
"pse...31",-3.24883968103677,0.770498960278928,6.65992878993487,4.42542206441506,1.0722149879744
"pse...32",11.9741340028122,0.637706046923995,6.65992839815696,4.42572368902291,1.07089503366056
"pse...33",-8.73934552771971,1.12835434125736,6.65992838715436,4.42592005655161,1.07130272796422
"pse...34",-0.537466944660991,0.13022926542908,6.65992850979799,4.42596856938892,1.07159242675721
"pse...35",-7.16167943319306,0.660671283490956,6.65992844473539,4.42602120067577,1.07107483493866
"pse...36",-5.0830762507394,0.18470659153536,6.65992833642646,4.4255854000509,1.07143016269111
"pse...37",5.81980582326651,0.232979252003133,6.65992950926387,4.42576987731826,1.07268306914045
"pse...38",11.1179193668067,0.257341200485826,6.65992848204379,4.42586631120672,1.07073634714009
"pse...39",10.0613391492516,0.475383792072535,6.65992834669316,4.42567104797909,1.07150267284715
"pse...40",-1.48744178703055,1.66859723208472,6.65992834275196,4.42568982036033,1.07147939190049
"pse...41",4.97390852775425,1.08823836874217,6.65992837987123,4.42580934492975,1.07150559272102
"pse...42",4.86875790869817,1.74702454963699,6.65992834107791,4.42571814586606,1.07107458603085
"pse...43",5.05164217902347,0.427090503741056,6.65992837981951,4.42586022903403,1.07099240324397
"pse...44",-2.42776960367337,0.925551891792566,6.65992836685983,4.42588153235154,1.07110381170699
"pse...45",3.56426098616794,0.967452389188111,6.65992836724224,4.42579110528793,1.07148595879618
"pse...46",7.68813236150891,0.443223801441491,6.65992834039378,4.42576461072123,1.07140409660431
"pse...47",14.7353828768246,1.95945909665897,6.65992850578631,4.42582860496398,1.07068664435551
"pse...48",10.7708918815479,0.483028418850154,6.6599284229106,4.42552444851372,1.07170780564066
"pse...49",3.93997715553269,1.48809128301218,6.6599283291744,4.42576256763835,1.071171735982
"pse...50",8.23211068287492,1.34967308910564,6.65992841538154,4.42540364766826,1.07123403602059
"pse...51",7.40335321985185,1.94818443665281,6.6599283806794,4.42569847482903,1.07094487696503
"pse...52",-10.8701321901754,1.49083702685311,6.65992844627833,4.42577456769652,1.07078840125645
"pse...53",-4.91306316806003,1.29541683150455,6.65992842939861,4.42599620757543,1.07106247758101
"pse...54",11.4502522791736,0.856978599913418,6.65992839045353,4.42570113472284,1.07162401160588
"pse...55",13.3049145620316,0.505520246457309,6.65992838938048,4.42547671547942,1.07156874863578
"pse...56",14.6616448508576,1.8122444706969,6.65992835978835,4.42587721429946,1.07122110184547
"pse...57",-14.4168034312315,1.10677122045308,6.65992839044476,4.42592095737673,1.07132200322348
"pse...58",-4.75212800083682,1.26142082549632,6.65992843223966,4.42548388056522,1.07100326495444
"pse...59",3.54894902324304,1.8458823855035,6.65992833877027,4.42580535325949,1.07115173011071
"pse...60",7.70932551473379,0.504852851387113,6.65992872226833,4.42555126132872,1.07050963722474
"pse...61",10.1540609216318,0.877452055457979,6.65992846077975,4.42534191232596,1.07158856847379
"pse...62",-3.35457114502788,1.30771703599021,6.65992838437854,4.42592922878565,1.07116341447423
"pse...63",-14.1814183071256,0.772552878130227,6.6599284320014,4.42586550508885,1.07084036174707
"pse...64",-11.3923907722346,0.298589018173516,6.65992848984279,4.42605845404166,1.07094739774529
"pse...65",10.5546809127554,1.64232668047771,6.65992852205221,4.42597514121402,1.07072367007505
"pse...66",-1.58624636242166,1.76318219350651,6.65992834833332,4.42577507847376,1.07143034833859
"pse...67",9.02730766218156,0.946886072400957,6.65992922677317,4.4248845238687,1.0709585126739
"pse...68",-4.34705653460696,1.51056965626776,6.6599283928286,4.42542416426212,1.07131136228855
"pse...69",10.5775444814935,0.197961130645126,6.65992897375702,4.42550854552166,1.0703035272729
"pse...70",9.67875403119251,1.63090453203768,6.65992839719186,4.42546660781299,1.07113955682074
"pse...71",-12.9113126196899,0.490221036132425,6.65992844835573,4.42587872104095,1.07080993403622
"pse...72",-9.6570376935415,0.592606540769339,6.65992835111177,4.42583280872442,1.07133782881259
"pse...73",-1.01491556502879,0.162787829060107,17,-0.913424008525908,0.0612962725572288
"pse...74",-9.20684207696468,0.560268068686128,6.65992834836212,4.42556149638653,1.07148092303203
"pse...75",7.50526732066646,0.456328784115613,6.65992841278409,4.42584640350467,1.07087788348178
"pse...76",-0.964850359596312,0.131362666375935,17,-0.868365323636681,0.0348776304163039
"pse...77",-1.49918372975662,0.340183107182384,17,-1.27430617029313,0.0403463612310588
"pse...78",-4.53343437518924,1.10467529250309,6.65992867567096,4.42557153621132,1.07209707430797
"pse...79",0.201385330874473,0.916464297100902,6.65992839563087,4.42594183414225,1.07108779559845
"pse...80",-11.0994633939117,0.193895271513611,6.65992848618201,4.42528821927268,1.07147907846605
"pse...81",2.59267499204725,0.0701830568723381,6.6599283465743,4.42578191884071,1.07106780727221
"pse...82",13.7800922594033,1.27078649029136,6.65992838025719,4.42589486742286,1.07104557708357
"pse...83",-1.42774465028197,1.2381923426874,6.65992843390258,4.42536879986726,1.07153228327215
"pse...84",5.59740613913164,1.46605204930529,6.65992846542534,4.4254539191658,1.0709694895062
"pse...85",1.68631760403514,0.939637712202966,6.65992837693358,4.42589886715792,1.07107774360781
"pse...86",3.62839557230473,1.50440234225243,6.65992833961805,4.42570449840748,1.07108273175794
"pse...87",10.1972509059124,0.937859548255801,6.65992841299386,4.42538634374029,1.07136718632944
"pse...88",-5.93115591444075,0.791502819862217,6.6599283761088,4.42572491988395,1.07095166227325
"pse...89",-8.70618156390265,1.84467114927247,6.65992853354515,4.42590779260285,1.07066194920881
"pse...90",-14.183136227075,0.426073682960123,6.659928438826,4.4253660513942,1.07125126942249
"pse...91",-12.5281405029818,0.70525020128116,6.6599283794682,4.425539711898,1.07159452143171
"pse...92",4.97754934011027,1.05745945218951,6.65992834614234,4.42583473021425,1.07128310183654
"pse...93",-3.46612612484023,1.70694530382752,6.65992843373534,4.42565331358308,1.07084398758422
"pse...94",14.660883480683,1.75981011567637,6.65992835449125,4.42585393135547,1.07129580742361
"pse...95",-11.336743561551,0.264785300008953,6.65992841958169,4.42537703291368,1.07143970565735
"pse...96",11.7801800114103,1.84490755945444,6.65992841279728,4.42597585067997,1.07121926097072
"pse...97",-12.9766115080565,0.707821612711996,6.659928419212,4.42571575883197,1.07084974615905
"pse...98",-2.74769260548055,0.223694822750986,6.65992839196623,4.4259398292212,1.07123910814486
"pse...99",-8.85829110397026,0.0914246751926839,6.65992845478511,4.42600908403885,1.0713464055398
"pse...100",-12.2183166956529,0.399198307655752,6.65992857921531,4.42558762227102,1.07197770796744
