"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,7.2457362311193,1.18602189957567,1.34773532655499
"pse...2",-10.1154731540009,0.792240034788847,7.24573636451958,1.18609167890605,1.34707191778527
"pse...3",-14.088248074986,0.241769740357995,7.24573627947591,1.18550910275134,1.34778392085468
"pse...4",-2.21503028646111,1.23571576131508,7.24573620500079,1.18591962012966,1.34733213084571
"pse...5",-7.10375221911818,0.952647742349654,7.24573623861087,1.18598138072249,1.34780379447387
"pse...6",10.8695699600503,0.297757264226675,7.24573649616297,1.1861989913142,1.34807944278507
"pse...7",-9.58709761267528,1.99854662409052,7.24573624524462,1.18577720392841,1.3478898316167
"pse...8",10.252235471271,0.285298119764775,7.24573622638068,1.18594941565848,1.347277967532
"pse...9",-4.65454840566963,1.77925090771168,7.24573621623243,1.18605281189071,1.34756389611965
"pse...10",-5.40455113397911,1.41803166735917,7.2457362161711,1.18566670619923,1.34735097824354
"pse...11",3.8445515697822,0.87634513201192,7.24573631795229,1.18622068293,1.34765160163125
"pse...12",-4.80311915511265,1.86618517432362,7.2457361943677,1.18596908457387,1.34743589105733
"pse...13",6.38863236643374,1.26170374592766,7.2457362800979,1.18551148767336,1.34735015716166
"pse...14",7.39348310278729,0.22290057502687,7.24573625991194,1.18549523221921,1.34751018291301
"pse...15",-6.80134454509243,0.197036178316921,7.24573646572723,1.18529245999205,1.34727677907997
"pse...16",7.7258844813332,1.32718420773745,7.24573618677936,1.18587162928155,1.34769664324021
"pse...17",6.73083281842992,0.917893062811345,7.24573631101463,1.18589159498679,1.34800197536814
"pse...18",5.23195741698146,1.40102722961456,7.24573620142195,1.18562581568481,1.34752169359942
"pse...19",9.45216655964032,1.38236297573894,7.24573619116321,1.18591091133631,1.34738641710049
"pse...20",6.49237031349912,1.7811597827822,7.24573622216695,1.18564131460148,1.34776303596483
"pse...21",-4.79109353385866,1.33712569065392,7.24573626204517,1.18614247507578,1.34760219137001
"pse...22",-3.47238088957965,0.470226733479649,7.24573644864338,1.18540838156598,1.34803940645485
"pse...23",11.6549108549953,1.60290331766009,7.24573633132188,1.18538217013548,1.34762186201872
"pse...24",2.89283210411668,1.95403548283502,7.24573621512139,1.18576028215702,1.34780962990249
"pse...25",-5.15685097547248,1.61036005662754,7.24573631391612,1.18609047696179,1.34788201003734
"pse...26",-14.030538580846,0.896579755470157,7.24573664102508,1.18571842507326,1.34670705121144
"pse...27",-7.0580484601669,0.818535035476089,7.24573629869229,1.18543099644109,1.34763936363964
"pse...28",-9.16209599236026,1.08697502827272,7.24573633128011,1.18566655499729,1.34802829502743
"pse...29",13.0531110288575,1.54807522054762,7.24573647731342,1.18545687437541,1.34702160905286
"pse...30",14.9064975022338,1.6452516829595,7.24573631198463,1.1854732286086,1.34731816196969
"pse...31",-3.24883968103677,0.770498960278928,7.24573623678358,1.18608869499789,1.34762189810212
"pse...32",11.9741340028122,0.637706046923995,7.24573638693448,1.18594674961514,1.34809832633016
"pse...33",-8.73934552771971,1.12835434125736,7.24573656262375,1.18524828959087,1.34716318282452
"pse...34",-0.537466944660991,0.13022926542908,7.24573620606431,1.18601105029617,1.34762547016722
"pse...35",-7.16167943319306,0.660671283490956,7.24573674262943,1.18661009053748,1.3472255234637
"pse...36",-5.0830762507394,0.18470659153536,7.24573618446385,1.18587606906688,1.34740121088481
"pse...37",5.81980582326651,0.232979252003133,7.24573621076411,1.1857162526374,1.34778003687871
"pse...38",11.1179193668067,0.257341200485826,7.24573620598815,1.18602219602999,1.34747517250186
"pse...39",10.0613391492516,0.475383792072535,7.24573627183061,1.18549694937857,1.34772526621889
"pse...40",-1.48744178703055,1.66859723208472,7.24573619998147,1.18566617176195,1.34769074089955
"pse...41",4.97390852775425,1.08823836874217,7.24573629491005,1.18545641132798,1.34772647621772
"pse...42",4.86875790869817,1.74702454963699,7.24573620108379,1.18590190699231,1.34733789706125
"pse...43",5.05164217902347,0.427090503741056,7.24573676137918,1.18516650798026,1.34819751117533
"pse...44",-2.42776960367337,0.925551891792566,7.24573622220287,1.18557794162345,1.34764587103983
"pse...45",3.56426098616794,0.967452389188111,7.24573623595817,1.18609499993992,1.34746434643137
"pse...46",7.68813236150891,0.443223801441491,7.24573622413303,1.18556338761064,1.34755818367666
"pse...47",14.7353828768246,1.95945909665897,7.24573622708749,1.18607982351663,1.3475495041847
"pse...48",10.7708918815479,0.483028418850154,7.24573622461459,1.18562641112158,1.34775557715463
"pse...49",3.93997715553269,1.48809128301218,7.24573622580687,1.18593523713103,1.3478019517504
"pse...50",8.23211068287492,1.34967308910564,7.24573634569508,1.18570579230091,1.34704812627802
"pse...51",7.40335321985185,1.94818443665281,7.24573625568574,1.18602278983346,1.34724787502981
"pse...52",-10.8701321901754,1.49083702685311,7.24573625189479,1.18554231656874,1.34773626051438
"pse...53",-4.91306316806003,1.29541683150455,7.24573625763325,1.18579934551515,1.34791758434954
"pse...54",11.4502522791736,0.856978599913418,7.24573625024916,1.18575185617359,1.34720490090617
"pse...55",13.3049145620316,0.505520246457309,7.24573619130838,1.18576432921279,1.34772578174541
"pse...56",14.6616448508576,1.8122444706969,7.24573623381602,1.18600964632258,1.34730177415966
"pse...57",-14.4168034312315,1.10677122045308,7.24573620630069,1.1860286352302,1.34752624000264
"pse...58",-4.75212800083682,1.26142082549632,7.24573664068391,1.18590971383371,1.34669097996864
"pse...59",3.54894902324304,1.8458823855035,7.24573621627957,1.1858353016449,1.34727475089888
"pse...60",7.70932551473379,0.504852851387113,7.24573621539564,1.18599023092367,1.34771515572072
"pse...61",10.1540609216318,0.877452055457979,7.2457362338365,1.18567968613444,1.34728285412792
"pse...62",-3.35457114502788,1.30771703599021,7.24573618728362,1.18575008183247,1.34740233727668
"pse...63",-14.1814183071256,0.772552878130227,7.24573621306088,1.18601397112647,1.3473955936678
"pse...64",-11.3923907722346,0.298589018173516,7.2457365298208,1.18625797475149,1.34695890517552
"pse...65",10.5546809127554,1.64232668047771,7.24573637554672,1.18540250038281,1.34788370161301
"pse...66",-1.58624636242166,1.76318219350651,7.24573622088604,1.18597378396395,1.34731289200794
"pse...67",9.02730766218156,0.946886072400957,7.24573626894695,1.18602053696986,1.34784871434558
"pse...68",-4.34705653460696,1.51056965626776,7.24573629313706,1.18609117347243,1.34783282665784
"pse...69",10.5775444814935,0.197961130645126,7.2457365890046,1.18584367456768,1.34673842979015
"pse...70",9.67875403119251,1.63090453203768,7.24573647453793,1.18545962276564,1.34812603454605
"pse...71",-12.9113126196899,0.490221036132425,7.24573621071091,1.18598008211069,1.34735882006996
"pse...72",-9.6570376935415,0.592606540769339,7.24573630753546,1.18605837206794,1.34715421051209
"pse...73",-1.01491556502879,0.162787829060107,7.24573619876039,1.18566101580853,1.34767515742471
"pse...74",-9.20684207696468,0.560268068686128,7.24573621030675,1.18578848052948,1.34779920115081
"pse...75",7.50526732066646,0.456328784115613,7.24573630098757,1.18544549974912,1.3474273025127
"pse...76",-0.964850359596312,0.131362666375935,7.24573620148114,1.18597692309184,1.3476660506002
"pse...77",-1.49918372975662,0.340183107182384,7.24573625546881,1.1854990113069,1.34756281720546
"pse...78",-4.53343437518924,1.10467529250309,7.24573631052986,1.18555376816491,1.34721022726951
"pse...79",0.201385330874473,0.916464297100902,7.24573626539578,1.18577456855732,1.34793276459984
"pse...80",-11.0994633939117,0.193895271513611,7.24573625441237,1.18583767114392,1.3479077835917
"pse...81",2.59267499204725,0.0701830568723381,7.24573620905849,1.18602190875686,1.34761918126984
"pse...82",13.7800922594033,1.27078649029136,7.24573634010919,1.18608147125639,1.34710788471943
"pse...83",-1.42774465028197,1.2381923426874,7.24573620845376,1.18596479356317,1.34735252904751
"pse...84",5.59740613913164,1.46605204930529,7.24573627401163,1.18604078615168,1.34784171515418
"pse...85",1.68631760403514,0.939637712202966,7.24573617747303,1.18586091842913,1.3474385476374
"pse...86",3.62839557230473,1.50440234225243,7.24573621586532,1.185624805157,1.34771436109186
"pse...87",10.1972509059124,0.937859548255801,7.24573627336246,1.18598150616314,1.34717713957977
"pse...88",-5.93115591444075,0.791502819862217,7.24573631258515,1.18550752245828,1.34787970745926
"pse...89",-8.70618156390265,1.84467114927247,7.24573635780444,1.18617953193026,1.34786664635333
"pse...90",-14.183136227075,0.426073682960123,7.24573639869703,1.18529822254275,1.34755997872946
"pse...91",-12.5281405029818,0.70525020128116,7.24573648374279,1.18615783015467,1.34809981602609
"pse...92",4.97754934011027,1.05745945218951,7.24573620239682,1.18564353006839,1.34766764279471
"pse...93",-3.46612612484023,1.70694530382752,7.24573632469812,1.18620953127517,1.34731346738374
"pse...94",14.660883480683,1.75981011567637,7.24573635109016,1.18548206168171,1.34720720665808
"pse...95",-11.336743561551,0.264785300008953,7.24573648457023,1.18628709386595,1.34706119345702
"pse...96",11.7801800114103,1.84490755945444,7.24573628863648,1.18598476998099,1.3479193049745
"pse...97",-12.9766115080565,0.707821612711996,7.24573626711937,1.18569433752673,1.34719291626187
"pse...98",-2.74769260548055,0.223694822750986,7.24573627301703,1.18596023302913,1.34716781005116
"pse...99",-8.85829110397026,0.0914246751926839,20,-7.97246199357323,0.0914246751926839
"pse...100",-12.2183166956529,0.399198307655752,7.24573627480327,1.18554503849894,1.34782415020344
