"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,8.96276382295497,-3.19493223264701,1.75263447322942
"pse...2",-10.1154731540009,0.792240034788847,8.96276388661535,-3.19416989025197,1.7528236654157
"pse...3",-14.088248074986,0.241769740357995,8.96276387125702,-3.1950749808089,1.75303650103509
"pse...4",-2.21503028646111,1.23571576131508,8.96276377878161,-3.19446922141184,1.75322004344153
"pse...5",-7.10375221911818,0.952647742349654,8.96276382466804,-3.19427141080419,1.75291366537007
"pse...6",10.8695699600503,0.297757264226675,8.9627640539679,-3.19431355256239,1.75384540346656
"pse...7",-9.58709761267528,1.99854662409052,8.96276388053536,-3.1944026898554,1.75353783950602
"pse...8",10.252235471271,0.285298119764775,8.96276453678572,-3.19377330853603,1.75207863024025
"pse...9",-4.65454840566963,1.77925090771168,8.96276376404763,-3.19470016774686,1.75318221347492
"pse...10",-5.40455113397911,1.41803166735917,8.96276385823465,-3.19505333320181,1.75275682368917
"pse...11",3.8445515697822,0.87634513201192,8.9627637743926,-3.19479903839772,1.75314199146818
"pse...12",-4.80311915511265,1.86618517432362,8.96276376366365,-3.19482249208252,1.75291243994626
"pse...13",6.38863236643374,1.26170374592766,8.96276383901354,-3.19476470626975,1.7534345407904
"pse...14",7.39348310278729,0.22290057502687,8.96276384132826,-3.19454915781919,1.75348942507633
"pse...15",-6.80134454509243,0.197036178316921,8.96276375498722,-3.19448287284824,1.75294629727453
"pse...16",7.7258844813332,1.32718420773745,8.96276385294195,-3.19485854267158,1.75243515148629
"pse...17",6.73083281842992,0.917893062811345,8.9627638051789,-3.19465053588217,1.75251393960961
"pse...18",5.23195741698146,1.40102722961456,8.96276381542736,-3.19497538270359,1.7529473957333
"pse...19",9.45216655964032,1.38236297573894,8.96276381280626,-3.19444417507565,1.75335544426415
"pse...20",6.49237031349912,1.7811597827822,8.96276383442978,-3.19425241090891,1.75290095545361
"pse...21",-4.79109353385866,1.33712569065392,8.96276380033168,-3.19488658002687,1.75314845689434
"pse...22",-3.47238088957965,0.470226733479649,8.96276382747436,-3.19490886681482,1.75324641089791
"pse...23",11.6549108549953,1.60290331766009,8.96276394658947,-3.19438232694879,1.75228560287597
"pse...24",2.89283210411668,1.95403548283502,8.96276384205149,-3.19482431727993,1.75339940433222
"pse...25",-5.15685097547248,1.61036005662754,8.96276379811805,-3.19439002790131,1.75322662044609
"pse...26",-14.030538580846,0.896579755470157,8.96276420538284,-3.19381368019876,1.7534247834602
"pse...27",-7.0580484601669,0.818535035476089,8.96276376818067,-3.19446800932639,1.7527963197418
"pse...28",-9.16209599236026,1.08697502827272,8.96276379937814,-3.1944837864479,1.75333000277172
"pse...29",13.0531110288575,1.54807522054762,8.96276390803249,-3.19434376969132,1.75356747017142
"pse...30",14.9064975022338,1.6452516829595,8.96276388645423,-3.19419433896316,1.75328216759816
"pse...31",-3.24883968103677,0.770498960278928,8.96276378870893,-3.19490783603071,1.75293335522268
"pse...32",11.9741340028122,0.637706046923995,8.96276386946447,-3.19458839172544,1.75356409549247
"pse...33",-8.73934552771971,1.12835434125736,8.96276387472076,-3.19431991648429,1.75253018784253
"pse...34",-0.537466944660991,0.13022926542908,8.96276415202357,-3.19382177956766,1.75302422786141
"pse...35",-7.16167943319306,0.660671283490956,8.96276380640131,-3.19435984517605,1.75274930295554
"pse...36",-5.0830762507394,0.18470659153536,8.96276383544988,-3.19449160319334,1.75345743708194
"pse...37",5.81980582326651,0.232979252003133,8.96276411964057,-3.1940494357444,1.75233169977521
"pse...38",11.1179193668067,0.257341200485826,8.96276392703965,-3.19412208325086,1.75327978373384
"pse...39",10.0613391492516,0.475383792072535,8.96276374635384,-3.19461394773488,1.75282738748826
"pse...40",-1.48744178703055,1.66859723208472,8.96276375397931,-3.19459767729383,1.7527635990437
"pse...41",4.97390852775425,1.08823836874217,8.96276385102198,-3.19503756045822,1.7527490289366
"pse...42",4.86875790869817,1.74702454963699,8.96276379421991,-3.19445171699668,1.75328333356723
"pse...43",5.05164217902347,0.427090503741056,8.96276381903276,-3.19494847361503,1.75269348110918
"pse...44",-2.42776960367337,0.925551891792566,8.96276379128444,-3.19488280070264,1.75273541787515
"pse...45",3.56426098616794,0.967452389188111,8.96276378969541,-3.19437201961382,1.75284622060626
"pse...46",7.68813236150891,0.443223801441491,8.96276392757144,-3.19422256811093,1.7534928825096
