TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
real	DR	1	1	1	15	   10.00	1	   -8.00	0	0	  694.27	0	rod	rod	rod	NULL	rod_sm_10.0.png	frame_645_15.png
real	EL	1	2	1	-15	  -10.00	0	    8.00	0	0	  519.60	0	rod	rod	rod	NULL	rod_sm_-10.0.png	frame_410_-15.png
real	GR	1	3	1	-15	   10.00	1	   -8.00	0	0	  632.98	0	rod	rod	rod	NULL	rod_sm_10.0.png	frame_175_-15.png
real	AR	1	4	1	-15	   10.00	1	   -8.00	0	0	  598.84	0	rod	rod	rod	NULL	rod_sm_10.0.png	frame_880_-15.png
real	FL	1	5	1	15	  -10.00	0	    8.00	0	0	 1647.51	0	rod	rod	rod	NULL	rod_sm_-10.0.png	frame_410_15.png
real	CR	1	6	1	-15	   10.00	1	   -8.00	0	0	  581.79	0	rod	rod	rod	NULL	rod_sm_10.0.png	frame_645_-15.png
real	BR	1	7	1	15	   10.00	1	   -8.00	0	0	  740.40	0	rod	rod	rod	NULL	rod_sm_10.0.png	frame_880_15.png
real	DL	1	8	1	15	  -10.00	0	    8.00	0	0	  561.97	0	rod	rod	rod	NULL	rod_sm_-10.0.png	frame_645_15.png
real	ER	1	9	1	-15	   10.00	1	   -8.00	0	0	  660.14	0	rod	rod	rod	NULL	rod_sm_10.0.png	frame_410_-15.png
real	AL	1	10	1	-15	  -10.00	0	    8.00	0	0	  491.70	0	rod	rod	rod	NULL	rod_sm_-10.0.png	frame_880_-15.png
real	CL	1	11	1	-15	  -10.00	0	    8.00	0	0	  447.83	0	rod	rod	rod	NULL	rod_sm_-10.0.png	frame_645_-15.png
real	FR	1	12	1	15	   10.00	1	   -8.00	0	0	  570.27	0	rod	rod	rod	NULL	rod_sm_10.0.png	frame_410_15.png
real	HR	1	13	1	15	   10.00	1	   -8.00	0	0	  640.41	0	rod	rod	rod	NULL	rod_sm_10.0.png	frame_175_15.png
real	HL	1	14	1	15	  -10.00	0	    8.00	0	0	  477.28	0	rod	rod	rod	NULL	rod_sm_-10.0.png	frame_175_15.png
