TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  931.13	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  794.34	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  794.34	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  794.34	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  604.90	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  833.30	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  674.71	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  581.82	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  565.49	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  544.17	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  496.76	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  402.56	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  733.79	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  570.76	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  488.08	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  539.26	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
real	CR	1	1	1	-15	   10.00	1	   -8.00	0	0	  502.29	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	AR	1	2	1	-15	   10.00	1	   -8.00	0	0	  516.56	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	EL	1	3	1	-15	  -10.00	0	    8.00	0	0	  472.61	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_-15.png
real	DL	1	4	1	15	  -10.00	0	    8.00	0	0	  557.57	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	FR	1	5	1	15	   10.00	1	   -8.00	0	0	  478.65	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_15.png
real	CL	1	6	1	-15	  -10.00	0	    8.00	0	0	  549.65	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	AL	1	7	1	-15	  -10.00	0	    8.00	0	0	  713.44	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	HL	1	8	1	15	  -10.00	0	    8.00	0	0	  577.64	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	HR	1	9	1	15	   10.00	1	   -8.00	0	0	  473.15	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	BR	1	10	1	15	   10.00	1	   -8.00	0	0	  570.39	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	GR	1	11	1	-15	   10.00	1	   -8.00	0	0	  581.33	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	BL	1	12	1	15	  -10.00	0	    8.00	0	0	  506.91	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	ER	1	13	1	-15	   10.00	1	   -8.00	0	0	  837.82	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	DR	1	14	1	15	   10.00	1	   -8.00	0	0	 1414.85	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	GL	1	15	1	-15	  -10.00	0	    8.00	0	0	  740.66	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	FL	1	16	1	15	  -10.00	0	    8.00	0	0	  786.98	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
real	GL	2	17	2	-15	   -2.00	0	    8.00	0	0	 1572.50	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_-15.png
real	BR	2	18	2	15	    2.00	1	   -8.00	0	0	  595.45	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_15.png
