TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  784.01	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  738.55	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  676.84	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  676.59	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  704.89	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  889.59	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  683.87	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  554.66	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  740.12	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  655.15	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  806.25	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  938.08	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  856.92	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  660.65	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  659.31	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  689.16	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
real	GL	1	1	1	-15	  -10.00	0	    8.00	0	0	  661.26	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	DR	1	2	1	15	   10.00	1	   -8.00	0	0	  638.80	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	BR	1	3	1	15	   10.00	1	   -8.00	0	0	  694.21	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	GR	1	4	1	-15	   10.00	1	   -8.00	0	0	  585.98	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	ER	1	5	1	-15	   10.00	1	   -8.00	0	0	  549.58	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	DL	1	6	1	15	  -10.00	0	    8.00	0	0	  599.14	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	FL	1	7	1	15	  -10.00	0	    8.00	0	0	  635.69	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
real	CL	1	8	1	-15	  -10.00	0	    8.00	0	0	  728.50	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	HR	1	9	1	15	   10.00	1	   -8.00	0	0	  750.06	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	AL	1	10	1	-15	  -10.00	0	    8.00	0	0	  595.81	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	EL	1	11	1	-15	  -10.00	0	    8.00	0	0	  558.71	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_-15.png
real	FR	1	12	1	15	   10.00	1	   -8.00	0	0	  677.43	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_15.png
real	HL	1	13	1	15	  -10.00	0	    8.00	0	0	  560.73	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	BL	1	14	1	15	  -10.00	0	    8.00	0	0	  637.95	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	CR	1	15	1	-15	   10.00	1	   -8.00	0	0	  522.89	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	AR	1	16	1	-15	   10.00	1	   -8.00	0	0	  541.47	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	GR	2	17	2	-15	    2.00	1	   -8.00	0	0	  793.74	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_-15.png
real	AR	2	18	2	-15	    2.00	1	   -8.00	0	0	  731.08	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_-15.png
real	HR	2	19	2	15	    2.00	1	   -8.00	0	0	  878.72	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_15.png
real	GL	2	20	2	-15	   -2.00	0	    8.00	0	0	  984.74	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_-15.png
real	HL	2	21	2	15	   -2.00	0	    8.00	0	0	 1230.13	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_15.png
real	BL	2	22	2	15	   -2.00	0	    8.00	0	0	  725.35	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_880_15.png
real	BR	2	23	2	15	    2.00	1	   -8.00	0	0	  914.69	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_15.png
real	CR	2	24	2	-15	    2.00	1	   -8.00	0	0	  847.86	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_645_-15.png
real	FR	2	25	2	15	    2.00	1	   -8.00	0	0	  862.59	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_410_15.png
real	AL	2	26	2	-15	   -2.00	0	    8.00	0	0	  815.36	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_880_-15.png
real	EL	2	27	2	-15	   -2.00	0	    8.00	0	0	  976.42	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_-15.png
real	CL	2	28	2	-15	   -2.00	0	    8.00	0	0	 1382.17	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_645_-15.png
real	DR	2	29	2	15	    2.00	1	   -8.00	0	0	  815.60	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_645_15.png
real	DL	2	30	2	15	   -2.00	0	    8.00	0	0	 1374.75	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_645_15.png
real	FL	2	31	2	15	   -2.00	0	    8.00	0	0	  733.52	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_15.png
