TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1274.60	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1248.68	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  753.28	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  810.48	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  658.67	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  640.96	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  635.29	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  661.16	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  626.52	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  619.91	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  502.30	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  446.28	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  622.45	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  480.30	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  686.45	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  518.11	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
real	DL	1	1	1	15	  -10.00	0	    8.00	0	0	  754.65	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	AR	1	2	1	-15	   10.00	1	   -8.00	0	0	  484.46	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	CL	1	3	1	-15	  -10.00	0	    8.00	0	0	 1737.19	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	HR	1	4	1	15	   10.00	1	   -8.00	0	0	 1143.56	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	EL	1	5	1	-15	  -10.00	0	    8.00	0	0	  578.39	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_-15.png
real	HL	1	6	1	15	  -10.00	0	    8.00	0	0	  839.34	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	FR	1	7	1	15	   10.00	1	   -8.00	0	0	  914.76	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_15.png
real	GL	1	8	1	-15	  -10.00	0	    8.00	0	0	  857.90	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	BR	1	9	1	15	   10.00	1	   -8.00	0	0	  828.73	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	CR	1	10	1	-15	   10.00	1	   -8.00	0	0	  934.63	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	BL	1	11	1	15	  -10.00	0	    8.00	0	0	  830.54	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	FL	1	12	1	15	  -10.00	0	    8.00	0	0	  752.63	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
real	DR	1	13	1	15	   10.00	1	   -8.00	0	0	 1138.39	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	GR	1	14	1	-15	   10.00	1	   -8.00	0	0	  986.22	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	ER	1	15	1	-15	   10.00	1	   -8.00	0	0	  673.36	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	AL	1	16	1	-15	  -10.00	0	    8.00	0	0	  733.42	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	HR	2	17	2	15	    2.00	1	   -8.00	0	0	  946.66	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_15.png
real	BL	2	18	2	15	   -2.00	0	    8.00	0	0	  945.23	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_880_15.png
real	EL	2	19	2	-15	   -2.00	1	   -4.00	1	1	  868.09	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_-15.png
real	AR	2	20	2	-15	    2.00	1	   -8.00	0	0	  814.81	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_-15.png
real	BR	2	21	2	15	    2.00	0	    4.00	1	1	 1074.11	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_15.png
real	AL	2	22	2	-15	   -2.00	0	    8.00	0	0	  835.04	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_880_-15.png
real	GR	2	23	2	-15	    2.00	1	   -8.00	0	0	  839.65	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_-15.png
real	HL	2	24	2	15	   -2.00	0	    8.00	0	0	  855.20	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_15.png
real	DL	2	25	2	15	   -2.00	0	    8.00	0	0	  736.73	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_645_15.png
real	FL	2	26	2	15	   -2.00	0	    8.00	0	0	  696.73	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_15.png
real	ER	2	27	2	-15	    2.00	1	   -8.00	0	0	  822.39	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_410_-15.png
