Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v30202is	1	False	practice	1	1	good	15	175	frame_175_15.png	black.jpg	0	  967.00	  726.70	  137.48	 1090.18
v30202is	2	False	practice	1	2	good	-15	645	frame_645_-15.png	black.jpg	0	  955.50	  696.50	  167.56	  473.63
v30202is	3	True	practice	1	3	abort	-15	880	frame_880_-15.png	black.jpg	0	  941.60	  833.50	  167.56	0
v30202is	4	True	practice	1	4	abort	-15	645	frame_645_-15.png	black.jpg	0	  951.40	  799.20	  167.56	0
v30202is	5	False	practice	1	5	good	15	410	frame_410_15.png	black.jpg	0	  962.90	  709.80	  154.23	  491.66
v30202is	6	False	practice	1	6	good	15	645	frame_645_15.png	black.jpg	0	  962.60	  718.90	  145.12	  548.94
v30202is	7	True	practice	1	7	abort	-15	880	frame_880_-15.png	black.jpg	0	  962.80	  827.90	  145.12	0
v30202is	8	False	practice	1	8	good	-15	645	frame_645_-15.png	black.jpg	0	  951.90	  724.80	  139.44	  465.49
v30202is	9	False	practice	1	9	good	15	880	frame_880_15.png	black.jpg	0	  952.50	  724.60	  139.60	  581.67
v30202is	10	False	practice	1	10	good	15	175	frame_175_15.png	black.jpg	0	  954.40	  736.10	  128.02	  607.88
v30202is	11	False	practice	1	11	good	15	410	frame_410_15.png	black.jpg	0	  964.40	  720.30	  143.77	  587.99
v30202is	12	False	practice	1	12	good	-15	410	frame_410_-15.png	black.jpg	0	  962.50	  705.80	  158.22	  606.81
v30202is	13	False	practice	1	13	good	-15	410	frame_410_-15.png	black.jpg	0	  948.30	  727.50	  137.00	  486.59
v30202is	14	False	practice	1	14	good	15	880	frame_880_15.png	black.jpg	0	  968.30	  730.10	  134.16	  545.76
v30202is	15	False	practice	1	15	good	-15	880	frame_880_-15.png	black.jpg	0	  957.20	  725.10	  138.93	  426.18
v30202is	16	False	practice	1	16	good	15	645	frame_645_15.png	black.jpg	0	  969.60	  724.90	  139.43	  576.29
v30202is	17	False	practice	1	17	good	-15	880	frame_880_-15.png	black.jpg	0	  961.40	  733.60	  130.41	  424.45
v30202is	18	False	practice	1	18	good	-15	175	frame_175_-15.png	black.jpg	0	  962.30	  721.50	  142.52	  405.94
v30202is	19	False	practice	1	19	good	-15	175	frame_175_-15.png	black.jpg	0	  963.30	  738.20	  125.84	  542.66
v30202is	20	True	real	1	1	abort	15	645	frame_645_15.png	black.jpg	0	  980.30	  888.90	  125.84	0
v30202is	21	False	real	1	2	good	-15	880	frame_880_-15.png	black.jpg	0	  959.90	  714.60	  149.40	  556.96
v30202is	22	False	real	1	3	good	15	880	frame_880_15.png	black.jpg	0	  963.80	  721.70	  142.35	  497.87
v30202is	23	False	real	1	4	good	15	410	frame_410_15.png	black.jpg	0	  981.50	  711.30	  154.21	  357.19
v30202is	24	False	real	1	5	good	-15	410	frame_410_-15.png	black.jpg	0	  964.50	  710.70	  153.37	  429.23
v30202is	25	False	real	1	6	good	15	175	frame_175_15.png	black.jpg	0	  964.70	  703.10	  160.97	  373.97
v30202is	26	False	real	1	7	good	-15	645	frame_645_-15.png	black.jpg	0	  959.40	  708.40	  155.60	  378.29
v30202is	27	False	real	1	8	good	-15	175	frame_175_-15.png	black.jpg	0	  964.80	  723.60	  140.48	  470.07
v30202is	28	False	real	1	9	good	15	645	frame_645_15.png	black.jpg	0	  975.20	  715.30	  149.47	  378.93
v30202is	29	False	real	2	10	good	15	880	frame_880_15.png	black.jpg	0	  959.60	  718.10	  145.90	 1864.06
v30202is	30	False	real	2	11	good	-15	410	frame_410_-15.png	black.jpg	0	  964.40	  726.90	  137.17	  508.06
v30202is	31	False	real	2	12	good	15	410	frame_410_15.png	black.jpg	0	  973.00	  720.50	  144.09	  337.28
v30202is	32	False	real	2	13	good	15	645	frame_645_15.png	black.jpg	0	  963.80	  717.80	  146.25	  353.88
v30202is	33	False	real	2	14	good	15	175	frame_175_15.png	black.jpg	0	  955.90	  722.90	  141.16	  370.15
v30202is	34	False	real	2	15	good	-15	880	frame_880_-15.png	black.jpg	0	  963.30	  714.70	  149.34	  430.03
v30202is	35	False	real	2	16	good	-15	645	frame_645_-15.png	black.jpg	0	  967.00	  730.20	  133.98	  441.08
v30202is	36	False	real	2	17	good	-15	175	frame_175_-15.png	black.jpg	0	  966.60	  720.90	  143.25	  396.98
v30202is	37	False	real	3	18	good	15	645	frame_645_15.png	black.jpg	0	  977.20	  715.80	  149.19	  383.10
v30202is	38	False	real	3	19	good	-15	410	frame_410_-15.png	black.jpg	0	  973.90	  718.80	  145.86	  442.27
v30202is	39	False	real	3	20	good	15	175	frame_175_15.png	black.jpg	0	  965.50	  730.50	  133.61	  439.16
v30202is	40	True	real	3	21	abort	15	880	frame_880_15.png	black.jpg	0	  983.10	  765.10	  133.61	0
v30202is	41	False	real	3	22	good	-15	175	frame_175_-15.png	black.jpg	0	  962.90	  739.60	  124.43	  500.26
v30202is	42	False	real	3	23	good	-15	880	frame_880_-15.png	black.jpg	0	  964.30	  723.60	  140.47	  396.09
v30202is	43	False	real	3	24	good	-15	645	frame_645_-15.png	black.jpg	0	  966.40	  730.30	  133.85	  338.02
v30202is	44	False	real	3	25	good	15	410	frame_410_15.png	black.jpg	0	  970.70	  728.80	  135.62	  296.16
v30202is	45	False	real	3	26	good	15	880	frame_880_15.png	black.jpg	0	  974.10	  714.80	  149.86	  347.18
v30202is	46	False	real	4	27	good	-15	645	frame_645_-15.png	black.jpg	0	  965.40	  725.40	  138.71	  378.99
v30202is	47	False	real	4	28	good	15	175	frame_175_15.png	black.jpg	0	  977.20	  711.80	  153.17	  406.13
v30202is	48	False	real	4	29	good	-15	880	frame_880_-15.png	black.jpg	0	  965.10	  717.00	  147.09	  408.00
v30202is	49	False	real	4	30	good	15	645	frame_645_15.png	black.jpg	0	  980.90	  719.80	  145.71	  369.24
v30202is	50	False	real	4	31	good	15	880	frame_880_15.png	black.jpg	0	  970.00	  739.00	  125.40	 1489.93
v30202is	51	False	real	4	32	good	-15	410	frame_410_-15.png	black.jpg	0	  963.80	  737.00	  127.06	  442.13
v30202is	52	False	real	4	33	good	-15	175	frame_175_-15.png	black.jpg	0	  963.40	  743.70	  120.35	  622.05
v30202is	53	False	real	4	34	good	15	410	frame_410_15.png	black.jpg	0	  971.50	  699.90	  164.50	  477.20
v30202is	54	False	real	5	35	good	-15	410	frame_410_-15.png	black.jpg	0	  966.60	  714.70	  149.45	  374.24
v30202is	55	False	real	5	36	good	15	645	frame_645_15.png	black.jpg	0	  984.10	  736.50	  129.76	  285.23
v30202is	56	False	real	5	37	good	-15	645	frame_645_-15.png	black.jpg	0	  950.50	  713.40	  150.90	  258.17
v30202is	57	True	real	5	38	abort	-15	880	frame_880_-15.png	black.jpg	0	  964.30	  812.80	  150.90	0
v30202is	58	True	real	5	39	abort	15	880	frame_880_15.png	black.jpg	0	  966.10	  828.70	  150.90	0
v30202is	59	False	real	5	40	good	-15	175	frame_175_-15.png	black.jpg	0	  964.00	  715.20	  148.85	  524.17
v30202is	60	False	real	5	41	good	15	880	frame_880_15.png	black.jpg	0	  967.10	  716.60	  147.57	  423.98
v30202is	61	False	real	5	42	good	-15	880	frame_880_-15.png	black.jpg	0	  967.80	  732.50	  131.73	  418.03
v30202is	62	False	real	5	43	good	15	175	frame_175_15.png	black.jpg	0	  970.60	  736.20	  128.24	  509.27
v30202is	63	False	real	5	44	good	15	410	frame_410_15.png	black.jpg	0	  964.90	  727.00	  137.09	  560.24
v30202is	64	False	real	6	45	good	-15	410	frame_410_-15.png	black.jpg	0	  962.60	  725.40	  138.62	  366.05
