Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v30205jp	1	False	practice	1	1	good	15	880	frame_880_15.png	black.jpg	0	  968.70	  724.10	  140.17	 1342.57
v30205jp	2	False	practice	1	2	good	-15	410	frame_410_-15.png	black.jpg	0	  964.00	  716.70	  147.35	  913.50
v30205jp	3	False	practice	1	3	good	15	175	frame_175_15.png	black.jpg	0	  967.70	  713.60	  150.60	  895.41
v30205jp	4	False	practice	1	4	good	15	645	frame_645_15.png	black.jpg	0	  973.00	  713.40	  151.16	  961.56
v30205jp	5	False	practice	1	5	good	-15	410	frame_410_-15.png	black.jpg	0	  971.20	  710.30	  154.11	  928.64
v30205jp	6	False	practice	1	6	good	15	410	frame_410_15.png	black.jpg	0	  976.20	  713.10	  151.77	  994.12
v30205jp	7	False	practice	1	7	good	15	645	frame_645_15.png	black.jpg	0	  982.70	  709.90	  155.76	  952.88
v30205jp	8	False	practice	1	8	good	-15	175	frame_175_-15.png	black.jpg	0	  981.80	  714.20	  151.38	  927.84
v30205jp	9	False	practice	1	9	good	-15	880	frame_880_-15.png	black.jpg	0	  975.60	  712.30	  152.50	  847.73
v30205jp	10	False	practice	1	10	good	-15	175	frame_175_-15.png	black.jpg	0	  972.20	  707.60	  156.88	 1101.83
v30205jp	11	False	practice	1	11	good	15	175	frame_175_15.png	black.jpg	0	  978.60	  716.20	  148.97	 1070.70
v30205jp	12	False	practice	1	12	good	15	880	frame_880_15.png	black.jpg	0	  979.90	  711.20	  154.09	 1504.34
v30205jp	13	False	practice	1	13	good	-15	645	frame_645_-15.png	black.jpg	0	  980.50	  713.80	  151.59	 1410.10
v30205jp	14	False	practice	1	14	good	-15	645	frame_645_-15.png	black.jpg	0	  972.70	  709.80	  154.72	  865.79
v30205jp	15	False	practice	1	15	good	-15	880	frame_880_-15.png	black.jpg	0	  979.80	  714.00	  151.30	  764.88
v30205jp	16	False	practice	1	16	good	15	410	frame_410_15.png	black.jpg	0	  979.60	  709.40	  155.84	  857.79
v30205jp	17	False	real	1	1	good	15	645	frame_645_15.png	black.jpg	0	  980.00	  702.90	  162.34	 1003.12
v30205jp	18	False	real	1	2	good	-15	175	frame_175_-15.png	black.jpg	0	  978.80	  706.40	  158.72	  697.14
v30205jp	19	False	real	1	3	good	-15	410	frame_410_-15.png	black.jpg	0	  973.70	  706.70	  157.90	 1594.30
v30205jp	20	False	real	1	4	good	15	880	frame_880_15.png	black.jpg	0	  981.40	  711.60	  153.90	  905.24
v30205jp	21	False	real	1	5	good	15	175	frame_175_15.png	black.jpg	0	  976.50	  702.40	  162.44	  840.21
v30205jp	22	False	real	1	6	good	-15	645	frame_645_-15.png	black.jpg	0	  973.00	  713.50	  151.06	  720.04
v30205jp	23	False	real	1	7	good	15	410	frame_410_15.png	black.jpg	0	  979.20	  709.40	  155.79	  655.19
v30205jp	24	False	real	1	8	good	-15	880	frame_880_-15.png	black.jpg	0	  977.10	  702.40	  162.50	  618.94
v30205jp	25	False	real	2	9	good	15	175	frame_175_15.png	black.jpg	0	  986.80	  700.50	  165.68	  846.64
v30205jp	26	False	real	2	10	good	-15	175	frame_175_-15.png	black.jpg	0	  987.20	  706.00	  160.32	 1423.01
v30205jp	27	False	real	2	11	good	-15	645	frame_645_-15.png	black.jpg	0	  969.40	  711.00	  153.29	  881.14
v30205jp	28	False	real	2	12	good	-15	410	frame_410_-15.png	black.jpg	0	  975.90	  724.20	  140.70	  849.07
v30205jp	29	False	real	2	13	good	15	880	frame_880_15.png	black.jpg	0	  976.70	  721.30	  143.67	  689.18
v30205jp	30	False	real	2	14	good	15	410	frame_410_15.png	black.jpg	0	  976.80	  710.10	  154.81	  794.23
v30205jp	31	False	real	2	15	good	-15	880	frame_880_-15.png	black.jpg	0	  978.30	  713.00	  152.10	  873.19
v30205jp	32	False	real	2	16	good	15	645	frame_645_15.png	black.jpg	0	  979.50	  710.20	  155.03	  753.11
v30205jp	33	False	real	3	17	good	15	645	frame_645_15.png	black.jpg	0	  979.50	  710.10	  155.13	  739.90
v30205jp	34	False	real	3	18	good	15	410	frame_410_15.png	black.jpg	0	  985.00	  710.90	  155.13	  582.10
v30205jp	35	False	real	3	19	good	15	880	frame_880_15.png	black.jpg	0	  972.40	  717.70	  146.82	  692.20
