Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v30205sb	1	True	practice	1	1	timed_out	15	175	frame_175_15.png	black.jpg	0	  943.70	  731.00	    0.00	0
v30205sb	2	True	practice	1	2	timed_out	15	645	frame_645_15.png	black.jpg	0	  964.30	  882.10	    0.00	0
v30205sb	3	True	practice	1	3	timed_out	15	645	frame_645_15.png	black.jpg	0	  948.10	  729.50	    0.00	0
v30205sb	4	False	practice	1	4	good	15	175	frame_175_15.png	black.jpg	0	  955.60	  723.90	  140.17	 1206.12
v30205sb	5	False	practice	1	5	good	15	645	frame_645_15.png	black.jpg	0	  965.60	  726.10	  138.01	 1184.38
v30205sb	6	False	practice	1	6	good	15	410	frame_410_15.png	black.jpg	0	  965.20	  722.70	  141.40	 1170.51
v30205sb	7	False	practice	1	7	good	15	880	frame_880_15.png	black.jpg	0	  964.40	  712.90	  151.16	 1309.00
v30205sb	8	False	practice	1	8	good	-15	175	frame_175_-15.png	black.jpg	0	  960.40	  716.50	  147.50	 1274.28
v30205sb	9	False	practice	1	9	good	-15	880	frame_880_-15.png	black.jpg	0	  967.10	  715.90	  148.27	 1157.13
v30205sb	10	False	practice	1	10	good	15	410	frame_410_15.png	black.jpg	0	  964.30	  709.20	  154.86	 1152.34
v30205sb	11	False	practice	1	11	good	-15	645	frame_645_-15.png	black.jpg	0	  952.90	  719.90	  144.27	 1346.84
v30205sb	12	False	practice	1	12	good	-15	410	frame_410_-15.png	black.jpg	0	  959.80	  712.00	  152.00	 1260.57
v30205sb	13	False	practice	1	13	good	15	880	frame_880_15.png	black.jpg	0	  962.40	  710.50	  153.52	 1122.68
v30205sb	14	False	practice	1	14	good	-15	410	frame_410_-15.png	black.jpg	0	  972.60	  709.80	  154.81	 1345.26
v30205sb	15	False	practice	1	15	good	15	175	frame_175_15.png	black.jpg	0	  968.60	  706.30	  158.03	 1378.04
v30205sb	16	False	practice	1	16	good	-15	880	frame_880_-15.png	black.jpg	0	  963.50	  710.30	  153.74	 1266.53
v30205sb	17	False	practice	1	17	good	-15	645	frame_645_-15.png	black.jpg	0	  961.10	  707.40	  156.60	 1066.97
v30205sb	18	False	practice	1	18	good	-15	175	frame_175_-15.png	black.jpg	0	  966.40	  707.30	  157.03	  893.24
v30205sb	19	False	practice	1	19	good	15	645	frame_645_15.png	black.jpg	0	  966.40	  706.00	  158.13	 1109.14
v30205sb	20	False	real	1	1	good	-15	410	frame_410_-15.png	black.jpg	0	  959.50	  706.80	  157.20	 1230.26
v30205sb	21	False	real	1	2	good	15	175	frame_175_15.png	black.jpg	0	  956.90	  706.10	  157.93	 1131.19
v30205sb	22	False	real	1	3	good	15	880	frame_880_15.png	black.jpg	0	  969.40	  714.90	  149.40	  991.00
v30205sb	23	False	real	1	4	good	-15	880	frame_880_-15.png	black.jpg	0	  958.90	  709.90	  154.10	  969.18
v30205sb	24	False	real	1	5	good	15	410	frame_410_15.png	black.jpg	0	  954.60	  711.60	  152.50	 1111.23
v30205sb	25	False	real	1	6	good	-15	645	frame_645_-15.png	black.jpg	0	  957.30	  702.20	  161.82	 1132.15
v30205sb	26	False	real	1	7	good	-15	175	frame_175_-15.png	black.jpg	0	  960.00	  701.60	  162.40	 1007.89
v30205sb	27	False	real	1	8	good	15	645	frame_645_15.png	black.jpg	0	  959.30	  706.80	  157.20	 1006.24
v30205sb	28	False	real	2	9	good	15	410	frame_410_15.png	black.jpg	0	  954.30	  709.30	  154.80	 1136.86
v30205sb	29	False	real	2	10	good	-15	175	frame_175_-15.png	black.jpg	0	  958.20	  710.00	  154.01	 1129.08
v30205sb	30	False	real	2	11	good	15	880	frame_880_15.png	black.jpg	0	  953.80	  711.30	  152.83	 1239.79
v30205sb	31	False	real	2	12	good	-15	410	frame_410_-15.png	black.jpg	0	  952.80	  705.30	  158.86	  995.16
v30205sb	32	False	real	2	13	good	15	645	frame_645_15.png	black.jpg	0	  955.60	  713.50	  150.56	 1067.72
v30205sb	33	False	real	2	14	good	-15	880	frame_880_-15.png	black.jpg	0	  951.00	  703.40	  160.85	 1026.48
v30205sb	34	False	real	2	15	good	-15	645	frame_645_-15.png	black.jpg	0	  953.80	  707.10	  157.02	 1200.07
v30205sb	35	False	real	2	16	good	15	175	frame_175_15.png	black.jpg	0	  953.90	  707.00	  157.12	 1210.08
v30205sb	36	False	real	3	17	good	-15	880	frame_880_-15.png	black.jpg	0	  950.80	  721.10	  143.20	 1093.15
v30205sb	37	False	real	3	18	good	15	410	frame_410_15.png	black.jpg	0	  959.60	  703.40	  160.60	 1029.19
v30205sb	38	False	real	3	19	good	-15	175	frame_175_-15.png	black.jpg	0	  955.40	  708.70	  155.37	 1036.07
v30205sb	39	False	real	3	20	good	15	645	frame_645_15.png	black.jpg	0	  961.70	  709.20	  154.81	 1164.23
v30205sb	40	False	real	3	21	good	-15	645	frame_645_-15.png	black.jpg	0	  960.00	  705.00	  159.00	 1316.01
v30205sb	41	False	real	3	22	good	15	175	frame_175_15.png	black.jpg	0	  968.10	  701.10	  163.10	 1100.98
