Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v30421sg	1	False	practice	1	1	good	15	175	frame_175_15.png	black.jpg	0	  965.10	  712.90	  151.19	 1064.57
v30421sg	2	False	practice	1	2	good	15	645	frame_645_15.png	black.jpg	0	  965.00	  722.20	  141.89	  962.29
v30421sg	3	True	practice	1	3	abort	15	645	frame_645_15.png	black.jpg	0	  967.50	  896.10	  141.89	0
v30421sg	4	False	practice	1	4	good	15	880	frame_880_15.png	black.jpg	0	  973.10	  714.80	  149.77	  898.20
v30421sg	5	True	practice	1	5	abort	-15	880	frame_880_-15.png	black.jpg	0	  967.20	  895.20	  149.77	0
v30421sg	6	False	practice	1	6	good	-15	645	frame_645_-15.png	black.jpg	0	  980.70	  709.70	  155.68	  976.67
v30421sg	7	False	practice	1	7	good	-15	175	frame_175_-15.png	black.jpg	0	  975.80	  713.70	  151.13	  932.91
v30421sg	8	False	practice	1	8	good	-15	175	frame_175_-15.png	black.jpg	0	  963.10	  713.80	  150.23	 1021.13
v30421sg	9	False	practice	1	9	good	15	645	frame_645_15.png	black.jpg	0	  971.50	  713.20	  151.24	 1330.57
v30421sg	10	False	practice	1	10	good	-15	880	frame_880_-15.png	black.jpg	0	  967.40	  717.10	  147.09	 1225.75
v30421sg	11	False	practice	1	11	good	-15	410	frame_410_-15.png	black.jpg	0	  967.70	  716.30	  147.90	 1318.15
v30421sg	12	True	practice	1	12	abort	15	410	frame_410_15.png	black.jpg	0	  970.10	  897.00	  147.90	0
v30421sg	13	False	practice	1	13	good	15	175	frame_175_15.png	black.jpg	0	  976.60	  707.60	  157.28	  785.66
v30421sg	14	False	practice	1	14	good	-15	410	frame_410_-15.png	black.jpg	0	  968.40	  713.00	  151.23	  849.20
v30421sg	15	False	practice	1	15	good	-15	880	frame_880_-15.png	black.jpg	0	  967.40	  713.70	  150.50	 1492.63
v30421sg	16	False	practice	1	16	good	15	410	frame_410_15.png	black.jpg	0	  973.10	  721.20	  143.40	 1409.84
v30421sg	17	False	practice	1	17	good	15	880	frame_880_15.png	black.jpg	0	  970.60	  715.40	  148.98	 1435.69
v30421sg	18	False	practice	1	18	good	-15	645	frame_645_-15.png	black.jpg	0	  975.90	  719.00	  145.87	  970.85
v30421sg	19	True	practice	1	19	abort	15	410	frame_410_15.png	black.jpg	0	  971.80	  893.80	  145.87	0
v30421sg	20	False	practice	1	20	good	15	410	frame_410_15.png	black.jpg	0	  979.70	  702.90	  162.30	  923.37
v30421sg	21	False	real	1	1	good	15	410	frame_410_15.png	black.jpg	0	  983.40	  701.40	  164.28	 1106.21
v30421sg	22	False	real	1	2	good	-15	645	frame_645_-15.png	black.jpg	0	  983.40	  703.60	  162.10	  863.12
