Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v30509aa	1	True	practice	1	1	timed_out	15	645	frame_645_15.png	black.jpg	0	  985.20	  548.80	    0.00	0
v30509aa	2	True	practice	1	2	abort	15	880	frame_880_15.png	black.jpg	0	  971.10	  831.60	    0.00	0
v30509aa	3	True	practice	1	3	abort	15	175	frame_175_15.png	black.jpg	0	  977.70	  833.60	    0.00	0
v30509aa	4	True	practice	1	4	timed_out	-15	645	frame_645_-15.png	black.jpg	0	  966.00	  611.60	    0.00	0
v30509aa	5	True	practice	1	5	abort	-15	880	frame_880_-15.png	black.jpg	0	  976.60	  836.00	    0.00	0
v30509aa	6	False	practice	1	6	good	-15	410	frame_410_-15.png	black.jpg	0	  975.40	  713.50	  151.29	 1901.52
v30509aa	7	True	practice	1	7	abort	-15	645	frame_645_-15.png	black.jpg	0	  974.90	  808.20	  151.29	0
v30509aa	8	True	practice	1	8	abort	15	410	frame_410_15.png	black.jpg	0	  977.20	  832.40	  151.29	0
v30509aa	9	True	practice	1	9	abort	-15	645	frame_645_-15.png	black.jpg	0	  979.10	  834.10	  151.29	0
v30509aa	10	True	practice	1	10	abort	15	175	frame_175_15.png	black.jpg	0	  976.20	  793.10	  151.29	0
v30509aa	11	True	practice	1	11	timed_out	-15	410	frame_410_-15.png	black.jpg	0	  955.70	  717.40	  151.29	0
v30509aa	12	False	practice	1	12	good	15	880	frame_880_15.png	black.jpg	0	  976.20	  722.30	  142.62	 1929.29
v30509aa	13	True	practice	1	13	abort	15	645	frame_645_15.png	black.jpg	0	  968.10	  828.70	  142.62	0
v30509aa	14	True	practice	1	14	abort	15	175	frame_175_15.png	black.jpg	0	  982.30	  826.30	  142.62	0
v30509aa	15	True	practice	1	15	timed_out	15	645	frame_645_15.png	black.jpg	0	  984.10	  725.50	  142.62	0
v30509aa	16	True	practice	1	16	timed_out	15	880	frame_880_15.png	black.jpg	0	  986.50	  729.90	  142.62	0
v30509aa	17	False	practice	1	17	good	-15	880	frame_880_-15.png	black.jpg	0	  982.20	  725.20	  140.56	 1081.17
v30509aa	18	True	practice	1	18	abort	15	410	frame_410_15.png	black.jpg	0	  981.10	  832.20	  140.56	0
v30509aa	19	False	practice	1	19	good	-15	175	frame_175_-15.png	black.jpg	0	  980.60	  732.70	  132.91	 1004.83
v30509aa	20	False	practice	1	20	good	15	175	frame_175_15.png	black.jpg	0	  988.80	  724.20	  142.74	 1449.69
v30509aa	21	False	practice	1	21	good	-15	645	frame_645_-15.png	black.jpg	0	  972.60	  723.60	  140.96	 1236.07
v30509aa	22	False	practice	1	22	good	-15	175	frame_175_-15.png	black.jpg	0	  969.90	  731.80	  132.57	 1308.11
v30509aa	23	False	practice	1	23	good	-15	645	frame_645_-15.png	black.jpg	0	  970.00	  730.80	  133.57	 1157.77
v30509aa	24	False	practice	1	24	good	15	410	frame_410_15.png	black.jpg	0	  978.50	  738.50	  126.86	 1114.37
v30509aa	25	False	practice	1	25	good	15	410	frame_410_15.png	black.jpg	0	  974.50	  733.60	  131.20	  766.88
v30509aa	26	False	practice	1	26	good	15	645	frame_645_15.png	black.jpg	0	  974.50	  732.50	  132.30	 1023.54
v30509aa	27	False	practice	1	27	good	15	175	frame_175_15.png	black.jpg	0	  965.60	  735.30	  128.82	  996.18
v30509aa	28	False	practice	1	28	good	-15	410	frame_410_-15.png	black.jpg	0	  971.80	  731.50	  133.02	 1072.82
v30509aa	29	False	practice	1	29	good	-15	880	frame_880_-15.png	black.jpg	0	  970.60	  731.70	  132.72	 1164.30
v30509aa	30	False	practice	1	30	good	15	645	frame_645_15.png	black.jpg	0	  954.90	  743.00	  121.11	 1081.26
v30509aa	31	False	practice	1	31	good	15	880	frame_880_15.png	black.jpg	0	  970.90	  725.90	  138.53	 1128.06
v30509aa	32	False	real	1	1	good	-15	880	frame_880_-15.png	black.jpg	0	  960.20	  721.50	  142.50	  969.11
v30509aa	33	True	real	1	2	abort	15	175	frame_175_15.png	black.jpg	0	  961.40	  811.20	  142.50	0
v30509aa	34	False	real	1	3	good	15	880	frame_880_15.png	black.jpg	0	  961.40	  716.50	  147.51	  910.26
v30509aa	35	False	real	1	4	good	-15	410	frame_410_-15.png	black.jpg	0	  949.50	  725.10	  139.30	  970.09
v30509aa	36	False	real	1	5	good	15	175	frame_175_15.png	black.jpg	0	  958.00	  739.90	  124.12	 1104.15
v30509aa	37	False	real	1	6	good	-15	645	frame_645_-15.png	black.jpg	0	  956.20	  729.10	  134.95	 1056.11
v30509aa	38	False	real	1	7	good	15	410	frame_410_15.png	black.jpg	0	  959.40	  734.70	  129.30	 1109.11
v30509aa	39	True	real	1	8	abort	15	645	frame_645_15.png	black.jpg	0	  962.90	  732.10	  129.30	0
v30509aa	40	False	real	1	9	good	-15	175	frame_175_-15.png	black.jpg	0	  965.70	  732.80	  131.32	  944.82
v30509aa	41	False	real	1	10	good	15	645	frame_645_15.png	black.jpg	0	  963.00	  728.20	  135.83	 1106.18
v30509aa	42	True	real	2	11	abort	15	410	frame_410_15.png	black.jpg	0	  962.10	  831.90	  135.83	0
v30509aa	43	False	real	2	12	good	15	645	frame_645_15.png	black.jpg	0	  967.80	  724.10	  140.12	  950.27
v30509aa	44	False	real	2	13	good	-15	410	frame_410_-15.png	black.jpg	0	  957.20	  732.80	  131.23	 1303.22
v30509aa	45	False	real	2	14	good	15	880	frame_880_15.png	black.jpg	0	  949.60	  728.70	  135.70	  982.95
v30509aa	46	False	real	2	15	good	-15	880	frame_880_-15.png	black.jpg	0	  954.50	  729.40	  134.71	  841.21
v30509aa	47	False	real	2	16	good	-15	175	frame_175_-15.png	black.jpg	0	  928.50	  727.70	  139.89	  921.20
v30509aa	48	False	real	2	17	good	-15	645	frame_645_-15.png	black.jpg	0	  945.30	  726.10	  138.68	  817.14
v30509aa	49	False	real	2	18	good	15	410	frame_410_15.png	black.jpg	0	  962.10	  722.00	  142.02	  855.05
v30509aa	50	True	real	2	19	abort	15	175	frame_175_15.png	black.jpg	0	  934.50	  883.50	  142.02	0
v30509aa	51	False	real	2	20	good	15	175	frame_175_15.png	black.jpg	0	  960.60	  729.60	  134.40	  936.17
v30509aa	52	False	real	3	21	good	-15	410	frame_410_-15.png	black.jpg	0	  939.90	  722.60	  142.82	  811.92
v30509aa	53	False	real	3	22	good	-15	880	frame_880_-15.png	black.jpg	0	  947.30	  726.00	  138.58	 1204.82
v30509aa	54	False	real	3	23	good	-15	175	frame_175_-15.png	black.jpg	0	  945.30	  728.50	  136.30	  833.15
v30509aa	55	False	real	3	24	good	15	175	frame_175_15.png	black.jpg	0	  956.60	  726.60	  137.44	  698.22
v30509aa	56	False	real	3	25	good	15	410	frame_410_15.png	black.jpg	0	  944.40	  731.40	  133.51	  774.19
v30509aa	57	False	real	3	26	good	15	645	frame_645_15.png	black.jpg	0	  943.90	  732.40	  132.58	  759.04
v30509aa	58	False	real	3	27	good	15	880	frame_880_15.png	black.jpg	0	  967.50	  725.50	  138.70	  967.18
v30509aa	59	False	real	3	28	good	-15	645	frame_645_-15.png	black.jpg	0	  953.00	  728.00	  136.18	  999.21
v30509aa	60	False	real	4	29	good	-15	175	frame_175_-15.png	black.jpg	0	  930.70	  727.40	  139.71	 1524.80
v30509aa	61	False	real	4	30	good	-15	410	frame_410_-15.png	black.jpg	0	  938.10	  726.60	  139.13	 1062.14
v30509aa	62	False	real	4	31	good	15	645	frame_645_15.png	black.jpg	0	  956.60	  723.30	  140.74	  793.65
v30509aa	63	False	real	4	32	good	15	410	frame_410_15.png	black.jpg	0	  954.00	  727.40	  136.73	 1043.27
v30509aa	64	False	real	4	33	good	15	175	frame_175_15.png	black.jpg	0	  938.40	  740.60	  125.28	 1092.17
v30509aa	65	True	real	4	34	abort	-15	880	frame_880_-15.png	black.jpg	0	  892.60	  762.70	  125.28	0
v30509aa	66	True	real	4	35	abort	-15	645	frame_645_-15.png	black.jpg	0	  909.90	  773.70	  125.28	0
v30509aa	67	False	real	4	36	good	15	880	frame_880_15.png	black.jpg	0	  960.70	  721.70	  142.30	 1553.94
v30509aa	68	False	real	4	37	good	-15	880	frame_880_-15.png	black.jpg	0	  968.00	  736.60	  127.65	 1134.16
v30509aa	69	False	real	4	38	good	-15	645	frame_645_-15.png	black.jpg	0	  955.00	  727.10	  136.99	 1172.16
v30509aa	70	True	real	5	39	timed_out	15	175	frame_175_15.png	black.jpg	0	  964.70	  778.80	   84.48	0
v30509aa	71	True	real	5	40	abort	15	880	frame_880_15.png	black.jpg	0	  963.00	  831.80	   84.48	0
v30509aa	72	False	real	5	41	good	-15	880	frame_880_-15.png	black.jpg	0	  956.30	  705.30	  158.74	 1072.74
v30509aa	73	False	real	5	42	good	-15	175	frame_175_-15.png	black.jpg	0	  962.80	  708.10	  155.93	 1044.19
v30509aa	74	False	real	5	43	good	15	410	frame_410_15.png	black.jpg	0	  970.30	  710.80	  153.55	 1042.28
v30509aa	75	False	real	5	44	good	-15	645	frame_645_-15.png	black.jpg	0	  951.10	  709.80	  154.46	 1192.20
v30509aa	76	False	real	5	45	good	-15	410	frame_410_-15.png	black.jpg	0	  959.50	  715.60	  148.40	  876.21
v30509aa	77	False	real	5	46	good	15	880	frame_880_15.png	black.jpg	0	  963.80	  720.20	  143.85	  883.12
v30509aa	78	False	real	5	47	good	15	645	frame_645_15.png	black.jpg	0	  975.80	  711.70	  153.12	  867.15
v30509aa	79	True	real	5	48	abort	15	175	frame_175_15.png	black.jpg	0	  951.40	  832.50	  153.12	0
v30509aa	80	False	real	5	49	good	15	175	frame_175_15.png	black.jpg	0	  973.10	  701.30	  163.23	  900.20
v30509aa	81	False	real	6	50	good	-15	645	frame_645_-15.png	black.jpg	0	  963.60	  721.60	  142.45	 1064.14
v30509aa	82	False	real	6	51	good	-15	175	frame_175_-15.png	black.jpg	0	  965.60	  711.70	  152.40	  806.16
v30509aa	83	True	real	6	52	abort	15	410	frame_410_15.png	black.jpg	0	  959.90	  825.40	  152.40	0
v30509aa	84	False	real	6	53	good	15	880	frame_880_15.png	black.jpg	0	  965.60	  719.60	  144.51	  917.94
v30509aa	85	False	real	6	54	good	-15	410	frame_410_-15.png	black.jpg	0	  958.40	  716.20	  147.81	 1130.83
v30509aa	86	False	real	6	55	good	15	175	frame_175_15.png	black.jpg	0	  972.40	  717.20	  147.32	 1214.02
v30509aa	87	False	real	6	56	good	15	645	frame_645_15.png	black.jpg	0	  965.80	  725.30	  138.82	 1071.08
v30509aa	88	False	real	6	57	good	-15	880	frame_880_-15.png	black.jpg	0	  957.30	  711.10	  152.92	 1377.08
v30509aa	89	False	real	6	58	good	15	410	frame_410_15.png	black.jpg	0	  973.10	  722.90	  141.71	 1060.69
v30509aa	90	False	real	7	59	good	-15	175	frame_175_-15.png	black.jpg	0	  957.60	  722.80	  141.22	  765.26
v30509aa	91	False	real	7	60	good	15	410	frame_410_15.png	black.jpg	0	  956.90	  713.70	  150.33	  811.89
v30509aa	92	False	real	7	61	good	15	175	frame_175_15.png	black.jpg	0	  976.40	  718.80	  146.12	  930.26
v30509aa	93	False	real	7	62	good	-15	880	frame_880_-15.png	black.jpg	0	  951.20	  717.10	  147.16	  718.16
v30509aa	94	False	real	7	63	good	-15	645	frame_645_-15.png	black.jpg	0	  958.20	  721.40	  142.61	  767.03
v30509aa	95	False	real	7	64	good	15	880	frame_880_15.png	black.jpg	0	  968.80	  707.00	  157.25	  804.08
v30509aa	96	False	real	7	65	good	-15	410	frame_410_-15.png	black.jpg	0	  970.20	  722.10	  142.27	  839.20
v30509aa	97	False	real	7	66	good	15	645	frame_645_15.png	black.jpg	0	  969.10	  715.70	  148.58	  845.19
v30509aa	98	False	real	8	67	good	-15	175	frame_175_-15.png	black.jpg	0	  965.60	  715.00	  149.11	  732.20
v30509aa	99	False	real	8	68	good	15	410	frame_410_15.png	black.jpg	0	  957.30	  707.20	  156.82	  882.79
v30509aa	100	True	real	8	69	abort	-15	410	frame_410_-15.png	black.jpg	0	  941.10	  838.10	  156.82	0
v30509aa	101	False	real	8	70	good	15	175	frame_175_15.png	black.jpg	0	  961.40	  716.00	  148.01	  860.08
v30509aa	102	False	real	8	71	good	15	880	frame_880_15.png	black.jpg	0	  959.20	  719.10	  144.90	  727.06
v30509aa	103	False	real	8	72	good	15	645	frame_645_15.png	black.jpg	0	  944.00	  723.10	  141.81	  681.19
v30509aa	104	False	real	8	73	good	-15	880	frame_880_-15.png	black.jpg	0	  957.60	  723.10	  140.92	  673.95
v30509aa	105	False	real	8	74	good	-15	410	frame_410_-15.png	black.jpg	0	  953.90	  716.30	  147.83	 1471.04
v30509aa	106	False	real	8	75	good	-15	645	frame_645_-15.png	black.jpg	0	  952.40	  718.20	  146.00	  507.08
v30509aa	107	True	real	9	76	abort	-15	175	frame_175_-15.png	black.jpg	0	  945.70	  832.70	  146.00	0
v30509aa	108	False	real	9	77	good	15	645	frame_645_15.png	black.jpg	0	  963.50	  718.40	  145.64	  727.15
v30509aa	109	False	real	9	78	good	15	410	frame_410_15.png	black.jpg	0	  953.10	  724.50	  139.67	  779.93
v30509aa	110	True	real	9	79	abort	-15	645	frame_645_-15.png	black.jpg	0	  986.70	  826.10	  139.67	0
v30509aa	111	False	real	9	80	good	15	880	frame_880_15.png	black.jpg	0	  958.90	  721.50	  142.50	  749.04
v30509aa	112	False	real	9	81	good	-15	410	frame_410_-15.png	black.jpg	0	  955.10	  716.90	  147.18	  814.28
v30509aa	113	True	real	9	82	abort	-15	880	frame_880_-15.png	black.jpg	0	  959.50	  831.70	  147.18	0
v30509aa	114	False	real	9	83	good	-15	175	frame_175_-15.png	black.jpg	0	  954.70	  716.60	  147.50	  905.22
v30509aa	115	True	real	9	84	abort	15	175	frame_175_15.png	black.jpg	0	  954.50	  831.50	  147.50	0
v30509aa	116	False	real	9	85	good	-15	880	frame_880_-15.png	black.jpg	0	  932.50	  730.00	  136.79	  911.27
v30509aa	117	False	real	9	86	good	-15	645	frame_645_-15.png	black.jpg	0	  948.70	  720.30	  144.14	  996.11
