Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v30914ms	1	True	practice	1	1	abort	15	410	frame_410_15.png	black.jpg	0	  976.10	  831.20	    0.00	0
v30914ms	2	True	practice	1	2	timed_out	-15	645	frame_645_-15.png	black.jpg	0	  963.40	  858.20	    0.00	0
v30914ms	3	True	practice	1	3	timed_out	15	175	frame_175_15.png	black.jpg	0	  990.90	  715.40	    0.00	0
v30914ms	4	True	practice	1	4	timed_out	15	175	frame_175_15.png	black.jpg	0	  985.80	  723.00	    0.00	0
v30914ms	5	True	practice	1	5	abort	15	175	frame_175_15.png	black.jpg	0	  964.90	  830.30	    0.00	0
v30914ms	6	True	practice	1	6	abort	-15	175	frame_175_-15.png	black.jpg	0	  969.80	  757.50	    0.00	0
v30914ms	7	True	practice	1	7	abort	15	175	frame_175_15.png	black.jpg	0	  966.40	  750.80	    0.00	0
v30914ms	8	True	practice	1	8	timed_out	15	645	frame_645_15.png	black.jpg	0	  997.10	  549.90	    0.00	0
v30914ms	9	True	practice	1	9	timed_out	15	175	frame_175_15.png	black.jpg	0	  977.80	  720.10	    0.00	0
v30914ms	10	True	practice	1	10	abort	-15	410	frame_410_-15.png	black.jpg	0	  974.10	  827.10	    0.00	0
v30914ms	11	True	practice	1	11	timed_out	15	175	frame_175_15.png	black.jpg	0	  991.30	  722.60	    0.00	0
v30914ms	12	True	practice	1	12	timed_out	-15	645	frame_645_-15.png	black.jpg	0	  986.70	  523.00	    0.00	0
v30914ms	13	True	practice	1	13	timed_out	15	175	frame_175_15.png	black.jpg	0	  984.20	  725.00	    0.00	0
v30914ms	14	True	practice	1	14	timed_out	-15	410	frame_410_-15.png	black.jpg	0	  986.50	  658.90	    0.00	0
v30914ms	15	True	practice	1	15	abort	-15	880	frame_880_-15.png	black.jpg	0	  954.20	  894.00	    0.00	0
v30914ms	16	True	practice	1	16	timed_out	15	410	frame_410_15.png	black.jpg	0	-32768	-32768	    0.00	0
v30914ms	17	True	practice	1	17	abort	15	645	frame_645_15.png	black.jpg	0	  944.50	  895.40	    0.00	0
v30914ms	18	False	practice	1	18	good	15	175	frame_175_15.png	black.jpg	0	  994.10	  721.80	  146.23	 1247.80
v30914ms	19	False	practice	1	19	good	15	645	frame_645_15.png	black.jpg	0	  986.50	  716.10	  150.26	  958.99
v30914ms	20	True	practice	1	20	abort	15	880	frame_880_15.png	black.jpg	0	  973.20	  832.10	  150.26	0
v30914ms	21	True	practice	1	21	abort	-15	410	frame_410_-15.png	black.jpg	0	  977.00	  824.60	  150.26	0
v30914ms	22	True	practice	1	22	abort	-15	880	frame_880_-15.png	black.jpg	0	  974.00	  821.00	  150.26	0
v30914ms	23	False	practice	1	23	good	-15	410	frame_410_-15.png	black.jpg	0	  983.60	  711.50	  154.32	  880.39
v30914ms	24	False	practice	1	24	good	-15	645	frame_645_-15.png	black.jpg	0	  983.30	  705.10	  160.60	  779.47
v30914ms	25	False	practice	1	25	good	15	175	frame_175_15.png	black.jpg	0	  983.80	  700.20	  165.52	  686.15
v30914ms	26	True	practice	1	26	abort	15	410	frame_410_15.png	black.jpg	0	  952.90	  975.20	  165.52	0
v30914ms	27	False	practice	1	27	good	-15	880	frame_880_-15.png	black.jpg	0	  980.90	  713.40	  152.04	  830.32
v30914ms	28	False	practice	1	28	good	15	880	frame_880_15.png	black.jpg	0	  983.10	  710.20	  155.53	  816.38
v30914ms	29	False	practice	1	29	good	-15	410	frame_410_-15.png	black.jpg	0	  980.40	  710.60	  154.75	  816.85
v30914ms	30	False	practice	1	30	good	-15	175	frame_175_-15.png	black.jpg	0	  977.30	  713.50	  151.49	  869.13
v30914ms	31	False	practice	1	31	good	-15	175	frame_175_-15.png	black.jpg	0	  959.80	  705.90	  158.10	  796.17
v30914ms	32	False	practice	1	32	good	-15	880	frame_880_-15.png	black.jpg	0	  953.40	  706.30	  157.84	  810.74
v30914ms	33	True	practice	1	33	abort	15	410	frame_410_15.png	black.jpg	0	  964.60	  831.10	  157.84	0
v30914ms	34	False	practice	1	34	good	15	645	frame_645_15.png	black.jpg	0	  967.10	  708.30	  155.86	  946.05
v30914ms	35	False	practice	1	35	good	15	410	frame_410_15.png	black.jpg	0	  977.50	  712.80	  152.21	  798.95
v30914ms	36	False	practice	1	36	good	15	410	frame_410_15.png	black.jpg	0	  975.50	  703.50	  161.25	  947.48
v30914ms	37	False	practice	1	37	good	-15	645	frame_645_-15.png	black.jpg	0	  970.20	  703.30	  161.02	  866.80
v30914ms	38	False	practice	1	38	good	15	880	frame_880_15.png	black.jpg	0	  980.00	  706.20	  159.06	  784.17
v30914ms	39	False	real	1	1	good	15	175	frame_175_15.png	black.jpg	0	  979.90	  694.50	  170.66	  741.03
v30914ms	40	True	real	1	2	abort	15	410	frame_410_15.png	black.jpg	0	  961.00	  830.90	  170.66	0
v30914ms	41	True	real	1	3	abort	15	880	frame_880_15.png	black.jpg	0	  967.30	  832.60	  170.66	0
v30914ms	42	False	real	1	4	good	15	645	frame_645_15.png	black.jpg	0	  981.90	  698.90	  166.55	  695.22
v30914ms	43	True	real	1	5	abort	-15	410	frame_410_-15.png	black.jpg	0	  978.50	  835.10	  166.55	0
v30914ms	44	False	real	1	6	good	15	410	frame_410_15.png	black.jpg	0	  985.00	  702.00	  163.92	  654.29
v30914ms	45	False	real	1	7	good	-15	175	frame_175_-15.png	black.jpg	0	  983.50	  697.60	  168.05	  689.29
v30914ms	46	False	real	1	8	good	15	880	frame_880_15.png	black.jpg	0	  987.80	  707.30	  159.15	  946.22
v30914ms	47	False	real	1	9	good	-15	880	frame_880_-15.png	black.jpg	0	  983.80	  700.30	  165.42	  991.21
v30914ms	48	False	real	1	10	good	-15	645	frame_645_-15.png	black.jpg	0	  974.40	  706.70	  157.96	 1959.20
v30914ms	49	False	real	1	11	good	-15	410	frame_410_-15.png	black.jpg	0	  982.80	  706.20	  159.44	 1046.24
v30914ms	50	False	real	2	12	good	-15	175	frame_175_-15.png	black.jpg	0	  984.90	  700.10	  165.78	 1497.17
v30914ms	51	False	real	2	13	good	15	880	frame_880_15.png	black.jpg	0	  982.20	  704.00	  161.53	  785.99
v30914ms	52	False	real	2	14	good	15	645	frame_645_15.png	black.jpg	0	  980.50	  706.00	  159.32	  912.30
v30914ms	53	False	real	2	15	good	15	410	frame_410_15.png	black.jpg	0	  982.40	  709.20	  156.41	  711.98
v30914ms	54	False	real	2	16	good	15	175	frame_175_15.png	black.jpg	0	  991.20	  710.90	  156.25	  753.12
v30914ms	55	False	real	2	17	good	-15	880	frame_880_-15.png	black.jpg	0	  981.40	  704.50	  160.93	  638.92
v30914ms	56	False	real	2	18	good	-15	645	frame_645_-15.png	black.jpg	0	  984.90	  705.70	  160.25	  703.99
v30914ms	57	False	real	2	19	good	-15	410	frame_410_-15.png	black.jpg	0	  975.20	  698.70	  166.00	  657.88
v30914ms	58	False	real	3	20	good	-15	645	frame_645_-15.png	black.jpg	0	  976.40	  707.50	  157.36	  798.01
v30914ms	59	False	real	3	21	good	15	880	frame_880_15.png	black.jpg	0	  981.80	  708.50	  157.02	  860.93
v30914ms	60	False	real	3	22	good	15	410	frame_410_15.png	black.jpg	0	  988.50	  701.80	  164.68	  780.03
