Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v31031dm	1	True	practice	1	1	timed_out	-15	645	frame_645_-15.png	black.jpg	0	  946.90	  822.20	    0.00	0
v31031dm	2	True	practice	1	2	timed_out	15	175	frame_175_15.png	black.jpg	0	 1022.40	  790.60	    0.00	0
v31031dm	3	True	practice	1	3	timed_out	15	880	frame_880_15.png	black.jpg	0	 1101.80	  902.70	    0.00	0
v31031dm	4	True	practice	1	4	abort	-15	175	frame_175_-15.png	black.jpg	0	  905.30	  862.10	    0.00	0
v31031dm	5	True	practice	1	5	timed_out	15	175	frame_175_15.png	black.jpg	0	  961.40	  738.00	    0.00	0
v31031dm	6	False	practice	1	6	good	15	175	frame_175_15.png	black.jpg	0	  961.10	  735.90	  127.80	  898.55
v31031dm	7	True	practice	1	7	abort	15	410	frame_410_15.png	black.jpg	0	  953.30	  827.40	  127.80	0
v31031dm	8	True	practice	1	8	abort	-15	880	frame_880_-15.png	black.jpg	0	  946.10	  731.50	  127.80	0
v31031dm	9	False	practice	1	9	good	15	410	frame_410_15.png	black.jpg	0	  948.00	  726.40	  138.12	  544.18
v31031dm	10	True	practice	1	10	abort	15	880	frame_880_15.png	black.jpg	0	  953.90	  830.40	  138.12	0
v31031dm	11	False	practice	1	11	good	-15	880	frame_880_-15.png	black.jpg	0	  962.80	  733.70	  130.33	  492.04
v31031dm	12	False	practice	1	12	good	-15	410	frame_410_-15.png	black.jpg	0	  973.80	  736.20	  128.54	  468.61
v31031dm	13	False	practice	1	13	good	15	880	frame_880_15.png	black.jpg	0	  962.10	  731.40	  132.62	  481.07
v31031dm	14	True	practice	1	14	abort	15	175	frame_175_15.png	black.jpg	0	  946.90	  831.00	  132.62	0
v31031dm	15	False	practice	1	15	good	-15	645	frame_645_-15.png	black.jpg	0	  940.40	  732.80	  132.66	  463.90
v31031dm	16	True	practice	1	16	timed_out	15	880	frame_880_15.png	black.jpg	0	  945.80	  868.90	  113.91	0
v31031dm	17	False	practice	1	17	good	-15	880	frame_880_-15.png	black.jpg	0	  954.20	  725.50	  138.62	  485.17
v31031dm	18	False	practice	1	18	good	-15	175	frame_175_-15.png	black.jpg	0	  951.00	  732.50	  131.65	  493.46
v31031dm	19	False	practice	1	19	good	15	880	frame_880_15.png	black.jpg	0	  964.20	  727.30	  136.76	  466.18
