Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v31103tg	1	True	practice	1	1	timed_out	-15	645	frame_645_-15.png	black.jpg	0	  951.20	  682.20	    0.00	0
v31103tg	2	True	practice	1	2	abort	15	410	frame_410_15.png	black.jpg	0	  960.00	  809.60	    0.00	0
v31103tg	3	True	practice	1	3	timed_out	15	880	frame_880_15.png	black.jpg	0	  969.90	  698.30	    0.00	0
v31103tg	4	False	practice	1	4	good	15	645	frame_645_15.png	black.jpg	0	  963.10	  693.00	  171.03	 1181.55
v31103tg	5	False	practice	1	5	good	-15	645	frame_645_-15.png	black.jpg	0	  961.30	  710.60	  153.41	 1154.49
v31103tg	6	False	practice	1	6	good	-15	645	frame_645_-15.png	black.jpg	0	  970.40	  697.70	  166.62	 1086.25
v31103tg	7	False	practice	1	7	good	-15	410	frame_410_-15.png	black.jpg	0	  976.20	  700.20	  164.60	  951.08
v31103tg	8	False	practice	1	8	good	15	880	frame_880_15.png	black.jpg	0	  966.60	  696.80	  167.33	  916.63
v31103tg	9	False	practice	1	9	good	15	175	frame_175_15.png	black.jpg	0	  954.20	  703.10	  161.00	  837.42
v31103tg	10	False	practice	1	10	good	15	880	frame_880_15.png	black.jpg	0	  957.70	  688.40	  175.62	  983.89
v31103tg	11	False	practice	1	11	good	-15	175	frame_175_-15.png	black.jpg	0	  964.80	  692.90	  171.17	  953.41
v31103tg	12	True	practice	1	12	abort	-15	880	frame_880_-15.png	black.jpg	0	  965.50	  831.30	  171.17	0
v31103tg	13	False	practice	1	13	good	15	175	frame_175_15.png	black.jpg	0	  957.90	  702.70	  161.31	  843.88
v31103tg	14	False	practice	1	14	good	-15	175	frame_175_-15.png	black.jpg	0	  959.80	  704.70	  159.30	  858.28
v31103tg	15	False	practice	1	15	good	15	410	frame_410_15.png	black.jpg	0	  954.90	  701.50	  162.58	  839.36
v31103tg	16	False	practice	1	16	good	-15	880	frame_880_-15.png	black.jpg	0	  965.20	  695.10	  168.98	  788.24
v31103tg	17	False	practice	1	17	good	15	645	frame_645_15.png	black.jpg	0	  962.70	  697.60	  166.42	  717.29
v31103tg	18	False	practice	1	18	good	-15	880	frame_880_-15.png	black.jpg	0	  962.30	  694.50	  169.52	  781.11
v31103tg	19	False	practice	1	19	good	15	410	frame_410_15.png	black.jpg	0	  974.00	  710.80	  153.84	  988.93
v31103tg	20	False	practice	1	20	good	-15	410	frame_410_-15.png	black.jpg	0	  961.00	  699.40	  164.60	 1038.05
v31103tg	21	False	real	1	1	good	15	410	frame_410_15.png	black.jpg	0	  960.30	  686.90	  177.10	  744.23
v31103tg	22	True	real	1	2	abort	15	175	frame_175_15.png	black.jpg	0	  947.60	  899.30	  177.10	0
v31103tg	23	True	real	1	3	abort	-15	410	frame_410_-15.png	black.jpg	0	  967.80	  827.10	  177.10	0
v31103tg	24	False	real	1	4	good	-15	645	frame_645_-15.png	black.jpg	0	  950.50	  708.10	  156.19	  947.17
v31103tg	25	False	real	1	5	good	15	645	frame_645_15.png	black.jpg	0	  954.90	  692.10	  171.98	  758.44
v31103tg	26	False	real	1	6	good	15	175	frame_175_15.png	black.jpg	0	  972.20	  696.40	  168.04	  754.10
v31103tg	27	False	real	1	7	good	15	880	frame_880_15.png	black.jpg	0	  955.10	  703.80	  160.27	 1013.23
v31103tg	28	False	real	1	8	good	-15	410	frame_410_-15.png	black.jpg	0	  968.10	  690.20	  173.99	  418.26
v31103tg	29	False	real	1	9	good	-15	880	frame_880_-15.png	black.jpg	0	  958.90	  705.90	  158.10	 1204.99
v31103tg	30	False	real	1	10	good	-15	175	frame_175_-15.png	black.jpg	0	  975.70	  702.60	  162.16	  808.88
v31103tg	31	False	real	2	11	good	-15	410	frame_410_-15.png	black.jpg	0	  998.40	  718.30	  150.68	 1018.29
v31103tg	32	False	real	2	12	good	-15	645	frame_645_-15.png	black.jpg	0	 1003.70	  741.10	  130.44	 1012.19
v31103tg	33	False	real	2	13	good	-15	175	frame_175_-15.png	black.jpg	0	 1008.70	  745.90	  127.75	  925.72
v31103tg	34	False	real	2	14	good	15	410	frame_410_15.png	black.jpg	0	 1017.00	  729.50	  146.08	 1002.24
v31103tg	35	False	real	2	15	good	15	175	frame_175_15.png	black.jpg	0	 1007.20	  752.20	  121.36	  879.09
v31103tg	36	False	real	2	16	good	15	645	frame_645_15.png	black.jpg	0	  992.70	  723.90	  143.87	  864.16
v31103tg	37	False	real	2	17	good	-15	880	frame_880_-15.png	black.jpg	0	  944.70	  697.00	  167.70	  732.93
v31103tg	38	False	real	2	18	good	15	880	frame_880_15.png	black.jpg	0	  950.20	  708.90	  155.41	  875.16
v31103tg	39	False	real	3	19	good	-15	175	frame_175_-15.png	black.jpg	0	  939.90	  707.60	  157.69	  996.05
