Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v31106mh	1	False	practice	1	1	good	-15	410	frame_410_-15.png	black.jpg	0	  950.10	  703.10	  161.15	 1578.68
v31106mh	2	False	practice	1	2	good	-15	410	frame_410_-15.png	black.jpg	0	  968.80	  709.70	  154.55	 1049.87
v31106mh	3	True	practice	1	3	abort	15	410	frame_410_15.png	black.jpg	0	  965.20	  829.90	  154.55	0
v31106mh	4	True	practice	1	4	abort	15	645	frame_645_15.png	black.jpg	0	  963.00	  832.10	  154.55	0
v31106mh	5	False	practice	1	5	good	15	880	frame_880_15.png	black.jpg	0	  943.20	  702.80	  162.07	 1200.29
v31106mh	6	False	practice	1	6	good	-15	175	frame_175_-15.png	black.jpg	0	  938.10	  703.00	  162.48	 1110.18
v31106mh	7	True	practice	1	7	abort	15	175	frame_175_15.png	black.jpg	0	  958.30	  828.20	  162.48	0
v31106mh	8	False	practice	1	8	good	-15	175	frame_175_-15.png	black.jpg	0	  955.80	  705.70	  158.36	 2033.63
v31106mh	9	False	practice	1	9	good	15	410	frame_410_15.png	black.jpg	0	  952.80	  713.90	  150.27	 1366.50
v31106mh	10	False	practice	1	10	good	15	175	frame_175_15.png	black.jpg	0	  943.20	  708.70	  156.21	 1267.16
v31106mh	11	False	practice	1	11	good	15	645	frame_645_15.png	black.jpg	0	  952.40	  699.10	  165.08	  978.36
v31106mh	12	True	practice	1	12	abort	15	410	frame_410_15.png	black.jpg	0	  955.80	  832.10	  165.08	0
v31106mh	13	True	practice	1	13	abort	15	645	frame_645_15.png	black.jpg	0	  959.20	  831.90	  165.08	0
v31106mh	14	False	practice	1	14	good	-15	880	frame_880_-15.png	black.jpg	0	  951.50	  697.90	  166.32	 1273.55
v31106mh	15	True	practice	1	15	abort	15	645	frame_645_15.png	black.jpg	0	  969.50	  830.40	  166.32	0
v31106mh	16	True	practice	1	16	abort	15	880	frame_880_15.png	black.jpg	0	  958.60	  831.90	  166.32	0
v31106mh	17	True	practice	1	17	abort	15	175	frame_175_15.png	black.jpg	0	  958.90	  829.70	  166.32	0
v31106mh	18	False	practice	1	18	good	15	410	frame_410_15.png	black.jpg	0	  941.40	  712.10	  153.03	 1149.84
v31106mh	19	False	practice	1	19	good	-15	880	frame_880_-15.png	black.jpg	0	  942.70	  713.10	  151.89	 1048.87
v31106mh	20	False	practice	1	20	good	15	175	frame_175_15.png	black.jpg	0	  948.10	  709.80	  154.66	 1020.75
v31106mh	21	False	practice	1	21	good	-15	645	frame_645_-15.png	black.jpg	0	  943.40	  712.50	  152.41	  964.48
v31106mh	22	False	practice	1	22	good	15	645	frame_645_15.png	black.jpg	0	  953.90	  711.00	  153.12	  837.33
v31106mh	23	False	practice	1	23	good	15	880	frame_880_15.png	black.jpg	0	  944.50	  715.20	  149.61	 1115.83
v31106mh	24	False	practice	1	24	good	-15	645	frame_645_-15.png	black.jpg	0	  955.50	  704.10	  159.96	 1018.70
v31106mh	25	False	real	1	1	good	-15	880	frame_880_-15.png	black.jpg	0	  957.60	  711.40	  152.62	 1818.10
v31106mh	26	False	real	1	2	good	-15	410	frame_410_-15.png	black.jpg	0	  962.80	  710.10	  153.93	 1215.02
v31106mh	27	False	real	1	3	good	15	645	frame_645_15.png	black.jpg	0	  962.10	  711.60	  152.41	 1040.29
v31106mh	28	False	real	1	4	good	-15	175	frame_175_-15.png	black.jpg	0	  960.60	  698.10	  165.90	  868.15
v31106mh	29	False	real	1	5	good	15	175	frame_175_15.png	black.jpg	0	  958.90	  713.70	  150.30	  846.25
v31106mh	30	False	real	1	6	good	15	880	frame_880_15.png	black.jpg	0	  973.40	  710.90	  153.69	  946.03
