Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v31122cc	1	True	practice	1	1	timed_out	-15	175	frame_175_-15.png	black.jpg	0	  960.40	  716.00	    0.00	0
v31122cc	2	False	practice	1	2	good	-15	410	frame_410_-15.png	black.jpg	0	  950.00	  724.40	  139.96	 1093.06
v31122cc	3	False	practice	1	3	good	-15	880	frame_880_-15.png	black.jpg	0	  947.80	  734.50	  130.07	 1071.43
v31122cc	4	False	practice	1	4	good	-15	175	frame_175_-15.png	black.jpg	0	  956.80	  718.20	  145.84	  872.71
v31122cc	5	False	practice	1	5	good	-15	175	frame_175_-15.png	black.jpg	0	  960.40	  713.00	  151.00	  966.84
v31122cc	6	False	practice	1	6	good	15	880	frame_880_15.png	black.jpg	0	  957.90	  714.30	  149.71	  913.25
v31122cc	7	False	practice	1	7	good	-15	880	frame_880_-15.png	black.jpg	0	  959.00	  722.60	  141.40	  950.18
v31122cc	8	False	practice	1	8	good	15	410	frame_410_15.png	black.jpg	0	  973.30	  722.70	  141.92	  892.00
v31122cc	9	False	practice	1	9	good	15	175	frame_175_15.png	black.jpg	0	  958.00	  730.00	  134.01	  809.44
v31122cc	10	True	practice	1	10	timed_out	15	410	frame_410_15.png	black.jpg	0	  959.40	  718.80	  109.62	0
v31122cc	11	False	practice	1	11	good	-15	645	frame_645_-15.png	black.jpg	0	  960.00	  736.20	  127.80	 1080.08
v31122cc	12	False	practice	1	12	good	-15	410	frame_410_-15.png	black.jpg	0	  962.60	  731.60	  132.72	  992.89
v31122cc	13	False	practice	1	13	good	15	645	frame_645_15.png	black.jpg	0	  954.40	  726.70	  137.41	  855.04
v31122cc	14	True	practice	1	14	timed_out	-15	645	frame_645_-15.png	black.jpg	0	-32768	-32768	  117.27	0
v31122cc	15	False	practice	1	15	good	15	645	frame_645_15.png	black.jpg	0	  967.10	  722.20	  141.98	 1218.67
v31122cc	16	False	practice	1	16	good	15	880	frame_880_15.png	black.jpg	0	  969.70	  723.20	  141.13	  941.88
v31122cc	17	False	practice	1	17	good	15	410	frame_410_15.png	black.jpg	0	  966.10	  726.00	  138.13	  861.07
v31122cc	18	False	practice	1	18	good	-15	645	frame_645_-15.png	black.jpg	0	  966.80	  733.10	  131.08	  776.51
v31122cc	19	False	practice	1	19	good	15	175	frame_175_15.png	black.jpg	0	  962.70	  725.00	  139.42	  894.32
v31122cc	20	False	real	1	1	good	-15	880	frame_880_-15.png	black.jpg	0	  974.30	  723.10	  141.62	  872.00
v31122cc	21	False	real	1	2	good	15	645	frame_645_15.png	black.jpg	0	  965.10	  732.90	  131.20	  852.19
v31122cc	22	False	real	1	3	good	15	410	frame_410_15.png	black.jpg	0	  964.60	  725.40	  138.68	  825.07
v31122cc	23	False	real	1	4	good	-15	410	frame_410_-15.png	black.jpg	0	  964.30	  722.40	  141.67	  690.19
v31122cc	24	False	real	1	5	good	15	175	frame_175_15.png	black.jpg	0	  958.30	  713.20	  150.81	  819.18
