Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v31127nf	1	True	practice	1	1	timed_out	15	880	frame_880_15.png	black.jpg	0	 1028.80	  457.00	    0.00	0
v31127nf	2	False	practice	1	2	good	15	175	frame_175_15.png	black.jpg	0	  954.90	  719.50	  144.59	 1973.23
v31127nf	3	True	practice	1	3	abort	-15	175	frame_175_-15.png	black.jpg	0	  963.50	  808.00	  144.59	0
v31127nf	4	False	practice	1	4	good	-15	645	frame_645_-15.png	black.jpg	0	  933.90	  718.90	  147.43	  973.84
v31127nf	5	False	practice	1	5	good	15	880	frame_880_15.png	black.jpg	0	  936.10	  720.80	  145.18	  931.99
v31127nf	6	False	practice	1	6	good	15	175	frame_175_15.png	black.jpg	0	  938.20	  711.80	  153.75	 1382.14
v31127nf	7	False	practice	1	7	good	-15	880	frame_880_-15.png	black.jpg	0	  937.00	  712.20	  153.63	  861.27
v31127nf	8	False	practice	1	8	good	-15	175	frame_175_-15.png	black.jpg	0	  931.70	  710.70	  155.89	  736.05
v31127nf	9	False	practice	1	9	good	15	645	frame_645_15.png	black.jpg	0	  938.80	  704.60	  160.82	  643.17
v31127nf	10	False	practice	1	10	good	15	880	frame_880_15.png	black.jpg	0	  951.20	  709.60	  154.65	  574.01
v31127nf	11	False	practice	1	11	good	15	410	frame_410_15.png	black.jpg	0	  935.30	  706.10	  159.82	  682.05
v31127nf	12	False	practice	1	12	good	15	645	frame_645_15.png	black.jpg	0	  936.70	  728.00	  137.98	  584.76
v31127nf	13	False	practice	1	13	good	-15	175	frame_175_-15.png	black.jpg	0	  908.40	  726.40	  146.96	  678.25
v31127nf	14	False	practice	1	14	good	15	410	frame_410_15.png	black.jpg	0	  951.30	  713.30	  150.95	  742.10
v31127nf	15	False	practice	1	15	good	-15	410	frame_410_-15.png	black.jpg	0	  940.80	  715.10	  150.13	  890.43
v31127nf	16	False	practice	1	16	good	-15	880	frame_880_-15.png	black.jpg	0	  937.70	  714.70	  150.96	  634.29
v31127nf	17	False	practice	1	17	good	-15	410	frame_410_-15.png	black.jpg	0	  941.10	  717.70	  148.06	  678.08
v31127nf	18	False	practice	1	18	good	-15	645	frame_645_-15.png	black.jpg	0	  936.80	  717.00	  148.82	  576.11
v31127nf	19	False	real	1	1	good	15	880	frame_880_15.png	black.jpg	0	  963.00	  715.00	  149.03	  805.21
