"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,7.42489664712102,-1.83826786942871,1.14341728414894
"pse...2",-10.1154731540009,0.792240034788847,7.42490065768751,-1.83863716302617,1.14105900525217
"pse...3",-14.088248074986,0.241769740357995,7.42489669125497,-1.83837715192959,1.14332038163366
"pse...4",-2.21503028646111,1.23571576131508,7.42489675335487,-1.83816318351547,1.14310210844335
"pse...5",-7.10375221911818,0.952647742349654,7.42489687441108,-1.83784191710485,1.1439504023157
"pse...6",10.8695699600503,0.297757264226675,7.42489671179644,-1.8383219162481,1.14319359053477
"pse...7",-9.58709761267528,1.99854662409052,7.42489670693277,-1.83804102027865,1.14328913925126
"pse...8",10.252235471271,0.285298119764775,7.42489672716984,-1.83794813928719,1.1433897298915
"pse...9",-4.65454840566963,1.77925090771168,7.42489666515463,-1.83807217671674,1.14340547819128
"pse...10",-5.40455113397911,1.41803166735917,7.424896728539,-1.83839731540495,1.14371063054479
"pse...11",3.8445515697822,0.87634513201192,7.4248966812261,-1.8383603169486,1.14334044022697
"pse...12",-4.80311915511265,1.86618517432362,7.42489674828187,-1.83813870108069,1.14391464637279
"pse...13",6.38863236643374,1.26170374592766,7.42489681139316,-1.838555294011,1.14325496763258
"pse...14",7.39348310278729,0.22290057502687,7.42489671775176,-1.83809473226929,1.14320903233252
"pse...15",-6.80134454509243,0.197036178316921,7.4248967079725,-1.83795430535852,1.14363481476749
"pse...16",7.7258844813332,1.32718420773745,7.42489671147576,-1.8383591789897,1.14371757183966
"pse...17",6.73083281842992,0.917893062811345,7.42489679222887,-1.83843745542833,1.14310015819231
"pse...18",5.23195741698146,1.40102722961456,7.42489672302926,-1.83821902339536,1.14314742092962
"pse...19",9.45216655964032,1.38236297573894,7.42489667169929,-1.83808404748952,1.14335558361649
"pse...20",6.49237031349912,1.7811597827822,7.42489668001617,-1.83800272717079,1.14352085949675
"pse...21",-4.79109353385866,1.33712569065392,7.42489663842724,-1.83816486332244,1.14353973991743
"pse...22",-3.47238088957965,0.470226733479649,7.42489674116359,-1.8378960050791,1.14359853814282
"pse...23",11.6549108549953,1.60290331766009,7.42489672425529,-1.83840035375682,1.14322888306871
"pse...24",2.89283210411668,1.95403548283502,7.42489667435486,-1.83815817741702,1.1432844014826
"pse...25",-5.15685097547248,1.61036005662754,7.42489684188784,-1.83794161032187,1.14399767054166
"pse...26",-14.030538580846,0.896579755470157,7.42489678483011,-1.83787324551383,1.14377693795496
"pse...27",-7.0580484601669,0.818535035476089,7.42489680113267,-1.83807771025407,1.14306548191813
"pse...28",-9.16209599236026,1.08697502827272,7.42489683644346,-1.83839529475641,1.14393208089371
"pse...29",13.0531110288575,1.54807522054762,7.42489670563011,-1.83843059504285,1.14351289977118
"pse...30",14.9064975022338,1.6452516829595,7.42489668561914,-1.83812349322499,1.14327064808228
"pse...31",-3.24883968103677,0.770498960278928,7.4248968359669,-1.83788018763527,1.14392454658175
"pse...32",11.9741340028122,0.637706046923995,7.42489704040049,-1.83863681545314,1.14290803928539
"pse...33",-8.73934552771971,1.12835434125736,7.42489670949731,-1.83796120498679,1.14367355473163
"pse...34",-0.537466944660991,0.13022926542908,7.42489667998542,-1.83828088979745,1.14326407965628
"pse...35",-7.16167943319306,0.660671283490956,7.4248967723284,-1.8385314232002,1.14339714153492
"pse...36",-5.0830762507394,0.18470659153536,7.4248967613889,-1.83790683135001,1.14336568106826
"pse...37",5.81980582326651,0.232979252003133,7.42489676886046,-1.83791158920646,1.14332939166453
"pse...38",11.1179193668067,0.257341200485826,7.42489733086648,-1.83806304512356,1.14254262165706
"pse...39",10.0613391492516,0.475383792072535,7.42489681733857,-1.83822285744025,1.14298778218482
"pse...40",-1.48744178703055,1.66859723208472,7.42489667639223,-1.83801773426185,1.14347470379002
"pse...41",4.97390852775425,1.08823836874217,7.42489681933302,-1.83799889558499,1.1439974018354
"pse...42",4.86875790869817,1.74702454963699,7.42489668169783,-1.83838765036739,1.14348222145258
"pse...43",5.05164217902347,0.427090503741056,7.42489674055128,-1.83789652726843,1.14359084648718
"pse...44",-2.42776960367337,0.925551891792566,7.42489665174296,-1.8380813177623,1.14354263480096
"pse...45",3.56426098616794,0.967452389188111,7.42489676249083,-1.83788373129583,1.14371188206404
"pse...46",7.68813236150891,0.443223801441491,7.42489711043417,-1.8382674679417,1.14266417760234
"pse...47",14.7353828768246,1.95945909665897,7.42489669465618,-1.83841101817797,1.1435106419095
"pse...48",10.7708918815479,0.483028418850154,7.42489669811221,-1.83803204804902,1.14332942752418
"pse...49",3.93997715553269,1.48809128301218,7.42489667241255,-1.83828914088074,1.14367446330257
"pse...50",8.23211068287492,1.34967308910564,7.42489667948426,-1.83814749911216,1.14375777484209
"pse...51",7.40335321985185,1.94818443665281,7.42489676344113,-1.83790724398572,1.14377941887576
"pse...52",-10.8701321901754,1.49083702685311,7.42489670290782,-1.83842983493398,1.14344410476942
"pse...53",-4.91306316806003,1.29541683150455,7.424896658154,-1.83821481436709,1.14367472013707
"pse...54",11.4502522791736,0.856978599913418,7.4248967890413,-1.83826549631382,1.14302859119522
