"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.92548765811607,-3.48476798561006,1.02177715155914
"pse...2",-10.1154731540009,0.792240034788847,6.92548742659901,-3.48425043531641,1.02238480956812
"pse...3",-14.088248074986,0.241769740357995,6.9254874006981,-3.4842819610442,1.02234900029169
"pse...4",-2.21503028646111,1.23571576131508,6.92548742873757,-3.48422874182432,1.02200843914308
"pse...5",-7.10375221911818,0.952647742349654,6.92548751239928,-3.48408657759048,1.02230936156001
"pse...6",10.8695699600503,0.297757264226675,6.92548741781158,-3.48463398960011,1.02207224657667
"pse...7",-9.58709761267528,1.99854662409052,6.92548742330181,-3.48420424452185,1.02230000971429
"pse...8",10.252235471271,0.285298119764775,6.92548738318238,-3.48425683244502,1.02218790081532
"pse...9",-4.65454840566963,1.77925090771168,6.92548736980693,-3.48429683606705,1.02223006295375
"pse...10",-5.40455113397911,1.41803166735917,6.92548739733951,-3.48436205906349,1.02196551186527
"pse...11",3.8445515697822,0.87634513201192,6.92548741874269,-3.48448237122599,1.02191542434266
"pse...12",-4.80311915511265,1.86618517432362,6.92548736186581,-3.48431940895067,1.02214529461807
"pse...13",6.38863236643374,1.26170374592766,6.92548742605889,-3.48420393227635,1.02231078617216
"pse...14",7.39348310278729,0.22290057502687,6.92548739272254,-3.48426476003777,1.02229733123748
"pse...15",-6.80134454509243,0.197036178316921,6.92548739640344,-3.48460475746167,1.02211077076316
"pse...16",7.7258844813332,1.32718420773745,6.92548741607069,-3.48422295978363,1.02231278058203
"pse...17",6.73083281842992,0.917893062811345,6.9254874293594,-3.48453782105023,1.02191830867555
"pse...18",5.23195741698146,1.40102722961456,6.92548761151617,-3.48424190220604,1.02171789854942
"pse...19",9.45216655964032,1.38236297573894,6.92548753487185,-3.4847908409752,1.02214857723132
"pse...20",6.49237031349912,1.7811597827822,6.92548755684784,-3.48404218360485,1.02207565090456
"pse...21",-4.79109353385866,1.33712569065392,6.92548740711834,-3.48421382411554,1.02223347352946
"pse...22",-3.47238088957965,0.470226733479649,6.92548761463805,-3.48458192503157,1.02168804393547
"pse...23",11.6549108549953,1.60290331766009,6.92548744217796,-3.48417976705088,1.0220612490233
"pse...24",2.89283210411668,1.95403548283502,6.92548746900371,-3.48455038457604,1.02248107257683
"pse...25",-5.15685097547248,1.61036005662754,6.92548745681425,-3.48468616487891,1.02204669126332
"pse...26",-14.030538580846,0.896579755470157,6.92548744791145,-3.48415051329995,1.02214838512291
"pse...27",-7.0580484601669,0.818535035476089,6.9254874324214,-3.48463427939864,1.02231415229723
"pse...28",-9.16209599236026,1.08697502827272,6.92548736280274,-3.48437433594446,1.0222922603449
"pse...29",13.0531110288575,1.54807522054762,6.92548744393275,-3.4842794620794,1.02192003191683
"pse...30",14.9064975022338,1.6452516829595,6.92548746777126,-3.4846682770524,1.02197138864723
"pse...31",-3.24883968103677,0.770498960278928,6.92548747145442,-3.48459723599057,1.02244994764082
"pse...32",11.9741340028122,0.637706046923995,6.92548738814144,-3.48443721304041,1.02237579052879
"pse...33",-8.73934552771971,1.12835434125736,6.92548745288544,-3.48415522860488,1.02208969855051
"pse...34",-0.537466944660991,0.13022926542908,6.92548750954789,-3.48427806038061,1.02254874050948
"pse...35",-7.16167943319306,0.660671283490956,6.92548746372021,-3.48436756506694,1.0218440507738
"pse...36",-5.0830762507394,0.18470659153536,6.92548737595838,-3.48443792469029,1.0220058409339
"pse...37",5.81980582326651,0.232979252003133,6.92548757993399,-3.48416672471058,1.0225683665588
"pse...38",11.1179193668067,0.257341200485826,6.92548756863769,-3.48430434926727,1.02173359733685
"pse...39",10.0613391492516,0.475383792072535,6.92548743390133,-3.48466830766127,1.02221504976685
"pse...40",-1.48744178703055,1.66859723208472,6.9254873775705,-3.4842858732072,1.02226119871396
"pse...41",4.97390852775425,1.08823836874217,6.92548735451247,-3.48434640833835,1.02219880706795
"pse...42",4.86875790869817,1.74702454963699,6.9254873977424,-3.48443181336514,1.02239887453132
"pse...43",5.05164217902347,0.427090503741056,6.92548738697265,-3.48425411347087,1.02223503880871
"pse...44",-2.42776960367337,0.925551891792566,6.92548743216575,-3.48417643896555,1.02212418749547
"pse...45",3.56426098616794,0.967452389188111,6.92548740737017,-3.48422844898404,1.02208459722272
"pse...46",7.68813236150891,0.443223801441491,6.92548747058587,-3.48448637465671,1.02183077256259
"pse...47",14.7353828768246,1.95945909665897,6.92548739244069,-3.48424098736201,1.02214259525035
"pse...48",10.7708918815479,0.483028418850154,6.92548748436316,-3.48444227816154,1.02180657565635
