"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.90370121319278,2.94650398327213,1.21536042870003
"pse...2",-10.1154731540009,0.792240034788847,6.90370122640362,2.94614773582839,1.2158639515548
"pse...3",-14.088248074986,0.241769740357995,6.90370118419774,2.94641991420361,1.21578126318597
"pse...4",-2.21503028646111,1.23571576131508,6.90370122209662,2.94661036786534,1.21564329210485
"pse...5",-7.10375221911818,0.952647742349654,6.90370134805412,2.94600073958912,1.21547227676234
"pse...6",10.8695699600503,0.297757264226675,6.90370129813473,2.9466525575463,1.21586207914825
"pse...7",-9.58709761267528,1.99854662409052,6.9037012178504,2.94661017057188,1.21551706293896
"pse...8",10.252235471271,0.285298119764775,6.90370124332442,2.94666509810864,1.21555250999138
"pse...9",-4.65454840566963,1.77925090771168,6.90370124421509,2.94662496769634,1.21573504221087
"pse...10",-5.40455113397911,1.41803166735917,6.90370126101511,2.9460549875403,1.21578143999287
"pse...11",3.8445515697822,0.87634513201192,6.90370130736801,2.94650973252809,1.21512674277412
"pse...12",-4.80311915511265,1.86618517432362,6.9037012024362,2.94657221601318,1.21556154211008
"pse...13",6.38863236643374,1.26170374592766,6.90370123798015,2.94664542522803,1.21544755816754
"pse...14",7.39348310278729,0.22290057502687,6.90370121675218,2.94653276154991,1.21579571430276
"pse...15",-6.80134454509243,0.197036178316921,6.9037012795726,2.94668749079555,1.21531813552934
"pse...16",7.7258844813332,1.32718420773745,6.90370126017321,2.94606518474843,1.21565608677009
"pse...17",6.73083281842992,0.917893062811345,6.9037015886354,2.94686951675682,1.21604638316168
"pse...18",5.23195741698146,1.40102722961456,6.90370145754934,2.94693239799713,1.21529768324579
"pse...19",9.45216655964032,1.38236297573894,6.90370126083449,2.94669532209217,1.21556566207108
"pse...20",6.49237031349912,1.7811597827822,6.90370124199022,2.94652692579165,1.21527765030975
"pse...21",-4.79109353385866,1.33712569065392,6.90370165730017,2.94613119908661,1.21486066889868
"pse...22",-3.47238088957965,0.470226733479649,6.90370120566853,2.94656749058533,1.21547546567851
"pse...23",11.6549108549953,1.60290331766009,6.90370136215928,2.94636626756453,1.21506203092605
"pse...24",2.89283210411668,1.95403548283502,6.90370125250188,2.94642571704492,1.21599726693252
"pse...25",-5.15685097547248,1.61036005662754,6.90370119383231,2.94650887387962,1.21572171652179
"pse...26",-14.030538580846,0.896579755470157,6.90370119873416,2.94655617498794,1.21551656704945
"pse...27",-7.0580484601669,0.818535035476089,6.90370137984507,2.94685216317784,1.21557808374723
"pse...28",-9.16209599236026,1.08697502827272,6.9037012252976,2.94638725613592,1.21594881008397
"pse...29",13.0531110288575,1.54807522054762,6.90370119009869,2.94649961290746,1.21571431749077
"pse...30",14.9064975022338,1.6452516829595,6.90370144908331,2.94609699989995,1.21634467580563
"pse...31",-3.24883968103677,0.770498960278928,6.90370128275032,2.94669496289329,1.21572127170156
"pse...32",11.9741340028122,0.637706046923995,6.90370127604419,2.94603028069806,1.21579599233733
"pse...33",-8.73934552771971,1.12835434125736,6.90370119285833,2.94629954791264,1.2158512014595
"pse...34",-0.537466944660991,0.13022926542908,6.90370123811396,2.94665075955585,1.21560032733823
"pse...35",-7.16167943319306,0.660671283490956,6.90370118946106,2.94651417023882,1.2156755245024
"pse...36",-5.0830762507394,0.18470659153536,6.90370117959892,2.94647730749302,1.21566797167371
"pse...37",5.81980582326651,0.232979252003133,6.9037012276603,2.94629651657259,1.21536094214998
"pse...38",11.1179193668067,0.257341200485826,6.90370122669275,2.94624150329239,1.21541582179935
"pse...39",10.0613391492516,0.475383792072535,6.90370122845662,2.94618565822684,1.21548764478739
"pse...40",-1.48744178703055,1.66859723208472,6.9037011958498,2.94655116328934,1.21554484087453
"pse...41",4.97390852775425,1.08823836874217,6.90370127157897,2.94661802586039,1.21584588379583
"pse...42",4.86875790869817,1.74702454963699,6.90370120442056,2.94646861770819,1.21582750858062
"pse...43",5.05164217902347,0.427090503741056,6.90370122087514,2.94656171393801,1.21537430249539
"pse...44",-2.42776960367337,0.925551891792566,6.90370122230088,2.94631854055096,1.2159575711321
"pse...45",3.56426098616794,0.967452389188111,6.90370122637072,2.94630078940612,1.2153613331994
"pse...46",7.68813236150891,0.443223801441491,6.90370132466066,2.94671313155919,1.21582072371483
"pse...47",14.7353828768246,1.95945909665897,6.90370117585971,2.94628506362362,1.21563701330603
"pse...48",10.7708918815479,0.483028418850154,6.90370131293178,2.94609876773968,1.21610202637829
"pse...49",3.93997715553269,1.48809128301218,6.90370120962029,2.94655208505304,1.21541783137392
"pse...50",8.23211068287492,1.34967308910564,6.90370126463747,2.94639466738714,1.21522245758498
"pse...51",7.40335321985185,1.94818443665281,6.90370141186782,2.94665183021995,1.21498581558668
"pse...52",-10.8701321901754,1.49083702685311,6.90370132098071,2.94596955927148,1.21587377007606
"pse...53",-4.91306316806003,1.29541683150455,6.90370124442133,2.94660614141623,1.21532957453637
"pse...54",11.4502522791736,0.856978599913418,6.90370126318814,2.94612527279298,1.21547121990993
"pse...55",13.3049145620316,0.505520246457309,6.9037012074413,2.94658111856497,1.21550674311964
"pse...56",14.6616448508576,1.8122444706969,6.9037013192692,2.94646923917255,1.21610194325075
"pse...57",-14.4168034312315,1.10677122045308,6.90370128940044,2.94654741932687,1.21598041798888
"pse...58",-4.75212800083682,1.26142082549632,6.90370123706619,2.94609907958704,1.21572126274677
"pse...59",3.54894902324304,1.8458823855035,6.90370124380197,2.94609696911206,1.21563972293114
"pse...60",7.70932551473379,0.504852851387113,6.90370119671944,2.94620557329489,1.21563090338675
"pse...61",10.1540609216318,0.877452055457979,6.90370122640354,2.94663089694557,1.21555786320319
