"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.70024732017783,-1.04943430767925,1.07652969325429
"pse...2",-10.1154731540009,0.792240034788847,6.70024739081179,-1.04919347777867,1.07673698675925
"pse...3",-14.088248074986,0.241769740357995,6.70024741715075,-1.0492733689799,1.07640668917059
"pse...4",-2.21503028646111,1.23571576131508,6.70024730951901,-1.04936965101141,1.07662496440427
"pse...5",-7.10375221911818,0.952647742349654,6.70024739519925,-1.04933275340529,1.07698923203716
"pse...6",10.8695699600503,0.297757264226675,6.70024736296684,-1.04924298949397,1.07676826531182
"pse...7",-9.58709761267528,1.99854662409052,6.70024732742943,-1.04935207515272,1.07655890729553
"pse...8",10.252235471271,0.285298119764775,6.70024736385733,-1.04924105465686,1.07676661565603
"pse...9",-4.65454840566963,1.77925090771168,6.70024737918978,-1.04975171923859,1.07677553022279
"pse...10",-5.40455113397911,1.41803166735917,6.70024733418216,-1.04955846713066,1.07651057058435
"pse...11",3.8445515697822,0.87634513201192,6.70024738994384,-1.04938086104496,1.07639135531741
"pse...12",-4.80311915511265,1.86618517432362,6.70024736530463,-1.04922949681129,1.07669086220812
"pse...13",6.38863236643374,1.26170374592766,6.70024736023955,-1.04953759405829,1.07697923449253
"pse...14",7.39348310278729,0.22290057502687,6.70024790797342,-1.04973914383549,1.07596197605135
"pse...15",-6.80134454509243,0.197036178316921,6.70024741450727,-1.0495873618038,1.0770607400779
"pse...16",7.7258844813332,1.32718420773745,6.70024738781042,-1.04938106076308,1.07639503098032
"pse...17",6.73083281842992,0.917893062811345,6.70024745259146,-1.04912872830385,1.07680815125876
"pse...18",5.23195741698146,1.40102722961456,6.70024734112761,-1.04929927657268,1.07680835123557
"pse...19",9.45216655964032,1.38236297573894,6.70024733428197,-1.04964337358909,1.07683797852128
"pse...20",6.49237031349912,1.7811597827822,6.70024750648415,-1.0495156820767,1.07719122501053
"pse...21",-4.79109353385866,1.33712569065392,6.70024759232937,-1.04916779209045,1.07623888599918
"pse...22",-3.47238088957965,0.470226733479649,6.70024732737734,-1.04965077387823,1.07665569919669
"pse...23",11.6549108549953,1.60290331766009,6.70024732246797,-1.04960339413144,1.07658690463894
"pse...24",2.89283210411668,1.95403548283502,6.70024736765474,-1.04951957778109,1.07699635739229
"pse...25",-5.15685097547248,1.61036005662754,6.70024734868531,-1.0495806312022,1.07648726482533
"pse...26",-14.030538580846,0.896579755470157,6.70024739813426,-1.04957527758456,1.07638783399811
"pse...27",-7.0580484601669,0.818535035476089,6.70024735443634,-1.04959494858854,1.07694546054828
"pse...28",-9.16209599236026,1.08697502827272,6.70024731453565,-1.04938724760577,1.07682529192584
"pse...29",13.0531110288575,1.54807522054762,6.70024737772025,-1.04923470180011,1.07656089787481
"pse...30",14.9064975022338,1.6452516829595,6.70024734948398,-1.04932316842065,1.07687624796046
