"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,5.52502190153802,-0.999849573873277,1.05200149986797
"pse...2",-10.1154731540009,0.792240034788847,5.52502194761823,-0.999486218956572,1.05218304999972
"pse...3",-14.088248074986,0.241769740357995,5.52502199299185,-1.00007054201228,1.05190012279318
"pse...4",-2.21503028646111,1.23571576131508,5.52502196205079,-0.99967575223089,1.05185553215887
"pse...5",-7.10375221911818,0.952647742349654,5.52502197711964,-0.999442492907344,1.05233266235008
"pse...6",10.8695699600503,0.297757264226675,5.5250223739317,-0.999214467352271,1.05284250800682
"pse...7",-9.58709761267528,1.99854662409052,5.52502188978865,-0.999727495119661,1.05205895358191
"pse...8",10.252235471271,0.285298119764775,5.5250220053431,-1.0000647192543,1.05220725370218
"pse...9",-4.65454840566963,1.77925090771168,5.52502190024009,-0.999682807416803,1.05227427291732
"pse...10",-5.40455113397911,1.41803166735917,5.52502196842758,-1.00003694957009,1.0519443380653
"pse...11",3.8445515697822,0.87634513201192,5.52502196360155,-0.999587027735862,1.05244685482277
"pse...12",-4.80311915511265,1.86618517432362,5.52502194515601,-0.99971158857635,1.05187229873973
"pse...13",6.38863236643374,1.26170374592766,5.52502196457319,-0.999962662086256,1.05184422132063
"pse...14",7.39348310278729,0.22290057502687,5.52502195440922,-0.999560390377294,1.05241064806687
"pse...15",-6.80134454509243,0.197036178316921,5.52502194304776,-0.999802010970749,1.05185052746311
"pse...16",7.7258844813332,1.32718420773745,5.52502201637792,-0.999927619383848,1.05171616141005
"pse...17",6.73083281842992,0.917893062811345,5.52502193092374,-0.999963952131751,1.05199738984988
"pse...18",5.23195741698146,1.40102722961456,5.52502202125495,-1.00013154108668,1.05202174046614
"pse...19",9.45216655964032,1.38236297573894,5.52502192520578,-0.99963290942606,1.0519809320294
"pse...20",6.49237031349912,1.7811597827822,5.52502200506981,-0.999422132079105,1.05241305639933
"pse...21",-4.79109353385866,1.33712569065392,5.52502192390539,-0.99985503491385,1.0519068088753
"pse...22",-3.47238088957965,0.470226733479649,5.52502200108466,-0.999609998771669,1.05252683789624
"pse...23",11.6549108549953,1.60290331766009,5.52502205086789,-0.999982410563584,1.05242688174163
"pse...24",2.89283210411668,1.95403548283502,5.52502199873162,-0.999660965181049,1.05252335142553
"pse...25",-5.15685097547248,1.61036005662754,5.52502190082383,-0.99964018683177,1.05225300850589
"pse...26",-14.030538580846,0.896579755470157,5.52502193510843,-0.999961854806729,1.05195917833456
"pse...27",-7.0580484601669,0.818535035476089,5.52502195297752,-0.99974892817279,1.05184010198085
"pse...28",-9.16209599236026,1.08697502827272,5.5250219932882,-0.999895299990269,1.05175099659706
"pse...29",13.0531110288575,1.54807522054762,5.52502193194066,-0.999931730687739,1.05220755078873
"pse...30",14.9064975022338,1.6452516829595,5.52502197084557,-0.999777104493943,1.05244450280965
"pse...31",-3.24883968103677,0.770498960278928,5.52502239760294,-0.999005359870574,1.05227709940573
"pse...32",11.9741340028122,0.637706046923995,5.5250219221003,-0.999912024610629,1.05219797799406
"pse...33",-8.73934552771971,1.12835434125736,5.52502194042338,-0.999653852283285,1.05240536950463
"pse...34",-0.537466944660991,0.13022926542908,5.52502193766461,-0.999583305509736,1.05237434755109
"pse...35",-7.16167943319306,0.660671283490956,5.52502189503235,-0.999639110817891,1.05217362057409
"pse...36",-5.0830762507394,0.18470659153536,5.52502190137858,-0.999619845286034,1.05222636462749
"pse...37",5.81980582326651,0.232979252003133,5.52502206679636,-0.999941621798972,1.05248992550833
"pse...38",11.1179193668067,0.257341200485826,5.52502210480218,-0.99927976222595,1.05244786233178
"pse...39",10.0613391492516,0.475383792072535,5.52502204921947,-0.999468078946852,1.0518863159137
"pse...40",-1.48744178703055,1.66859723208472,5.5250218934598,-0.99979037458484,1.05221002101176
"pse...41",4.97390852775425,1.08823836874217,5.52502193587189,-0.99962892129885,1.05195264852536
"pse...42",4.86875790869817,1.74702454963699,5.52502199005568,-0.999765065763356,1.05248408869775
"pse...43",5.05164217902347,0.427090503741056,5.52502211183009,-0.999515912310463,1.05267745487618
"pse...44",-2.42776960367337,0.925551891792566,5.52502200306915,-0.999395036287968,1.05216928075422
"pse...45",3.56426098616794,0.967452389188111,5.52502190766932,-0.999615693721806,1.0522715743235
"pse...46",7.68813236150891,0.443223801441491,5.52502196263942,-1.00003701274979,1.0520079419311
"pse...47",14.7353828768246,1.95945909665897,5.52502199303083,-0.999814213738465,1.0524657988382
"pse...48",10.7708918815479,0.483028418850154,5.52502197154173,-0.999466604351852,1.05236273673712
"pse...49",3.93997715553269,1.48809128301218,5.52502193443832,-0.999927039526394,1.05191318566434
"pse...50",8.23211068287492,1.34967308910564,5.52502204505995,-0.999862814405022,1.05166509419928
"pse...51",7.40335321985185,1.94818443665281,5.52502191957392,-0.99956299249799,1.05226557868023
"pse...52",-10.8701321901754,1.49083702685311,5.5250219458813,-0.999894104091361,1.05185557630816
"pse...53",-4.91306316806003,1.29541683150455,5.52502195069008,-0.999932696926338,1.05186257572967
"pse...54",11.4502522791736,0.856978599913418,5.52502288001882,-0.999996155814061,1.05311993817442
"pse...55",13.3049145620316,0.505520246457309,5.52502208334836,-0.999581566059697,1.05172485090446
"pse...56",14.6616448508576,1.8122444706969,5.52502194005561,-0.999519713715673,1.05210588435624
"pse...57",-14.4168034312315,1.10677122045308,5.52502196632034,-0.999482186168341,1.05207267306977
"pse...58",-4.75212800083682,1.26142082549632,5.52502192469457,-0.999584609729715,1.05232700403122
"pse...59",3.54894902324304,1.8458823855035,5.52502195647922,-0.999490092744852,1.05209774636273
"pse...60",7.70932551473379,0.504852851387113,5.52502222496837,-0.999171198053916,1.0521136110649
"pse...61",10.1540609216318,0.877452055457979,5.52502210209201,-1.00021458626089,1.05183156927487
"pse...62",-3.35457114502788,1.30771703599021,5.52502192872356,-0.99993721964192,1.05195132710714
