"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,4.91684183556101,2.55263492391962,1.16558547206073
"pse...2",-10.1154731540009,0.792240034788847,4.91684181489949,2.55279925405091,1.16543738723686
"pse...3",-14.088248074986,0.241769740357995,4.91684189200961,2.55277451060417,1.1657492587813
"pse...4",-2.21503028646111,1.23571576131508,4.91684187640006,2.55242572022316,1.16551281546314
"pse...5",-7.10375221911818,0.952647742349654,4.9168418526007,2.5526296853186,1.16563991246947
"pse...6",10.8695699600503,0.297757264226675,4.91684183851167,2.55275741597369,1.16560839566606
"pse...7",-9.58709761267528,1.99854662409052,4.91684190627626,2.55269372323407,1.16578022071392
"pse...8",10.252235471271,0.285298119764775,4.91684190046802,2.55302061515262,1.1655707919342
"pse...9",-4.65454840566963,1.77925090771168,4.91684188905441,2.55275007643268,1.16574581539057
"pse...10",-5.40455113397911,1.41803166735917,4.9168418805822,2.55240279270678,1.16524731021166
"pse...11",3.8445515697822,0.87634513201192,4.91684181245873,2.55273565224142,1.16530418180046
"pse...12",-4.80311915511265,1.86618517432362,4.91684184573224,2.55266734212576,1.1656310035677
"pse...13",6.38863236643374,1.26170374592766,4.91684184478374,2.55262252742426,1.16561233803887
"pse...14",7.39348310278729,0.22290057502687,4.91684190393565,2.55235174493148,1.16525260886892
"pse...15",-6.80134454509243,0.197036178316921,4.91684373101261,2.55369214199326,1.16681923724699
"pse...16",7.7258844813332,1.32718420773745,4.91684185644876,2.55247215420001,1.16550409270076
"pse...17",6.73083281842992,0.917893062811345,4.91684185512967,2.55290412694425,1.16556801466354
"pse...18",5.23195741698146,1.40102722961456,4.91684185141844,2.55293916215581,1.16544812100371
"pse...19",9.45216655964032,1.38236297573894,4.91684184144867,2.55274427810019,1.16562105321603
"pse...20",6.49237031349912,1.7811597827822,4.91684188829838,2.55294995382384,1.16564008993859
"pse...21",-4.79109353385866,1.33712569065392,4.91684203153322,2.5532302584701,1.16555951586886
"pse...22",-3.47238088957965,0.470226733479649,4.91684184983005,2.55283735843753,1.1651942559479
"pse...23",11.6549108549953,1.60290331766009,4.91684188169345,2.55301098452749,1.1653868674465
"pse...24",2.89283210411668,1.95403548283502,4.91684182892501,2.5525409251612,1.16529398233241
"pse...25",-5.15685097547248,1.61036005662754,4.91684187975751,2.55265750266371,1.16505465273004
"pse...26",-14.030538580846,0.896579755470157,4.91684193929635,2.55271641228317,1.16494277208231
"pse...27",-7.0580484601669,0.818535035476089,4.91684184231884,2.55263512007715,1.16515928036647
"pse...28",-9.16209599236026,1.08697502827272,4.91684193302202,2.55231675762839,1.16551561094304
"pse...29",13.0531110288575,1.54807522054762,4.9168418468167,2.55291925331323,1.16548130418011
"pse...30",14.9064975022338,1.6452516829595,4.91684215523095,2.55301434289087,1.16477692892956
"pse...31",-3.24883968103677,0.770498960278928,4.91684185878715,2.552560038241,1.16513557588356
"pse...32",11.9741340028122,0.637706046923995,4.91684181966259,2.55257873245235,1.16531155436571
"pse...33",-8.73934552771971,1.12835434125736,4.91684185356558,2.55249553148207,1.1652121336108
"pse...34",-0.537466944660991,0.13022926542908,4.9168419741426,2.55263978532522,1.16588656770858
"pse...35",-7.16167943319306,0.660671283490956,4.91684345775676,2.55240997139177,1.16381092488322
"pse...36",-5.0830762507394,0.18470659153536,4.91684185331468,2.55248393733049,1.16550956788865
"pse...37",5.81980582326651,0.232979252003133,4.91684190410168,2.55304222034799,1.16552930221527
"pse...38",11.1179193668067,0.257341200485826,4.91684186903053,2.55258915482682,1.16566698557318
"pse...39",10.0613391492516,0.475383792072535,4.91684184550476,2.55260098179159,1.16560333785324
"pse...40",-1.48744178703055,1.66859723208472,4.91684186123426,2.55275071138892,1.16511159290797
"pse...41",4.97390852775425,1.08823836874217,4.9168418352194,2.55277344834565,1.16559135837942
"pse...42",4.86875790869817,1.74702454963699,4.91684184171303,2.55285938441531,1.16525143672187
"pse...43",5.05164217902347,0.427090503741056,4.91684182534716,2.55254770930278,1.16531608060383
"pse...44",-2.42776960367337,0.925551891792566,4.91684185572955,2.55284066918097,1.16563108582475
"pse...45",3.56426098616794,0.967452389188111,4.91684182444896,2.55279984702339,1.1655255207207
"pse...46",7.68813236150891,0.443223801441491,4.91684189164701,2.55271644792849,1.1650321459403
