"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,5.29221671204885,4.52213600695451,0.525852688791401
"pse...2",-10.1154731540009,0.792240034788847,5.2922167540038,4.5219575526304,0.526040780191996
"pse...3",-14.088248074986,0.241769740357995,5.29221670510967,4.52210857681106,0.525864237586994
"pse...4",-2.21503028646111,1.23571576131508,5.29221672368908,4.52198182816339,0.526012630391499
"pse...5",-7.10375221911818,0.952647742349654,5.29221669947151,4.52213797073441,0.52586736503247
"pse...6",10.8695699600503,0.297757264226675,5.29221670783755,4.52200817112233,0.526042624540474
"pse...7",-9.58709761267528,1.99854662409052,5.29221785293159,4.52261515655008,0.526336982422747
"pse...8",10.252235471271,0.285298119764775,5.29221734529012,4.52237177481842,0.526366484150807
"pse...9",-4.65454840566963,1.77925090771168,5.29221672409807,4.52200933281199,0.525907712857917
"pse...10",-5.40455113397911,1.41803166735917,5.29221671304053,4.52200676928347,0.526053990202133
"pse...11",3.8445515697822,0.87634513201192,5.29221666388943,4.5221237595396,0.526048721351305
"pse...12",-4.80311915511265,1.86618517432362,5.29221667793048,4.52216223115665,0.526070425394148
"pse...13",6.38863236643374,1.26170374592766,5.29221678549661,4.5222303012941,0.525805732320594
"pse...14",7.39348310278729,0.22290057502687,5.29221690176026,4.5219025575145,0.526158395752631
"pse...15",-6.80134454509243,0.197036178316921,5.29221675702501,4.52227394560843,0.525866036488936
"pse...16",7.7258844813332,1.32718420773745,5.2922166787161,4.5221911928955,0.525913424119488
"pse...17",6.73083281842992,0.917893062811345,5.29221669622696,4.52216834778936,0.526096126354189
"pse...18",5.23195741698146,1.40102722961456,5.29221668008666,4.52207103706227,0.52606167990591
"pse...19",9.45216655964032,1.38236297573894,5.29221674655928,4.52197091827199,0.525933592155104
"pse...20",6.49237031349912,1.7811597827822,5.29221668497403,4.52205333506858,0.525927299960632
"pse...21",-4.79109353385866,1.33712569065392,5.2922171204999,4.52175349280168,0.525934123561708
"pse...22",-3.47238088957965,0.470226733479649,5.292216727117,4.52226233390442,0.526063945714326
"pse...23",11.6549108549953,1.60290331766009,5.29221672888616,4.52210694609491,0.525838815413162
"pse...24",2.89283210411668,1.95403548283502,5.29221667645515,4.52218111431424,0.526057952692242
"pse...25",-5.15685097547248,1.61036005662754,5.29221668288821,4.5220357747877,0.52601780828144
"pse...26",-14.030538580846,0.896579755470157,5.29221676154177,4.52194539981302,0.525990056547254
"pse...27",-7.0580484601669,0.818535035476089,5.29221670656763,4.5222190082474,0.526080593031499
"pse...28",-9.16209599236026,1.08697502827272,5.29221694995312,4.52186769587363,0.525848967018655
"pse...29",13.0531110288575,1.54807522054762,5.29221668353438,4.52208013559016,0.525906426086387
"pse...30",14.9064975022338,1.6452516829595,5.29221668519415,4.52209734453483,0.525894778969602
"pse...31",-3.24883968103677,0.770498960278928,5.29221684260187,4.52200332197836,0.526197795867824
"pse...32",11.9741340028122,0.637706046923995,5.29221675079535,4.52218938066648,0.525821050807622
