TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	NULL	    0.00	NULL	NULL	    0.00	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1061.18	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  540.25	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  540.25	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  540.25	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  507.96	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1835.22	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  652.09	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  626.45	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  546.42	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1041.30	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  543.31	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  496.83	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  601.01	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  530.20	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  622.35	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
real	AR	1	1	1	-15	   10.00	1	   -8.00	0	0	  551.73	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	DL	1	2	1	15	  -10.00	0	    8.00	0	0	  607.81	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	HR	1	3	1	15	   10.00	1	   -8.00	0	0	  577.17	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	DR	1	4	1	15	   10.00	1	   -8.00	0	0	  574.58	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	BR	1	5	1	15	   10.00	1	   -8.00	0	0	  518.23	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	FL	1	6	1	15	  -10.00	0	    8.00	0	0	  712.44	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
real	CL	1	7	1	-15	  -10.00	0	    8.00	0	0	  640.95	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	ER	1	8	1	-15	   10.00	1	   -8.00	0	0	  566.35	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	HL	1	9	1	15	  -10.00	0	    8.00	0	0	  483.15	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	CR	1	10	1	-15	   10.00	1	   -8.00	0	0	  573.12	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	EL	1	11	1	-15	  -10.00	0	    8.00	0	0	  520.24	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_-15.png
real	GL	1	12	1	-15	  -10.00	0	    8.00	0	0	  948.95	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	BL	1	13	1	15	  -10.00	0	    8.00	0	0	  554.12	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	FR	1	14	1	15	   10.00	1	   -8.00	0	0	  501.89	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_15.png
real	AL	1	15	1	-15	  -10.00	0	    8.00	0	0	  516.85	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	GR	1	16	1	-15	   10.00	1	   -8.00	0	0	  497.10	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	BR	2	17	2	15	    2.00	1	   -8.00	0	0	  662.75	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_15.png
real	GL	2	18	2	-15	   -2.00	0	    8.00	0	0	  625.57	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_-15.png
real	GR	2	19	2	-15	    2.00	1	   -8.00	0	0	  690.71	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_-15.png
real	AR	2	20	2	-15	    2.00	1	   -8.00	0	0	  705.89	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_-15.png
