TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	NULL	    0.00	NULL	NULL	    0.00	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	NULL	    0.00	NULL	NULL	    0.00	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	NULL	    0.00	NULL	NULL	    0.00	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1552.47	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1055.10	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  887.44	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  898.25	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  889.41	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1034.71	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  976.07	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  943.63	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1048.25	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1482.21	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  984.51	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1474.86	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1155.88	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
real	BR	1	1	1	15	   10.00	1	   -8.00	0	0	  894.44	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	BL	1	2	1	15	  -10.00	0	    8.00	0	0	 1206.85	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	GL	1	3	1	-15	  -10.00	0	    8.00	0	0	  999.36	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	HL	1	4	1	15	  -10.00	0	    8.00	0	0	 1206.95	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	EL	1	5	1	-15	  -10.00	0	    8.00	0	0	 1050.91	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_-15.png
real	HR	1	6	1	15	   10.00	1	   -8.00	0	0	 1039.22	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	AL	1	7	1	-15	  -10.00	0	    8.00	0	0	 1099.35	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	DR	1	8	1	15	   10.00	1	   -8.00	0	0	 1268.29	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	FR	1	9	1	15	   10.00	1	   -8.00	0	0	 1394.39	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_15.png
real	GR	1	10	1	-15	   10.00	1	   -8.00	0	0	  865.79	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	AR	1	11	1	-15	   10.00	1	   -8.00	0	0	 1153.44	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	CR	1	12	1	-15	   10.00	1	   -8.00	0	0	  761.61	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	FL	1	13	1	15	  -10.00	0	    8.00	0	0	  795.85	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
real	DL	1	14	1	15	  -10.00	0	    8.00	0	0	  882.44	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	ER	1	15	1	-15	   10.00	1	   -8.00	0	0	  996.00	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	CL	1	16	1	-15	  -10.00	0	    8.00	0	0	 1012.15	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	DL	2	17	2	15	   -2.00	0	    8.00	0	0	 1316.74	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_645_15.png
real	HL	2	18	2	15	   -2.00	0	    8.00	0	0	 1070.50	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_15.png
real	HR	2	19	2	15	    2.00	0	    4.00	1	1	 2179.56	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_15.png
real	EL	2	20	2	-15	   -2.00	0	    8.00	0	0	  996.46	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_-15.png
real	AL	2	21	2	-15	   -2.00	1	   -4.00	1	1	 1024.18	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_880_-15.png
real	GL	2	22	2	-15	   -2.00	1	   -4.00	1	1	 1599.33	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_-15.png
real	ER	2	23	2	-15	    2.00	1	   -8.00	0	0	 1499.40	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_410_-15.png
