TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1004.66	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1150.52	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  962.41	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1043.26	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1181.14	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1128.54	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1032.08	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  973.53	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1034.61	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  958.87	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  921.98	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  999.32	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  985.05	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  985.05	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1001.44	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  973.61	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
real	DL	1	1	1	15	  -10.00	0	    8.00	0	0	  920.54	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	FR	1	2	1	15	   10.00	1	   -8.00	0	0	 1001.40	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_15.png
real	GR	1	3	1	-15	   10.00	1	   -8.00	0	0	  933.89	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	CR	1	4	1	-15	   10.00	1	   -8.00	0	0	 1078.40	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	AL	1	5	1	-15	  -10.00	0	    8.00	0	0	 1230.62	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	BL	1	6	1	15	  -10.00	0	    8.00	0	0	 1352.12	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	BR	1	7	1	15	   10.00	1	   -8.00	0	0	  814.28	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	DR	1	8	1	15	   10.00	1	   -8.00	0	0	 1021.46	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	HR	1	9	1	15	   10.00	1	   -8.00	0	0	 1120.16	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	ER	1	10	1	-15	   10.00	1	   -8.00	0	0	 1107.70	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
