TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	NULL	    0.00	NULL	NULL	    0.00	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  945.35	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  983.91	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  895.28	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  895.28	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  737.18	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1039.55	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  843.85	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  904.75	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  861.90	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  851.45	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1413.18	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  906.07	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  844.17	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  753.55	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  753.55	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
real	DR	1	1	1	15	   10.00	1	   -8.00	0	0	  889.31	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	ER	1	2	1	-15	   10.00	1	   -8.00	0	0	  717.91	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	CL	1	3	1	-15	  -10.00	0	    8.00	0	0	  803.01	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	GL	1	4	1	-15	  -10.00	1	   -8.00	0	0	  883.84	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	AR	1	5	1	-15	   10.00	1	   -8.00	0	0	  863.80	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	BR	1	6	1	15	   10.00	1	   -8.00	0	0	  753.29	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	GR	1	7	1	-15	   10.00	1	   -8.00	0	0	  612.13	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	HL	1	8	1	15	  -10.00	0	    8.00	0	0	  642.16	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	FL	1	9	1	15	  -10.00	0	    8.00	0	0	  874.02	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
