Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v30217af	1	False	practice	1	1	good	-15	410	frame_410_-15.png	black.jpg	0	  958.90	  720.20	  143.80	 1179.09
v30217af	2	False	practice	1	2	good	15	410	frame_410_15.png	black.jpg	0	  955.30	  726.40	  137.68	 1253.74
v30217af	3	True	practice	1	3	abort	-15	880	frame_880_-15.png	black.jpg	0	  965.50	  825.90	  137.68	0
v30217af	4	False	practice	1	4	good	15	175	frame_175_15.png	black.jpg	0	  962.90	  720.20	  143.84	 1327.42
v30217af	5	False	practice	1	5	good	-15	175	frame_175_-15.png	black.jpg	0	  958.20	  719.90	  143.81	 1147.95
v30217af	6	False	practice	1	6	good	-15	645	frame_645_-15.png	black.jpg	0	  964.50	  717.00	  147.07	 1190.76
v30217af	7	False	practice	1	7	good	15	880	frame_880_15.png	black.jpg	0	  949.80	  720.20	  144.16	 1336.24
v30217af	8	False	practice	1	8	good	15	645	frame_645_15.png	black.jpg	0	  969.40	  717.70	  146.60	 1599.09
v30217af	9	False	practice	1	9	good	-15	645	frame_645_-15.png	black.jpg	0	  961.00	  723.80	  140.20	 1576.83
v30217af	10	False	practice	1	10	good	-15	175	frame_175_-15.png	black.jpg	0	  960.10	  721.40	  142.60	 1597.67
v30217af	11	False	practice	1	11	good	-15	880	frame_880_-15.png	black.jpg	0	  962.30	  721.80	  142.22	 1573.88
v30217af	12	False	practice	1	12	good	15	880	frame_880_15.png	black.jpg	0	  968.70	  721.80	  142.47	 1635.41
v30217af	13	False	practice	1	13	good	15	645	frame_645_15.png	black.jpg	0	  974.40	  730.80	  133.98	 1688.49
v30217af	14	False	practice	1	14	good	15	175	frame_175_15.png	black.jpg	0	  957.10	  727.30	  136.33	 1548.04
v30217af	15	True	practice	1	15	timed_out	15	410	frame_410_15.png	black.jpg	0	  964.70	  728.60	  136.33	0
v30217af	16	False	practice	1	16	good	-15	880	frame_880_-15.png	black.jpg	0	  961.00	  723.10	  140.90	 1107.96
v30217af	17	False	practice	1	17	good	15	410	frame_410_15.png	black.jpg	0	  955.00	  726.60	  137.49	 1273.90
v30217af	18	False	practice	1	18	good	-15	410	frame_410_-15.png	black.jpg	0	  969.40	  723.30	  141.02	 1826.04
v30217af	19	False	real	1	1	good	15	645	frame_645_15.png	black.jpg	0	  968.10	  724.20	  140.03	 1152.95
v30217af	20	False	real	1	2	good	-15	645	frame_645_-15.png	black.jpg	0	  961.10	  732.60	  131.40	 1173.20
v30217af	21	False	real	1	3	good	-15	175	frame_175_-15.png	black.jpg	0	  959.90	  727.90	  136.10	 1298.26
v30217af	22	False	real	1	4	good	15	175	frame_175_15.png	black.jpg	0	  950.60	  732.30	  132.04	 1200.90
v30217af	23	False	real	1	5	good	-15	410	frame_410_-15.png	black.jpg	0	  948.60	  717.20	  147.24	 1428.93
v30217af	24	False	real	1	6	good	15	880	frame_880_15.png	black.jpg	0	  969.90	  714.40	  149.93	 1457.13
v30217af	25	False	real	1	7	good	-15	880	frame_880_-15.png	black.jpg	0	  957.30	  723.00	  141.03	 1330.11
v30217af	26	False	real	1	8	good	15	410	frame_410_15.png	black.jpg	0	  956.30	  726.20	  137.85	 1420.19
v30217af	27	False	real	2	9	good	15	410	frame_410_15.png	black.jpg	0	  970.50	  722.10	  142.29	 1426.22
v30217af	28	False	real	2	10	good	15	175	frame_175_15.png	black.jpg	0	  951.80	  722.10	  142.14	 1487.06
