Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v30502mm	1	True	practice	1	1	timed_out	15	410	frame_410_15.png	black.jpg	0	  969.60	  868.90	    0.00	0
v30502mm	2	True	practice	1	2	timed_out	-15	645	frame_645_-15.png	black.jpg	0	  944.70	  705.80	    0.00	0
v30502mm	3	False	practice	1	3	good	15	175	frame_175_15.png	black.jpg	0	  952.30	  712.90	  151.30	  668.45
v30502mm	4	False	practice	1	4	good	-15	175	frame_175_-15.png	black.jpg	0	  931.40	  714.90	  151.82	  606.27
v30502mm	5	False	practice	1	5	good	15	880	frame_880_15.png	black.jpg	0	  931.30	  717.80	  148.99	  613.26
v30502mm	6	False	practice	1	6	good	15	645	frame_645_15.png	black.jpg	0	  961.80	  713.20	  150.81	  684.84
v30502mm	7	True	practice	1	7	abort	-15	880	frame_880_-15.png	black.jpg	0	  963.10	  830.80	  150.81	0
v30502mm	8	True	practice	1	8	timed_out	-15	410	frame_410_-15.png	black.jpg	0	  957.00	  854.00	  150.81	0
v30502mm	9	False	practice	1	9	good	-15	645	frame_645_-15.png	black.jpg	0	  958.10	  715.30	  148.71	 1068.73
v30502mm	10	False	practice	1	10	good	-15	880	frame_880_-15.png	black.jpg	0	  954.50	  720.90	  143.21	  968.56
v30502mm	11	False	practice	1	11	good	-15	175	frame_175_-15.png	black.jpg	0	  953.30	  728.40	  135.77	  638.66
v30502mm	12	True	practice	1	12	abort	15	645	frame_645_15.png	black.jpg	0	  972.70	  830.20	  135.77	0
v30502mm	13	False	practice	1	13	good	15	410	frame_410_15.png	black.jpg	0	  972.50	  727.00	  137.37	  892.97
v30502mm	14	False	practice	1	14	good	15	645	frame_645_15.png	black.jpg	0	  987.60	  726.70	  140.07	  795.94
v30502mm	15	False	practice	1	15	good	-15	645	frame_645_-15.png	black.jpg	0	  988.20	  742.70	  124.53	  741.08
v30502mm	16	True	practice	1	16	abort	15	880	frame_880_15.png	black.jpg	0	  961.30	  830.00	  124.53	0
v30502mm	17	False	practice	1	17	good	-15	410	frame_410_-15.png	black.jpg	0	  971.70	  732.80	  131.72	  898.12
v30502mm	18	False	practice	1	18	good	15	880	frame_880_15.png	black.jpg	0	  933.40	  737.00	  129.76	  770.45
v30502mm	19	True	practice	1	19	abort	15	175	frame_175_15.png	black.jpg	0	  962.70	  799.00	  129.76	0
v30502mm	20	False	practice	1	20	good	-15	410	frame_410_-15.png	black.jpg	0	  968.60	  728.50	  135.77	 1012.65
v30502mm	21	False	practice	1	21	good	15	410	frame_410_15.png	black.jpg	0	  936.80	  731.80	  134.22	  917.50
v30502mm	22	False	practice	1	22	good	15	175	frame_175_15.png	black.jpg	0	  958.70	  723.80	  140.21	  952.69
v30502mm	23	True	practice	1	23	abort	-15	880	frame_880_-15.png	black.jpg	0	  948.80	  829.50	  140.21	0
v30502mm	24	True	practice	1	24	timed_out	-15	880	frame_880_-15.png	black.jpg	0	  954.30	  844.10	47630.76	0
v30502mm	25	True	practice	1	25	abort	-15	880	frame_880_-15.png	black.jpg	0	  962.10	  830.50	47630.76	0
v30502mm	26	False	practice	1	26	good	-15	880	frame_880_-15.png	black.jpg	0	  938.10	  731.50	  134.30	  968.16
v30502mm	27	False	real	1	1	good	15	645	frame_645_15.png	black.jpg	0	  954.70	  720.60	  143.50	  783.21
v30502mm	28	False	real	1	2	good	-15	645	frame_645_-15.png	black.jpg	0	  958.50	  726.30	  137.71	  740.27
v30502mm	29	True	real	1	3	timed_out	15	410	frame_410_15.png	black.jpg	0	  951.40	  824.30	   18.83	0
v30502mm	30	False	real	1	4	good	15	175	frame_175_15.png	black.jpg	0	  962.30	  725.40	  138.62	  609.31
v30502mm	31	False	real	1	5	good	15	410	frame_410_15.png	black.jpg	0	  967.40	  731.90	  132.31	  814.19
v30502mm	32	False	real	1	6	good	-15	175	frame_175_-15.png	black.jpg	0	  964.60	  733.10	  130.98	  741.05
v30502mm	33	False	real	1	7	good	-15	410	frame_410_-15.png	black.jpg	0	 1004.40	  732.50	  138.79	 1112.02
v30502mm	34	False	real	1	8	good	-15	880	frame_880_-15.png	black.jpg	0	  959.50	  736.90	  127.10	  737.09
v30502mm	35	False	real	1	9	good	15	880	frame_880_15.png	black.jpg	0	  954.90	  728.50	  135.60	  585.07
v30502mm	36	False	real	2	10	good	15	645	frame_645_15.png	black.jpg	0	  966.20	  742.50	  121.66	  481.17
v30502mm	37	True	real	2	11	abort	15	175	frame_175_15.png	black.jpg	0	  963.70	  829.90	  121.66	0
v30502mm	38	False	real	2	12	good	-15	410	frame_410_-15.png	black.jpg	0	  930.40	  724.00	  143.09	  702.24
v30502mm	39	False	real	2	13	good	-15	880	frame_880_-15.png	black.jpg	0	  932.90	  724.70	  141.91	  642.22
v30502mm	40	False	real	2	14	good	-15	175	frame_175_-15.png	black.jpg	0	  933.60	  724.90	  141.58	  497.94
v30502mm	41	False	real	2	15	good	15	175	frame_175_15.png	black.jpg	0	  956.30	  729.10	  134.95	  637.23
v30502mm	42	True	real	2	16	timed_out	15	880	frame_880_15.png	black.jpg	0	-32768	-32768	  116.18	0
v30502mm	43	False	real	2	17	good	15	410	frame_410_15.png	black.jpg	0	  958.00	  746.00	  118.02	  829.28
v30502mm	44	False	real	2	18	good	15	880	frame_880_15.png	black.jpg	0	  926.50	  733.90	  134.34	  768.07
v30502mm	45	False	real	2	19	good	-15	645	frame_645_-15.png	black.jpg	0	  943.60	  719.00	  145.92	  531.16
v30502mm	46	False	real	3	20	good	15	880	frame_880_15.png	black.jpg	0	  938.50	  718.30	  147.28	  613.14
v30502mm	47	False	real	3	21	good	-15	645	frame_645_-15.png	black.jpg	0	  966.20	  724.80	  139.34	  671.29
v30502mm	48	False	real	3	22	good	15	175	frame_175_15.png	black.jpg	0	  963.90	  714.10	  149.95	  798.34
v30502mm	49	False	real	3	23	good	-15	880	frame_880_-15.png	black.jpg	0	  927.90	  722.20	  145.39	  532.21
v30502mm	50	False	real	3	24	good	-15	175	frame_175_-15.png	black.jpg	0	  933.60	  720.40	  146.01	  785.04
v30502mm	51	False	real	3	25	good	15	645	frame_645_15.png	black.jpg	0	  938.60	  712.00	  153.50	  616.23
v30502mm	52	False	real	3	26	good	15	410	frame_410_15.png	black.jpg	0	  975.50	  716.10	  148.71	  671.25
v30502mm	53	False	real	3	27	good	-15	410	frame_410_-15.png	black.jpg	0	  965.80	  708.40	  155.71	  684.32
v30502mm	54	False	real	4	28	good	-15	645	frame_645_-15.png	black.jpg	0	  944.30	  720.40	  144.46	  577.10
v30502mm	55	False	real	4	29	good	15	645	frame_645_15.png	black.jpg	0	  963.50	  711.60	  152.44	  770.31
v30502mm	56	True	real	4	30	timed_out	15	175	frame_175_15.png	black.jpg	0	  941.30	  760.80	   23.94	0
v30502mm	57	False	real	4	31	good	15	880	frame_880_15.png	black.jpg	0	  951.50	  737.30	  126.98	  857.16
v30502mm	58	False	real	4	32	good	-15	880	frame_880_-15.png	black.jpg	0	  953.70	  721.00	  143.14	  629.28
v30502mm	59	False	real	4	33	good	-15	410	frame_410_-15.png	black.jpg	0	  985.50	  724.20	  142.11	  653.19
v30502mm	60	False	real	4	34	good	15	410	frame_410_15.png	black.jpg	0	  963.00	  728.10	  135.93	  765.24
v30502mm	61	True	real	4	35	abort	-15	175	frame_175_-15.png	black.jpg	0	  950.60	  731.60	  135.93	0
v30502mm	62	False	real	4	36	good	15	175	frame_175_15.png	black.jpg	0	  968.40	  724.10	  140.15	  939.34
v30502mm	63	True	real	4	37	timed_out	-15	175	frame_175_-15.png	black.jpg	0	  952.80	  875.40	47630.76	0
v30502mm	64	False	real	4	38	good	-15	175	frame_175_-15.png	black.jpg	0	  952.40	  719.30	  144.90	  963.18
v30502mm	65	False	real	5	39	good	15	175	frame_175_15.png	black.jpg	0	  962.50	  721.70	  142.32	  758.20
v30502mm	66	False	real	5	40	good	15	880	frame_880_15.png	black.jpg	0	  956.30	  729.20	  134.85	  714.11
v30502mm	67	False	real	5	41	good	15	410	frame_410_15.png	black.jpg	0	  971.20	  728.20	  136.26	  556.11
v30502mm	68	False	real	5	42	good	-15	645	frame_645_-15.png	black.jpg	0	  971.50	  728.30	  136.19	  707.18
v30502mm	69	False	real	5	43	good	-15	410	frame_410_-15.png	black.jpg	0	  987.00	  724.70	  141.89	  660.07
v30502mm	70	False	real	5	44	good	-15	175	frame_175_-15.png	black.jpg	0	 1000.00	  725.80	  143.87	  699.21
v30502mm	71	False	real	5	45	good	15	645	frame_645_15.png	black.jpg	0	  971.50	  714.80	  149.64	  392.21
v30502mm	72	False	real	5	46	good	-15	880	frame_880_-15.png	black.jpg	0	  971.60	  723.60	  140.88	  459.19
v30502mm	73	False	real	6	47	good	15	175	frame_175_15.png	black.jpg	0	  974.70	  715.30	  149.42	  710.21
v30502mm	74	True	real	6	48	abort	-15	645	frame_645_-15.png	black.jpg	0	  963.10	  831.10	  149.42	0
v30502mm	75	False	real	6	49	good	15	410	frame_410_15.png	black.jpg	0	  963.60	  715.90	  148.14	  704.28
v30502mm	76	False	real	6	50	good	-15	880	frame_880_-15.png	black.jpg	0	  954.10	  719.30	  144.82	  827.20
v30502mm	77	True	real	6	51	timed_out	15	645	frame_645_15.png	black.jpg	0	  960.40	  712.70	47630.76	0
v30502mm	78	False	real	6	52	good	-15	410	frame_410_-15.png	black.jpg	0	  939.70	  717.00	  148.40	 1054.04
v30502mm	79	False	real	6	53	good	15	645	frame_645_15.png	black.jpg	0	  902.30	  728.20	  147.55	  717.89
v30502mm	80	False	real	6	54	good	-15	645	frame_645_-15.png	black.jpg	0	  966.80	  716.70	  147.46	 1246.13
v30502mm	81	False	real	6	55	good	-15	175	frame_175_-15.png	black.jpg	0	  968.50	  714.80	  149.44	 1012.15
v30502mm	82	False	real	6	56	good	15	880	frame_880_15.png	black.jpg	0	  938.60	  722.70	  142.91	  802.27
v30502mm	83	False	real	7	57	good	-15	880	frame_880_-15.png	black.jpg	0	  953.00	  729.10	  135.08	  668.12
v30502mm	84	True	real	7	58	abort	-15	410	frame_410_-15.png	black.jpg	0	  991.50	  787.30	  135.08	0
v30502mm	85	False	real	7	59	good	-15	645	frame_645_-15.png	black.jpg	0	  953.30	  721.10	  143.06	  847.11
v30502mm	86	True	real	7	60	abort	15	880	frame_880_15.png	black.jpg	0	  997.50	  779.60	  143.06	0
v30502mm	87	True	real	7	61	timed_out	15	645	frame_645_15.png	black.jpg	0	  952.60	  852.30	  143.06	0
v30502mm	88	True	real	7	62	abort	15	175	frame_175_15.png	black.jpg	0	  995.90	  732.80	  143.06	0
v30502mm	89	True	real	7	63	timed_out	15	645	frame_645_15.png	black.jpg	0	  933.90	  721.40	  143.06	0
