Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v30915vb	1	True	practice	1	1	timed_out	-15	880	frame_880_-15.png	black.jpg	0	  910.20	  428.70	    0.00	0
v30915vb	2	False	practice	1	2	good	15	880	frame_880_15.png	black.jpg	0	  946.60	  715.00	  149.60	 1475.85
v30915vb	3	False	practice	1	3	good	15	645	frame_645_15.png	black.jpg	0	  944.00	  718.30	  146.58	 1115.79
v30915vb	4	False	practice	1	4	good	-15	645	frame_645_-15.png	black.jpg	0	  955.40	  721.20	  142.87	 1163.68
v30915vb	5	False	practice	1	5	good	-15	410	frame_410_-15.png	black.jpg	0	  953.30	  721.20	  142.96	  966.49
v30915vb	6	False	practice	1	6	good	-15	880	frame_880_-15.png	black.jpg	0	  931.10	  718.00	  148.83	  818.23
v30915vb	7	False	practice	1	7	good	15	645	frame_645_15.png	black.jpg	0	  958.60	  720.40	  143.61	  768.80
v30915vb	8	False	practice	1	8	good	-15	645	frame_645_-15.png	black.jpg	0	  945.30	  723.70	  141.07	  703.25
v30915vb	9	False	practice	1	9	good	-15	410	frame_410_-15.png	black.jpg	0	  945.50	  727.30	  137.47	  670.10
v30915vb	10	False	practice	1	10	good	15	880	frame_880_15.png	black.jpg	0	  940.90	  722.60	  142.68	  735.52
v30915vb	11	False	practice	1	11	good	-15	880	frame_880_-15.png	black.jpg	0	  944.20	  724.50	  140.39	  672.46
v30915vb	12	False	practice	1	12	good	-15	175	frame_175_-15.png	black.jpg	0	  941.30	  723.70	  141.45	  830.25
v30915vb	13	False	practice	1	13	good	15	410	frame_410_15.png	black.jpg	0	  945.20	  716.70	  148.02	  780.03
v30915vb	14	True	practice	1	14	timed_out	15	410	frame_410_15.png	black.jpg	0	  943.30	  722.20	  148.02	0
v30915vb	15	True	practice	1	15	timed_out	-15	175	frame_175_-15.png	black.jpg	0	  948.30	  728.30	  148.02	0
