"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,4.92708567561453,-1.61677823394024,0.552119446407597
"pse...2",-10.1154731540009,0.792240034788847,4.92708571098833,-1.61693610175005,0.552209157238704
"pse...3",-14.088248074986,0.241769740357995,4.92708569539247,-1.61674941117312,0.552146433493322
"pse...4",-2.21503028646111,1.23571576131508,4.92708567554227,-1.6168543923292,0.551757247041507
"pse...5",-7.10375221911818,0.952647742349654,4.92708566341862,-1.61678600848887,0.551911432149647
"pse...6",10.8695699600503,0.297757264226675,4.9270857078331,-1.61690144952288,0.552235247273599
"pse...7",-9.58709761267528,1.99854662409052,4.92708565726669,-1.61692411281388,0.551847684271208
"pse...8",10.252235471271,0.285298119764775,4.92708567988688,-1.61692235072624,0.55174659952959
"pse...9",-4.65454840566963,1.77925090771168,4.92708566182807,-1.61683675696501,0.552122913698396
"pse...10",-5.40455113397911,1.41803166735917,4.92708568175368,-1.61695378282618,0.551772962471153
"pse...11",3.8445515697822,0.87634513201192,4.92708571253997,-1.61698714407615,0.551719207061818
"pse...12",-4.80311915511265,1.86618517432362,4.92708564878866,-1.61687847690258,0.55205258335032
"pse...13",6.38863236643374,1.26170374592766,4.9270856807933,-1.61691309676944,0.551738678557826
"pse...14",7.39348310278729,0.22290057502687,4.92708610741575,-1.61726065255501,0.552089080870596
"pse...15",-6.80134454509243,0.197036178316921,4.92708568054491,-1.61678262199799,0.551827649758633
"pse...16",7.7258844813332,1.32718420773745,4.92708594334816,-1.61680177329456,0.552593231385368
"pse...17",6.73083281842992,0.917893062811345,4.92708565430166,-1.61682734859539,0.552079650398408
"pse...18",5.23195741698146,1.40102722961456,4.92708571332066,-1.61701951736329,0.552022513306298
"pse...19",9.45216655964032,1.38236297573894,4.92708570274902,-1.61682020666164,0.551709343727863
"pse...20",6.49237031349912,1.7811597827822,4.92708571346362,-1.61672750529311,0.551845915310617
"pse...21",-4.79109353385866,1.33712569065392,4.92708568966897,-1.61673991814275,0.551921683257575
"pse...22",-3.47238088957965,0.470226733479649,4.92708567273672,-1.61678050829182,0.55186839074335
"pse...23",11.6549108549953,1.60290331766009,4.92708573638092,-1.6168447931461,0.552315244407218
