"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.48126428272302,-1.49735273412682,2.10253792672536
"pse...2",-10.1154731540009,0.792240034788847,6.48126431338951,-1.49745162205566,2.10241467947365
"pse...3",-14.088248074986,0.241769740357995,6.48126429276309,-1.49744277201796,2.10271721168359
"pse...4",-2.21503028646111,1.23571576131508,6.48126433267547,-1.49703866135257,2.10318900811036
"pse...5",-7.10375221911818,0.952647742349654,6.48126427473358,-1.49730407674565,2.10280038084077
"pse...6",10.8695699600503,0.297757264226675,6.48126429761167,-1.49720848312984,2.10231121668998
"pse...7",-9.58709761267528,1.99854662409052,6.48126429114274,-1.49687779474386,2.10247372473906
"pse...8",10.252235471271,0.285298119764775,6.48126436111331,-1.49726374917178,2.10207169659406
"pse...9",-4.65454840566963,1.77925090771168,6.48126427632642,-1.49700394964875,2.10286169305377
"pse...10",-5.40455113397911,1.41803166735917,6.48126451301377,-1.49625595816333,2.10246025073946
"pse...11",3.8445515697822,0.87634513201192,6.48126431173129,-1.49699738902163,2.10308635682341
"pse...12",-4.80311915511265,1.86618517432362,6.48126432263121,-1.49747510449795,2.10299359429673
"pse...13",6.38863236643374,1.26170374592766,6.48126441251814,-1.496601826765,2.10215637118055
"pse...14",7.39348310278729,0.22290057502687,6.48126430202763,-1.49677549411607,2.10267557680031
"pse...15",-6.80134454509243,0.197036178316921,6.48126432806763,-1.49680946158106,2.10229596414997
"pse...16",7.7258844813332,1.32718420773745,6.48126433577483,-1.49700807940711,2.10214561254256
"pse...17",6.73083281842992,0.917893062811345,6.4812645299169,-1.49801930010146,2.10297760342492
"pse...18",5.23195741698146,1.40102722961456,6.48126434023754,-1.49679416843617,2.10224945892391
"pse...19",9.45216655964032,1.38236297573894,6.48126432482585,-1.49749640162833,2.10297711970654
"pse...20",6.49237031349912,1.7811597827822,6.4812643562092,-1.49763912586297,2.10291968009897
"pse...21",-4.79109353385866,1.33712569065392,6.4812642923019,-1.4973415842246,2.10293940032499
"pse...22",-3.47238088957965,0.470226733479649,6.48126430791914,-1.49751205347203,2.10267095216251
"pse...23",11.6549108549953,1.60290331766009,6.48126440205215,-1.49772407368046,2.10236568467943
"pse...24",2.89283210411668,1.95403548283502,6.48126433063047,-1.4970228963501,2.10317653560111
"pse...25",-5.15685097547248,1.61036005662754,6.48126444058499,-1.49665317579485,2.1032996868764
"pse...26",-14.030538580846,0.896579755470157,6.48126461600642,-1.49631888812896,2.10188193032474
"pse...27",-7.0580484601669,0.818535035476089,6.48126442824179,-1.49731463420548,2.10189838443192
"pse...28",-9.16209599236026,1.08697502827272,6.48126429811366,-1.49714185217145,2.10305364492764
"pse...29",13.0531110288575,1.54807522054762,6.48126432486073,-1.49714987459404,2.10217609737901
"pse...30",14.9064975022338,1.6452516829595,6.4812643331651,-1.49666704209156,2.10276032975709
"pse...31",-3.24883968103677,0.770498960278928,6.48126427599507,-1.49715800136767,2.10243961463992
"pse...32",11.9741340028122,0.637706046923995,6.48126438996369,-1.4977659323602,2.10267843485199
"pse...33",-8.73934552771971,1.12835434125736,6.48126439203261,-1.49659129693203,2.10226397307779
"pse...34",-0.537466944660991,0.13022926542908,6.48126431105488,-1.49714294409761,2.1031159586253
"pse...35",-7.16167943319306,0.660671283490956,6.48126428645488,-1.49697890025858,2.10292903147885
