"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.47596822642178,-2.72624884084398,2.02240782043991
"pse...2",-10.1154731540009,0.792240034788847,6.47596822837957,-2.72611046732453,2.02232518222414
"pse...3",-14.088248074986,0.241769740357995,6.47596833760983,-2.72652982607914,2.02214420990156
"pse...4",-2.21503028646111,1.23571576131508,6.47596831022382,-2.72560144173141,2.0223100321968
"pse...5",-7.10375221911818,0.952647742349654,6.47596855818608,-2.72659307496958,2.02369740682979
"pse...6",10.8695699600503,0.297757264226675,6.47596828557755,-2.72575820692544,2.02220964154365
"pse...7",-9.58709761267528,1.99854662409052,6.47596820794666,-2.72621484886349,2.02262828801046
"pse...8",10.252235471271,0.285298119764775,6.47596835364785,-2.72642965914701,2.02199215367816
"pse...9",-4.65454840566963,1.77925090771168,6.47596820885171,-2.72622305619928,2.02262023929684
"pse...10",-5.40455113397911,1.41803166735917,6.47596823813945,-2.72593355035225,2.02298918662281
"pse...11",3.8445515697822,0.87634513201192,6.47596827084337,-2.72651816235845,2.02276512067175
"pse...12",-4.80311915511265,1.86618517432362,6.47596820850119,-2.72620021007322,2.02256393082043
"pse...13",6.38863236643374,1.26170374592766,6.4759683132368,-2.72606813201289,2.02332284844966
"pse...14",7.39348310278729,0.22290057502687,6.47596824678591,-2.72641789819527,2.02250556413297
"pse...15",-6.80134454509243,0.197036178316921,6.47596825467912,-2.72636156796897,2.02233423572549
"pse...16",7.7258844813332,1.32718420773745,6.47596888978318,-2.72502497592793,2.02372582600402
"pse...17",6.73083281842992,0.917893062811345,6.47596833212694,-2.7266806509968,2.02280771859923
"pse...18",5.23195741698146,1.40102722961456,6.47596824807407,-2.72585079149779,2.02231351503559
"pse...19",9.45216655964032,1.38236297573894,6.47596839325604,-2.72674448850337,2.02305705019642
"pse...20",6.49237031349912,1.7811597827822,6.47596824861504,-2.72638232266336,2.02290770998074
"pse...21",-4.79109353385866,1.33712569065392,6.47596828569719,-2.72576310385549,2.02308700809088
"pse...22",-3.47238088957965,0.470226733479649,6.47596824187293,-2.72584491588123,2.02293403413605
"pse...23",11.6549108549953,1.60290331766009,6.47596837412922,-2.72661287868766,2.02211514781464
"pse...24",2.89283210411668,1.95403548283502,6.47596823111259,-2.72634337782777,2.02250561146393
"pse...25",-5.15685097547248,1.61036005662754,6.47596822584052,-2.72605866473987,2.02296244847643
"pse...26",-14.030538580846,0.896579755470157,6.47596824435483,-2.72616876034001,2.02305592315676
"pse...27",-7.0580484601669,0.818535035476089,6.47596839700666,-2.72537277205579,2.02291252927533
"pse...28",-9.16209599236026,1.08697502827272,6.47596823459935,-2.72577631298583,2.02264959008722
"pse...29",13.0531110288575,1.54807522054762,6.4759682419543,-2.72577229406016,2.0224836878681
"pse...30",14.9064975022338,1.6452516829595,6.47596842702986,-2.72538265032394,2.0231035952122
"pse...31",-3.24883968103677,0.770498960278928,6.47596821464868,-2.72623595207666,2.02251585784697
"pse...32",11.9741340028122,0.637706046923995,6.47596830168854,-2.72589970357162,2.02324559150695
"pse...33",-8.73934552771971,1.12835434125736,6.47596829001826,-2.72620750262271,2.02323303061728
"pse...34",-0.537466944660991,0.13022926542908,6.47596832285375,-2.72651952951452,2.02312878141889
"pse...35",-7.16167943319306,0.660671283490956,6.47596823569532,-2.72580375774359,2.02281125348836
"pse...36",-5.0830762507394,0.18470659153536,6.47596843447461,-2.72537186651281,2.02311248036611
"pse...37",5.81980582326651,0.232979252003133,6.47596823927043,-2.72640957854074,2.02263183114881
"pse...38",11.1179193668067,0.257341200485826,6.47596827966939,-2.72561953299294,2.02253695405722
"pse...39",10.0613391492516,0.475383792072535,6.47596836409197,-2.72540614172761,2.02255060846876
"pse...40",-1.48744178703055,1.66859723208472,6.47596825017903,-2.72622252605878,2.02224389529683
"pse...41",4.97390852775425,1.08823836874217,6.47596835534161,-2.72545636051783,2.02238450159669
"pse...42",4.86875790869817,1.74702454963699,6.47596826302273,-2.72650110237908,2.02265170287389
"pse...43",5.05164217902347,0.427090503741056,6.47596823117043,-2.7261821465372,2.02232905097306
"pse...44",-2.42776960367337,0.925551891792566,6.47596820921,-2.72617467898035,2.02251725542676
"pse...45",3.56426098616794,0.967452389188111,6.47596824717471,-2.72643352371884,2.02275659129961
"pse...46",7.68813236150891,0.443223801441491,6.47596848028692,-2.72520083479679,2.02279000197037
"pse...47",14.7353828768246,1.95945909665897,6.47596823289198,-2.72585855113331,2.02241285677838
"pse...48",10.7708918815479,0.483028418850154,6.47596826927418,-2.72596799005421,2.0221448320006
"pse...49",3.93997715553269,1.48809128301218,6.47596828942815,-2.72657722433465,2.0225698025327
"pse...50",8.23211068287492,1.34967308910564,6.47596823693166,-2.72610462724455,2.02227536022208
"pse...51",7.40335321985185,1.94818443665281,6.47596824280435,-2.72596231078303,2.0230310859167
"pse...52",-10.8701321901754,1.49083702685311,6.47596826566134,-2.72629610459107,2.02221503997973
"pse...53",-4.91306316806003,1.29541683150455,6.47596861791022,-2.72588295163819,2.02137301496782
"pse...54",11.4502522791736,0.856978599913418,6.47596829918994,-2.72567012824865,2.02225270758225
"pse...55",13.3049145620316,0.505520246457309,6.47596821528452,-2.7261105119453,2.02241984018969
"pse...56",14.6616448508576,1.8122444706969,6.47596839299823,-2.72580359973021,2.02183216176459
"pse...57",-14.4168034312315,1.10677122045308,6.47596837707627,-2.72670684987896,2.02226726013738
"pse...58",-4.75212800083682,1.26142082549632,6.47596822202876,-2.72590149504298,2.02283715800295
"pse...59",3.54894902324304,1.8458823855035,6.47596822786924,-2.72581060697323,2.02261588578078
"pse...60",7.70932551473379,0.504852851387113,6.47596822942379,-2.72607612602606,2.02298638815098
"pse...61",10.1540609216318,0.877452055457979,6.47596826367627,-2.72613316639702,2.02314973323133
"pse...62",-3.35457114502788,1.30771703599021,6.47596842949989,-2.72681927412098,2.02305641419404
"pse...63",-14.1814183071256,0.772552878130227,6.47596825619068,-2.72584858812724,2.02226940175226
"pse...64",-11.3923907722346,0.298589018173516,6.4759688107801,-2.72666551368755,2.02125593251513
"pse...65",10.5546809127554,1.64232668047771,6.47596829094638,-2.72577218403544,2.02311925002133
"pse...66",-1.58624636242166,1.76318219350651,6.47596832379104,-2.72667034506752,2.02259603162426
"pse...67",9.02730766218156,0.946886072400957,6.47596845265589,-2.7267500615887,2.02204526250721
"pse...68",-4.34705653460696,1.51056965626776,6.47596821988588,-2.72586406860044,2.02272388769482
"pse...69",10.5775444814935,0.197961130645126,6.47596890495771,-2.72651538433749,2.02426649099099
"pse...70",9.67875403119251,1.63090453203768,6.47596824642438,-2.72628432813051,2.02230425009186
"pse...71",-12.9113126196899,0.490221036132425,6.4759682989068,-2.72659883235885,2.0227870408352
"pse...72",-9.6570376935415,0.592606540769339,6.47596826117862,-2.72567222616222,2.02268496622264
"pse...73",-1.01491556502879,0.162787829060107,6.47596830313756,-2.72595631506231,2.02202672927644
"pse...74",-9.20684207696468,0.560268068686128,6.47596849133843,-2.72699138639516,2.02263545925357
"pse...75",7.50526732066646,0.456328784115613,6.47596827603335,-2.72650913734031,2.02286735026943
"pse...76",-0.964850359596312,0.131362666375935,6.47596823515961,-2.72637325630715,2.02278304444603
"pse...77",-1.49918372975662,0.340183107182384,6.475968202726,-2.72605845314423,2.02270973206572
"pse...78",-4.53343437518924,1.10467529250309,6.47596823735697,-2.72576731664445,2.02258869818569
"pse...79",0.201385330874473,0.916464297100902,6.47596831398023,-2.72577435263825,2.02321082595769
"pse...80",-11.0994633939117,0.193895271513611,6.47596828450548,-2.72642589201957,2.02224830683877
"pse...81",2.59267499204725,0.0701830568723381,6.47596822546448,-2.72630971948607,2.02250357414515
"pse...82",13.7800922594033,1.27078649029136,6.4759683656483,-2.7254075885969,2.02276856890463
"pse...83",-1.42774465028197,1.2381923426874,6.47596822344905,-2.72592688055766,2.0228801502663
"pse...84",5.59740613913164,1.46605204930529,6.47596823034918,-2.72634275989943,2.02279865937485
"pse...85",1.68631760403514,0.939637712202966,6.47596820182506,-2.7260802442849,2.02267650422949
"pse...86",3.62839557230473,1.50440234225243,6.47596827822871,-2.7256156074687,2.02265672982612
"pse...87",10.1972509059124,0.937859548255801,6.47596823598436,-2.726001904734,2.02229025850309
"pse...88",-5.93115591444075,0.791502819862217,6.4759682515922,-2.72646009954732,2.02264973030994
"pse...89",-8.70618156390265,1.84467114927247,6.47596827394679,-2.72650557858902,2.02246258131981
"pse...90",-14.183136227075,0.426073682960123,6.47596832820943,-2.72641372363511,2.02206111135302
"pse...91",-12.5281405029818,0.70525020128116,6.47596822142016,-2.72622243258203,2.02288281674814
"pse...92",4.97754934011027,1.05745945218951,6.4759682801834,-2.726144723953,2.02321145428482
"pse...93",-3.46612612484023,1.70694530382752,6.47596822111563,-2.72599330318054,2.02239051585925
"pse...94",14.660883480683,1.75981011567637,6.47596832468189,-2.72610964241951,2.02194775260933
"pse...95",-11.336743561551,0.264785300008953,6.47596825285719,-2.72616116849198,2.02309841676184
"pse...96",11.7801800114103,1.84490755945444,6.47596828144866,-2.72588228766241,2.0221324899102
"pse...97",-12.9766115080565,0.707821612711996,6.4759683530954,-2.72654017169094,2.02209865293567
"pse...98",-2.74769260548055,0.223694822750986,6.47596826838411,-2.72651645916552,2.02271654692549
"pse...99",-8.85829110397026,0.0914246751926839,6.47596829859226,-2.72617433304905,2.02326990880647
"pse...100",-12.2183166956529,0.399198307655752,6.4759683886121,-2.72536073557675,2.02276792725668
