"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,5.43975189197326,6.6402751548724,0.941666433365853
"pse...2",-10.1154731540009,0.792240034788847,5.43975188797782,6.63985745138877,0.941369503198319
"pse...3",-14.088248074986,0.241769740357995,5.4397520352453,6.64012746759648,0.942155183718491
"pse...4",-2.21503028646111,1.23571576131508,5.43975180725174,6.63995302632546,0.941755391282194
"pse...5",-7.10375221911818,0.952647742349654,5.43975221064324,6.64035111641677,0.942214530447875
"pse...6",10.8695699600503,0.297757264226675,5.43975216256295,6.64030495982217,0.942199826201944
"pse...7",-9.58709761267528,1.99854662409052,5.43975183308073,6.63995794617124,0.941460196745248
"pse...8",10.252235471271,0.285298119764775,5.43975181477503,6.64010384411079,0.941700706681324
"pse...9",-4.65454840566963,1.77925090771168,5.43975181614773,6.63996297016862,0.941800232488873
"pse...10",-5.40455113397911,1.41803166735917,5.43975190499709,6.63988579013388,0.94198498723902
"pse...11",3.8445515697822,0.87634513201192,5.43975185119207,6.6401614383239,0.941519188074403
"pse...12",-4.80311915511265,1.86618517432362,5.43975191059507,6.63971193534561,0.941467561870602
"pse...13",6.38863236643374,1.26170374592766,5.4397518030296,6.64004073336161,0.941706799206672
"pse...14",7.39348310278729,0.22290057502687,5.43975182069984,6.63998539032389,0.941497368694991
"pse...15",-6.80134454509243,0.197036178316921,5.43975182533567,6.64006827971053,0.941811026192402
"pse...16",7.7258844813332,1.32718420773745,5.4397518195422,6.63984536960512,0.941641937524433
"pse...17",6.73083281842992,0.917893062811345,5.43975180115949,6.63993517262076,0.941686551344307
"pse...18",5.23195741698146,1.40102722961456,5.43975181397183,6.64003539107384,0.941783454721405
"pse...19",9.45216655964032,1.38236297573894,5.43975182227828,6.64006452040278,0.941801710575385
"pse...20",6.49237031349912,1.7811597827822,5.43975192304994,6.63971388099425,0.941870651337346
"pse...21",-4.79109353385866,1.33712569065392,5.43975184528374,6.63977963101613,0.941675757779045
"pse...22",-3.47238088957965,0.470226733479649,5.43975187417895,6.63998414385027,0.941364970485994
"pse...23",11.6549108549953,1.60290331766009,5.43975182325049,6.63983492641701,0.941676504482988
"pse...24",2.89283210411668,1.95403548283502,5.43975189500208,6.63981127131309,0.941920856580725
"pse...25",-5.15685097547248,1.61036005662754,5.43975182384153,6.64007331022553,0.941521124495821
"pse...26",-14.030538580846,0.896579755470157,5.43975198154726,6.63958131719641,0.941687896305732
"pse...27",-7.0580484601669,0.818535035476089,5.4397518194688,6.64012418340465,0.941651386082287
"pse...28",-9.16209599236026,1.08697502827272,5.43975191894929,6.64005724325526,0.941300344898057
"pse...29",13.0531110288575,1.54807522054762,5.43975190771367,6.6396752053859,0.94170414992879
"pse...30",14.9064975022338,1.6452516829595,5.4397518415025,6.63996534963564,0.941436754458569
"pse...31",-3.24883968103677,0.770498960278928,5.43975191164995,6.63966747116349,0.941685691770713
"pse...32",11.9741340028122,0.637706046923995,5.43975181368366,6.63987134391462,0.941612089756378
"pse...33",-8.73934552771971,1.12835434125736,5.43975187923365,6.64022703711415,0.941800290427842
"pse...34",-0.537466944660991,0.13022926542908,5.43975188482291,6.63971937587875,0.941746754535056
"pse...35",-7.16167943319306,0.660671283490956,5.43975181153021,6.63997220807059,0.94153381028849
"pse...36",-5.0830762507394,0.18470659153536,5.43975184776629,6.6399858611691,0.941896280894549
"pse...37",5.81980582326651,0.232979252003133,5.43975181550786,6.63996330880205,0.941797754942211
"pse...38",11.1179193668067,0.257341200485826,5.43975189347819,6.63978809741276,0.941409258425334
"pse...39",10.0613391492516,0.475383792072535,5.439751811537,6.63991509211536,0.941558717343005
"pse...40",-1.48744178703055,1.66859723208472,5.439751844556,6.64017866464089,0.941590535289856
"pse...41",4.97390852775425,1.08823836874217,5.43975183373325,6.6401544843845,0.941597648740973
"pse...42",4.86875790869817,1.74702454963699,5.43975181957738,6.63988738789888,0.941542596210801
"pse...43",5.05164217902347,0.427090503741056,5.43975181677973,6.63997604141521,0.941511731527783
"pse...44",-2.42776960367337,0.925551891792566,5.43975181470749,6.63986251284376,0.941673831494282
"pse...45",3.56426098616794,0.967452389188111,5.43975183659185,6.63981482389636,0.941567036080498
"pse...46",7.68813236150891,0.443223801441491,5.43975181495392,6.63990140583695,0.941759561108078
"pse...47",14.7353828768246,1.95945909665897,5.43975185171167,6.63983519837951,0.941473128131861
"pse...48",10.7708918815479,0.483028418850154,5.43975190715054,6.63977438299496,0.941911760656751
"pse...49",3.93997715553269,1.48809128301218,5.43975182386904,6.63983984742522,0.941598850068126
"pse...50",8.23211068287492,1.34967308910564,5.43975181170478,6.64001911379794,0.941779595067678
"pse...51",7.40335321985185,1.94818443665281,5.43975182196028,6.6401160231787,0.941587065405172
"pse...52",-10.8701321901754,1.49083702685311,5.43975204345184,6.63960479720227,0.941954419213725
"pse...53",-4.91306316806003,1.29541683150455,5.43975183699073,6.64005832620849,0.941854659814749
"pse...54",11.4502522791736,0.856978599913418,5.43975185199046,6.64009564742494,0.941448188037073
"pse...55",13.3049145620316,0.505520246457309,5.43975182224372,6.63984029007719,0.94161696402667
"pse...56",14.6616448508576,1.8122444706969,5.43975233399947,6.64061407021941,0.941354971809464
"pse...57",-14.4168034312315,1.10677122045308,5.43975189482773,6.64006533820749,0.941342890326683
"pse...58",-4.75212800083682,1.26142082549632,5.43975180836979,6.64005284972128,0.941581458898222
"pse...59",3.54894902324304,1.8458823855035,5.43975184378965,6.63978346013556,0.941623232004115
"pse...60",7.70932551473379,0.504852851387113,5.43975184987301,6.63996008269305,0.941898808143314
"pse...61",10.1540609216318,0.877452055457979,5.4397518625106,6.63975846105432,0.941743295177744
"pse...62",-3.35457114502788,1.30771703599021,5.43975188897019,6.64002149358043,0.941341695797623
"pse...63",-14.1814183071256,0.772552878130227,5.4397518731595,6.63998877156238,0.941950392131715
"pse...64",-11.3923907722346,0.298589018173516,5.43975189178164,6.63974757365997,0.941463957872915
"pse...65",10.5546809127554,1.64232668047771,5.43975186610569,6.63978261228284,0.941812029765263
"pse...66",-1.58624636242166,1.76318219350651,5.43975222961341,6.64060452822319,0.94172651276015
"pse...67",9.02730766218156,0.946886072400957,5.43975183374683,6.6400605769279,0.941843905088437
"pse...68",-4.34705653460696,1.51056965626776,5.43975202380887,6.64014134097548,0.942136842953713
"pse...69",10.5775444814935,0.197961130645126,5.43975184457611,6.63998846600994,0.941888644405387
"pse...70",9.67875403119251,1.63090453203768,5.43975184537044,6.63985436731584,0.941474751863371
"pse...71",-12.9113126196899,0.490221036132425,5.43975181982262,6.63990243111282,0.941527770254923
"pse...72",-9.6570376935415,0.592606540769339,7.87879556276238,-79952200.9068685,-184734324.786955
"pse...73",-1.01491556502879,0.162787829060107,5.43975225627449,6.64043398414741,0.942185153089353
"pse...74",-9.20684207696468,0.560268068686128,7.87879556600388,-76224957.1225588,-176122308.54948
"pse...75",7.50526732066646,0.456328784115613,5.43975184392318,6.6397834451545,0.941620865943662
"pse...76",-0.964850359596312,0.131362666375935,5.43975228262611,6.64063415220464,0.941558466762809
"pse...77",-1.49918372975662,0.340183107182384,5.43975184628951,6.64012957552316,0.941494618376127
"pse...78",-4.53343437518924,1.10467529250309,5.43975185897193,6.63975205252293,0.941624042932546
"pse...79",0.201385330874473,0.916464297100902,5.43975180793889,6.6399126069105,0.941585305406869
"pse...80",-11.0994633939117,0.193895271513611,7.87878830106925,-34998428.4664433,-81172453.1841476
"pse...81",2.59267499204725,0.0701830568723381,5.43975190659755,6.63968459870952,0.941744150486322
"pse...82",13.7800922594033,1.27078649029136,5.43975189341489,6.64013192650611,0.941947215914012
"pse...83",-1.42774465028197,1.2381923426874,5.43975184994366,6.64017717242093,0.94155378040424
"pse...84",5.59740613913164,1.46605204930529,5.4397518189409,6.63987519838164,0.941561060409363
"pse...85",1.68631760403514,0.939637712202966,5.43975187861008,6.63973221548768,0.941547136171312
"pse...86",3.62839557230473,1.50440234225243,5.43975181327166,6.64010045272184,0.941690200810265
"pse...87",10.1972509059124,0.937859548255801,5.43975186630838,6.63992247772197,0.941387486545192
"pse...88",-5.93115591444075,0.791502819862217,5.4397518468965,6.63984282600895,0.941480755051128
"pse...89",-8.70618156390265,1.84467114927247,5.4397520824251,6.63957419567888,0.94131707767279
"pse...90",-14.183136227075,0.426073682960123,5.43975191374746,6.63966894103628,0.941578565746828
"pse...91",-12.5281405029818,0.70525020128116,5.43975188869294,6.6397672431535,0.941444775145689
"pse...92",4.97754934011027,1.05745945218951,5.43975181521227,6.64010956476131,0.941648104842925
"pse...93",-3.46612612484023,1.70694530382752,5.43975182527731,6.63998870011087,0.941835145619171
"pse...94",14.660883480683,1.75981011567637,5.43975182575888,6.64013718972285,0.941712734494878
"pse...95",-11.336743561551,0.264785300008953,5.43975188078931,6.63980608051282,0.941883957778318
"pse...96",11.7801800114103,1.84490755945444,5.43975185292089,6.63980215420113,0.941510771992519
"pse...97",-12.9766115080565,0.707821612711996,5.43975184506034,6.63980372076504,0.941762621230039
"pse...98",-2.74769260548055,0.223694822750986,5.43975193028793,6.64031271173016,0.941786804809803
"pse...99",-8.85829110397026,0.0914246751926839,7.87878845648081,-9386304.85928457,-21792386.0476085
"pse...100",-12.2183166956529,0.399198307655752,5.43975182799113,6.64010612423789,0.94178757715253
