"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,5.36217442606599,1.70071071543401,1.32618963251437
"pse...2",-10.1154731540009,0.792240034788847,5.36217434845812,1.70121896862645,1.32574212669424
"pse...3",-14.088248074986,0.241769740357995,5.36217439302464,1.70094498425615,1.32623783502615
"pse...4",-2.21503028646111,1.23571576131508,5.36217446553933,1.70126494063268,1.32625945213753
"pse...5",-7.10375221911818,0.952647742349654,5.36217439636168,1.70109945170634,1.32551429403233
"pse...6",10.8695699600503,0.297757264226675,5.36217460585441,1.70122830536535,1.32507519877781
"pse...7",-9.58709761267528,1.99854662409052,5.36217441155649,1.70076476116472,1.32620505054473
"pse...8",10.252235471271,0.285298119764775,5.36217471196905,1.70094984045973,1.32679635007045
"pse...9",-4.65454840566963,1.77925090771168,5.36217454533043,1.7012355570965,1.32643015877012
"pse...10",-5.40455113397911,1.41803166735917,5.36217436633695,1.7012078212104,1.32601921217111
"pse...11",3.8445515697822,0.87634513201192,5.36217435479022,1.70108983921946,1.32567617325948
"pse...12",-4.80311915511265,1.86618517432362,5.36217439078583,1.70081780561769,1.32616053316987
"pse...13",6.38863236643374,1.26170374592766,5.36217440649453,1.70117396540358,1.32619194347483
"pse...14",7.39348310278729,0.22290057502687,5.36217443791728,1.70081324482607,1.32565233730534
"pse...15",-6.80134454509243,0.197036178316921,5.3621743524683,1.70096963342968,1.3260492367851
"pse...16",7.7258844813332,1.32718420773745,5.36217435652951,1.70101178602766,1.32608640610171
"pse...17",6.73083281842992,0.917893062811345,5.36217450692664,1.7009195476507,1.32650915747702
"pse...18",5.23195741698146,1.40102722961456,5.36217435986665,1.70088630764086,1.325943435255
"pse...19",9.45216655964032,1.38236297573894,5.3621745135509,1.70122277041697,1.32638625932078
"pse...20",6.49237031349912,1.7811597827822,5.3621743704268,1.7011593410524,1.32608349596493
"pse...21",-4.79109353385866,1.33712569065392,5.36217436376108,1.7010051864149,1.32569084182678
"pse...22",-3.47238088957965,0.470226733479649,5.36217439479012,1.70136315401043,1.32555707919967
"pse...23",11.6549108549953,1.60290331766009,5.36217437085509,1.70105108221277,1.3256253759772
"pse...24",2.89283210411668,1.95403548283502,5.36217452002706,1.70054316381313,1.32593741662738
"pse...25",-5.15685097547248,1.61036005662754,5.36217436004506,1.70099627141053,1.32610503019215
"pse...26",-14.030538580846,0.896579755470157,5.36217444324387,1.70099931648495,1.32636606956448
"pse...27",-7.0580484601669,0.818535035476089,5.36217444559948,1.70112171283136,1.3263210581695
"pse...28",-9.16209599236026,1.08697502827272,5.36217439012171,1.70079909387327,1.32588926051986
"pse...29",13.0531110288575,1.54807522054762,5.36217438552979,1.70118443996189,1.32552400869451
"pse...30",14.9064975022338,1.6452516829595,5.36217436700151,1.70086107169868,1.32592416628929
"pse...31",-3.24883968103677,0.770498960278928,5.36217446726638,1.70080374373473,1.32558637922861
"pse...32",11.9741340028122,0.637706046923995,5.36217464237366,1.70182346743337,1.32561120723785
"pse...33",-8.73934552771971,1.12835434125736,5.36217436568004,1.70131471524143,1.32574385684593
"pse...34",-0.537466944660991,0.13022926542908,5.36217444334123,1.70134631059101,1.32612019516547
"pse...35",-7.16167943319306,0.660671283490956,5.36217438096968,1.70109655191481,1.32616302338523
"pse...36",-5.0830762507394,0.18470659153536,5.36217441942272,1.70080473668197,1.32572550103466
"pse...37",5.81980582326651,0.232979252003133,5.36217445581973,1.70153807947399,1.32554044145202
"pse...38",11.1179193668067,0.257341200485826,5.36217445398313,1.70145704548508,1.32598145334606
"pse...39",10.0613391492516,0.475383792072535,5.36217458143308,1.70142716418432,1.32509874827636
"pse...40",-1.48744178703055,1.66859723208472,5.36217436949192,1.70129616193288,1.32589918803501
"pse...41",4.97390852775425,1.08823836874217,5.36217437258374,1.70120899089354,1.32557305214815
"pse...42",4.86875790869817,1.74702454963699,5.36217435909619,1.70122285168681,1.32564664888052
"pse...43",5.05164217902347,0.427090503741056,5.36217439049894,1.70091971620558,1.32567060923742
"pse...44",-2.42776960367337,0.925551891792566,5.36217434130556,1.70117352360534,1.32584943785471
"pse...45",3.56426098616794,0.967452389188111,5.36217436739117,1.70113435990479,1.32560131342914
"pse...46",7.68813236150891,0.443223801441491,5.36217437990803,1.70120417329284,1.32608099622519
"pse...47",14.7353828768246,1.95945909665897,5.36217443952459,1.70146776595014,1.32547267309279
"pse...48",10.7708918815479,0.483028418850154,5.36217441874947,1.70112312563769,1.3262576882251
"pse...49",3.93997715553269,1.48809128301218,5.36217437407113,1.70099516787117,1.32565538009692
"pse...50",8.23211068287492,1.34967308910564,5.36217443847348,1.70150790690547,1.32558345629775
"pse...51",7.40335321985185,1.94818443665281,5.36217436361003,1.70114196168132,1.32561593272743
"pse...52",-10.8701321901754,1.49083702685311,5.36217460247838,1.7004130118403,1.32603419245354
"pse...53",-4.91306316806003,1.29541683150455,5.36217436823155,1.70114236009501,1.32608745263717
"pse...54",11.4502522791736,0.856978599913418,5.36217443500934,1.70149454088033,1.3255617799465
"pse...55",13.3049145620316,0.505520246457309,5.36217436158273,1.70123687920076,1.3259547547275
"pse...56",14.6616448508576,1.8122444706969,5.36217436089046,1.70117308057927,1.3256255216153
"pse...57",-14.4168034312315,1.10677122045308,5.36217442127737,1.70138346436672,1.32545632017617
"pse...58",-4.75212800083682,1.26142082549632,5.36217451052575,1.70142053396611,1.32523056822244
"pse...59",3.54894902324304,1.8458823855035,5.36217437356887,1.70130339487418,1.3259130678684
"pse...60",7.70932551473379,0.504852851387113,5.36217453479164,1.7006424131724,1.32565866272385
"pse...61",10.1540609216318,0.877452055457979,5.36217446145684,1.70097035108828,1.32543580315205
"pse...62",-3.35457114502788,1.30771703599021,5.36217454200628,1.70153334450522,1.32521522209064
"pse...63",-14.1814183071256,0.772552878130227,5.362174481254,1.70058919984845,1.32599750388427
"pse...64",-11.3923907722346,0.298589018173516,5.36217442495594,1.70148552832072,1.32566520725619
"pse...65",10.5546809127554,1.64232668047771,5.36217446635204,1.70074259689791,1.32639122420071
"pse...66",-1.58624636242166,1.76318219350651,5.36217449181454,1.70147790791071,1.32530261205504
"pse...67",9.02730766218156,0.946886072400957,5.3621744153252,1.70072806550534,1.32592718426584
"pse...68",-4.34705653460696,1.51056965626776,5.36217437732336,1.70132094344356,1.32590034607308
"pse...69",10.5775444814935,0.197961130645126,5.36217439284657,1.70131717637144,1.32599137140104
"pse...70",9.67875403119251,1.63090453203768,5.36217442402517,1.70133694251915,1.32542107348415
"pse...71",-12.9113126196899,0.490221036132425,5.36217441287699,1.70145739009965,1.32569346944611
"pse...72",-9.6570376935415,0.592606540769339,5.36217445053651,1.7009138310391,1.32639509476145
"pse...73",-1.01491556502879,0.162787829060107,5.36217434471644,1.7011949493922,1.32576357133493
"pse...74",-9.20684207696468,0.560268068686128,5.36217440458579,1.70081620849172,1.32622994112006
"pse...75",7.50526732066646,0.456328784115613,5.36217446182801,1.70154293940627,1.32550938609392
"pse...76",-0.964850359596312,0.131362666375935,5.36217438650273,1.70079312644265,1.32596143970021
"pse...77",-1.49918372975662,0.340183107182384,5.36217436698047,1.70127942792194,1.32591627078671
"pse...78",-4.53343437518924,1.10467529250309,5.36217446255793,1.70147574955434,1.32597496781567
"pse...79",0.201385330874473,0.916464297100902,5.36217485738105,1.70013076288092,1.3261781709744
"pse...80",-11.0994633939117,0.193895271513611,5.36217445058553,1.70151445618268,1.32550446061749
"pse...81",2.59267499204725,0.0701830568723381,5.3621743765311,1.7012096341764,1.32555665305852
"pse...82",13.7800922594033,1.27078649029136,5.36217465092865,1.7012853507258,1.32654595648419
"pse...83",-1.42774465028197,1.2381923426874,5.36217438990644,1.70079538229416,1.32590418835801
"pse...84",5.59740613913164,1.46605204930529,5.36217439235593,1.70137328216552,1.32558760029847
"pse...85",1.68631760403514,0.939637712202966,5.36217437561389,1.70133425547881,1.32585002981562
"pse...86",3.62839557230473,1.50440234225243,5.36217438754387,1.70084619738607,1.32617481747784
"pse...87",10.1972509059124,0.937859548255801,5.36217456325814,1.70103443302475,1.32521624167761
"pse...88",-5.93115591444075,0.791502819862217,5.36217440175299,1.70105283805612,1.32552285914566
"pse...89",-8.70618156390265,1.84467114927247,5.36217440205542,1.70076519272059,1.32590208333727
"pse...90",-14.183136227075,0.426073682960123,5.36217458750166,1.7005079380938,1.32650437620018
"pse...91",-12.5281405029818,0.70525020128116,5.36217437812491,1.70095915032937,1.3256741700504
"pse...92",4.97754934011027,1.05745945218951,5.36217436805739,1.70099134683455,1.32614353860015
"pse...93",-3.46612612484023,1.70694530382752,5.36217442553747,1.70146460270617,1.32582813499416
"pse...94",14.660883480683,1.75981011567637,5.36217469831319,1.70029584370872,1.32640412645722
"pse...95",-11.336743561551,0.264785300008953,5.3621745446377,1.70104414567061,1.32523942253407
"pse...96",11.7801800114103,1.84490755945444,5.36217438492634,1.70106883161547,1.32556470688715
"pse...97",-12.9766115080565,0.707821612711996,5.36217437793439,1.70134981979814,1.32581851105883
"pse...98",-2.74769260548055,0.223694822750986,5.36217476547655,1.7002807870003,1.32588684140282
"pse...99",-8.85829110397026,0.0914246751926839,5.3621743639915,1.70087379947097,1.32602416952382
"pse...100",-12.2183166956529,0.399198307655752,5.36217497708975,1.70199797128594,1.32482810210001
