"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,7.13184145768472,3.28993276754464,1.76041754210421
"pse...2",-10.1154731540009,0.792240034788847,7.13184153459697,3.28952458845437,1.76008378693618
"pse...3",-14.088248074986,0.241769740357995,7.13184165284858,3.28935742937246,1.76063703641229
"pse...4",-2.21503028646111,1.23571576131508,7.13184146339718,3.28975958378513,1.76018668535075
"pse...5",-7.10375221911818,0.952647742349654,7.13184154125036,3.28977471232601,1.75967136312012
"pse...6",10.8695699600503,0.297757264226675,7.13184160831605,3.28936069878955,1.7602462517595
"pse...7",-9.58709761267528,1.99854662409052,7.1318415665908,3.28995640808958,1.76091484615441
"pse...8",10.252235471271,0.285298119764775,7.13184158813137,3.29022663885563,1.76084579609054
"pse...9",-4.65454840566963,1.77925090771168,7.13184148858206,3.29019390879243,1.76033977033174
"pse...10",-5.40455113397911,1.41803166735917,7.13184359165133,3.28797582212452,1.76117266049946
"pse...11",3.8445515697822,0.87634513201192,7.13184147581909,3.28982296156229,1.75994560524651
"pse...12",-4.80311915511265,1.86618517432362,7.13184149090501,3.28999120103555,1.76063092725001
"pse...13",6.38863236643374,1.26170374592766,7.13184148341999,3.29013394306099,1.76002638125633
"pse...14",7.39348310278729,0.22290057502687,7.13184233951233,3.29024195835241,1.75842911618457
"pse...15",-6.80134454509243,0.197036178316921,7.13184147870422,3.28968436052332,1.76028479618838
"pse...16",7.7258844813332,1.32718420773745,7.13184163036827,3.28975971437151,1.75942330133898
"pse...17",6.73083281842992,0.917893062811345,7.1318414575062,3.28997910482368,1.76007781056701
"pse...18",5.23195741698146,1.40102722961456,7.1318414950716,3.29000199956122,1.76064765080546
"pse...19",9.45216655964032,1.38236297573894,7.13184145498176,3.29002284896467,1.76028842276517
"pse...20",6.49237031349912,1.7811597827822,7.13184149540423,3.29021529706989,1.76013059105543
"pse...21",-4.79109353385866,1.33712569065392,7.13184167560504,3.2900275212479,1.75930841059539
"pse...22",-3.47238088957965,0.470226733479649,7.13184151591756,3.28959810888603,1.76046147562148
"pse...23",11.6549108549953,1.60290331766009,7.13184213480664,3.2895886566724,1.75866004221451
"pse...24",2.89283210411668,1.95403548283502,7.13184146825061,3.28998240068463,1.76049759853329
"pse...25",-5.15685097547248,1.61036005662754,7.13184147547315,3.28973946741024,1.76042342965259
"pse...26",-14.030538580846,0.896579755470157,7.13184150173902,3.29023301220279,1.76011486864721
"pse...27",-7.0580484601669,0.818535035476089,7.1318414858186,3.28975380955362,1.75994005458813
"pse...28",-9.16209599236026,1.08697502827272,7.13184165500472,3.28947105883463,1.76086524502717
"pse...29",13.0531110288575,1.54807522054762,7.13184145181829,3.28998147381607,1.76018459319034
"pse...30",14.9064975022338,1.6452516829595,7.13184151027845,3.28959455437319,1.76039322018534
"pse...31",-3.24883968103677,0.770498960278928,7.13184162028554,3.28943619091533,1.75977736988718
"pse...32",11.9741340028122,0.637706046923995,7.13184300939265,3.28817422516469,1.75989784966136
"pse...33",-8.73934552771971,1.12835434125736,7.13184154992559,3.29000450359965,1.76085677681386
"pse...34",-0.537466944660991,0.13022926542908,7.13184151006194,3.28964542344858,1.76052581028768
"pse...35",-7.16167943319306,0.660671283490956,7.13184147030166,3.28980869416012,1.7604724781487
"pse...36",-5.0830762507394,0.18470659153536,7.1318415309458,3.28970568797522,1.75975689889752
"pse...37",5.81980582326651,0.232979252003133,7.13184150202961,3.29007615684998,1.75983934704803
"pse...38",11.1179193668067,0.257341200485826,7.13184147984477,3.29014190337519,1.76040056716861
"pse...39",10.0613391492516,0.475383792072535,7.13184148578779,3.28998100001389,1.7598690646185
"pse...40",-1.48744178703055,1.66859723208472,7.13184159802028,3.28951976848098,1.76074276022413
"pse...41",4.97390852775425,1.08823836874217,7.13184156592055,3.29016546743255,1.76082661101021
"pse...42",4.86875790869817,1.74702454963699,7.13184152826804,3.29004312904181,1.76077006218961
"pse...43",5.05164217902347,0.427090503741056,7.13184165984877,3.28988382036827,1.75932938663167
