"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.46687207497158,1.88770085637412,1.43303153461159
"pse...2",-10.1154731540009,0.792240034788847,6.46687217846632,1.88740780867283,1.43327820460357
"pse...3",-14.088248074986,0.241769740357995,6.46687207258363,1.88765091402556,1.43335243877958
"pse...4",-2.21503028646111,1.23571576131508,6.46687208971102,1.88765740984864,1.43300793857085
"pse...5",-7.10375221911818,0.952647742349654,6.46687208699264,1.88759217019842,1.43318723261495
"pse...6",10.8695699600503,0.297757264226675,6.46687215371118,1.88772679054089,1.43372668195021
"pse...7",-9.58709761267528,1.99854662409052,6.46687207343171,1.88807829818703,1.43315864078446
"pse...8",10.252235471271,0.285298119764775,6.46687204321337,1.88779181254461,1.43334633469376
"pse...9",-4.65454840566963,1.77925090771168,6.46687210948271,1.88755428254428,1.43309226415183
"pse...10",-5.40455113397911,1.41803166735917,6.46687209457155,1.88806638359759,1.43302160296961
"pse...11",3.8445515697822,0.87634513201192,6.46687205159029,1.88800603256587,1.43320133924315
"pse...12",-4.80311915511265,1.86618517432362,6.46687209528253,1.8877184792026,1.43356034669056
"pse...13",6.38863236643374,1.26170374592766,6.46687259117298,1.88723280724537,1.43398448208631
"pse...14",7.39348310278729,0.22290057502687,6.46687288346905,1.88674377703888,1.43305423065346
"pse...15",-6.80134454509243,0.197036178316921,6.46687212819549,1.8882111257612,1.43313516463265
"pse...16",7.7258844813332,1.32718420773745,6.46687208478425,1.88793410507654,1.43295443810418
"pse...17",6.73083281842992,0.917893062811345,6.46687206362749,1.88800731962577,1.43310097300708
"pse...18",5.23195741698146,1.40102722961456,6.46687208622498,1.88783902206721,1.43359084559705
"pse...19",9.45216655964032,1.38236297573894,6.46687206644291,1.88774968431114,1.43303342718013
"pse...20",6.49237031349912,1.7811597827822,6.46687206024897,1.88792984043648,1.43305245845647
"pse...21",-4.79109353385866,1.33712569065392,6.46687209990681,1.88756338765205,1.43330765564521
"pse...22",-3.47238088957965,0.470226733479649,6.46687214127689,1.88819730187615,1.43303578644464
"pse...23",11.6549108549953,1.60290331766009,6.46687210914416,1.88773419561554,1.43361598761714
"pse...24",2.89283210411668,1.95403548283502,6.4668720736218,1.88767287337468,1.43340973112329
"pse...25",-5.15685097547248,1.61036005662754,6.46687219813939,1.88760916547544,1.43272760985729
"pse...26",-14.030538580846,0.896579755470157,6.46687216993251,1.88813263283711,1.43285848065118
"pse...27",-7.0580484601669,0.818535035476089,6.46687231179818,1.88841411694708,1.43292035306624
"pse...28",-9.16209599236026,1.08697502827272,6.46687211230675,1.88775318670938,1.43363629804777
"pse...29",13.0531110288575,1.54807522054762,6.46687241203452,1.88852784067705,1.43291185854544
"pse...30",14.9064975022338,1.6452516829595,6.4668720833766,1.88759951850182,1.43322781523864
"pse...31",-3.24883968103677,0.770498960278928,6.4668720549621,1.8879663734352,1.43343987527821
"pse...32",11.9741340028122,0.637706046923995,6.46687208222705,1.8877552179348,1.43296241138538
"pse...33",-8.73934552771971,1.12835434125736,6.46687217105506,1.88773318392007,1.43272998617378
"pse...34",-0.537466944660991,0.13022926542908,6.46687229725623,1.88733083263839,1.43359375428431
"pse...35",-7.16167943319306,0.660671283490956,6.46687219800409,1.88803499572206,1.43272355273487
"pse...36",-5.0830762507394,0.18470659153536,6.46687221670727,1.88737808494638,1.43299396701615
"pse...37",5.81980582326651,0.232979252003133,6.46687207627069,1.88811093443205,1.43332036411017
"pse...38",11.1179193668067,0.257341200485826,6.46687208459292,1.88805933901293,1.43351310817871
"pse...39",10.0613391492516,0.475383792072535,6.46687210627913,1.88756780164259,1.4333848211976
"pse...40",-1.48744178703055,1.66859723208472,6.46687205150928,1.88799193503728,1.43338391098888
"pse...41",4.97390852775425,1.08823836874217,6.46687226445002,1.88787539930012,1.43255856689406
"pse...42",4.86875790869817,1.74702454963699,6.46687208372927,1.88804156647664,1.43303854915154
"pse...43",5.05164217902347,0.427090503741056,6.46687206589878,1.88769878124155,1.43340280044183
"pse...44",-2.42776960367337,0.925551891792566,6.46687208035606,1.88809522485322,1.43314514212978
"pse...45",3.56426098616794,0.967452389188111,6.4668721348307,1.88748201126363,1.43319929541215
"pse...46",7.68813236150891,0.443223801441491,6.46687237005459,1.88771554316452,1.43408138011495
"pse...47",14.7353828768246,1.95945909665897,6.46687220821679,1.88790031582098,1.43265550700609
"pse...48",10.7708918815479,0.483028418850154,6.46687212010178,1.88821028791876,1.43319701587636
"pse...49",3.93997715553269,1.48809128301218,6.46687205153534,1.88777568506839,1.43310337017473
"pse...50",8.23211068287492,1.34967308910564,6.46687208402421,1.88810618782674,1.43343557916661
"pse...51",7.40335321985185,1.94818443665281,6.46687205912246,1.88777201147967,1.43305793329308
"pse...52",-10.8701321901754,1.49083702685311,6.46687355496277,1.88669213946047,1.43199554963645
"pse...53",-4.91306316806003,1.29541683150455,6.46687213433844,1.88761506041093,1.43288521662215
"pse...54",11.4502522791736,0.856978599913418,6.46687210260856,1.88755092000446,1.43320325497192
"pse...55",13.3049145620316,0.505520246457309,6.46687210140794,1.88779944949166,1.43362602003528
"pse...56",14.6616448508576,1.8122444706969,6.46687246076775,1.88760387903765,1.43414391779552
"pse...57",-14.4168034312315,1.10677122045308,6.46687214743614,1.88823328787254,1.43352025725563
"pse...58",-4.75212800083682,1.26142082549632,6.46687211667528,1.88820422862595,1.43320341784998
"pse...59",3.54894902324304,1.8458823855035,6.4668720806538,1.88789873207903,1.4335777494953
"pse...60",7.70932551473379,0.504852851387113,6.46687206872688,1.88766428842673,1.43335276896115
"pse...61",10.1540609216318,0.877452055457979,6.46687214807034,1.88816426616327,1.43363594631565
"pse...62",-3.35457114502788,1.30771703599021,6.46687210589069,1.88813894760554,1.43350422183928
"pse...63",-14.1814183071256,0.772552878130227,6.46687234129342,1.8881330080646,1.43254343621592
"pse...64",-11.3923907722346,0.298589018173516,6.46687208363648,1.88771421954375,1.43351279334346
"pse...65",10.5546809127554,1.64232668047771,6.46687224955734,1.88839357825216,1.43356663448686
"pse...66",-1.58624636242166,1.76318219350651,6.46687211941695,1.88794874862683,1.43368815644669
"pse...67",9.02730766218156,0.946886072400957,6.46687209372726,1.88798866124852,1.4329537389123
"pse...68",-4.34705653460696,1.51056965626776,6.46687207082573,1.88764347541859,1.43317484378163
"pse...69",10.5775444814935,0.197961130645126,6.46687208734735,1.88773763001858,1.43354677876753
"pse...70",9.67875403119251,1.63090453203768,6.46687204977848,1.88790681195443,1.43309992321074
"pse...71",-12.9113126196899,0.490221036132425,6.4668721039811,1.8876044260604,1.43301381056484
"pse...72",-9.6570376935415,0.592606540769339,6.46687207514279,1.8878165266318,1.4329710318412
"pse...73",-1.01491556502879,0.162787829060107,6.46687232739321,1.88847138798721,1.43364817561668
"pse...74",-9.20684207696468,0.560268068686128,18,-7.59564471349586,0.0999259648378938
"pse...75",7.50526732066646,0.456328784115613,6.46687212967203,1.88750563059106,1.43310151714017
"pse...76",-0.964850359596312,0.131362666375935,6.46687206683004,1.88765119139855,1.43325787580691
"pse...77",-1.49918372975662,0.340183107182384,6.46687208945813,1.88801553413776,1.43298924939688
"pse...78",-4.53343437518924,1.10467529250309,6.46687216864049,1.88830167609258,1.43342443152317
"pse...79",0.201385330874473,0.916464297100902,6.46687212929449,1.88777785703827,1.43369279618766
"pse...80",-11.0994633939117,0.193895271513611,6.46687213441008,1.88821901071756,1.43348507320504
"pse...81",2.59267499204725,0.0701830568723381,6.46687207038017,1.88803103401368,1.43347121031704
"pse...82",13.7800922594033,1.27078649029136,6.46687209994638,1.88817378998743,1.43333967039478
"pse...83",-1.42774465028197,1.2381923426874,6.46687215094042,1.88788316033379,1.43276464866074
"pse...84",5.59740613913164,1.46605204930529,6.4668720544458,1.88770096320373,1.43321403585661
"pse...85",1.68631760403514,0.939637712202966,6.46687209543802,1.88810667555176,1.43307641569573
"pse...86",3.62839557230473,1.50440234225243,6.46687205175739,1.88800630395007,1.43319975563757
"pse...87",10.1972509059124,0.937859548255801,6.46687225603158,1.88731022736489,1.43337174288393
"pse...88",-5.93115591444075,0.791502819862217,6.4668721169088,1.88814318478247,1.43303948218058
"pse...89",-8.70618156390265,1.84467114927247,6.4668723560729,1.88824504409276,1.43260656977152
"pse...90",-14.183136227075,0.426073682960123,6.46687217833887,1.88746896685616,1.43350334969873
"pse...91",-12.5281405029818,0.70525020128116,6.46687209942879,1.88813861574036,1.43311920922707
"pse...92",4.97754934011027,1.05745945218951,6.46687207241988,1.88807478357488,1.43341486903921
