"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,5.48434493487484,2.80244399811346,0.975812008067616
"pse...2",-10.1154731540009,0.792240034788847,5.48434494309151,2.8027363139945,0.975498376367065
"pse...3",-14.088248074986,0.241769740357995,5.48434494349683,2.80237931729956,0.975708001361264
"pse...4",-2.21503028646111,1.23571576131508,5.48434495200818,2.80241976835611,0.975454600534251
"pse...5",-7.10375221911818,0.952647742349654,5.48434491735594,2.80247007834738,0.97577852333757
"pse...6",10.8695699600503,0.297757264226675,5.48434495348824,2.80256830606211,0.975387221430457
"pse...7",-9.58709761267528,1.99854662409052,5.4843449061126,2.80268686228178,0.975783426275058
"pse...8",10.252235471271,0.285298119764775,5.48434489777661,2.80264888406878,0.97558495104064
"pse...9",-4.65454840566963,1.77925090771168,5.48434500516266,2.8028802596375,0.975859092524604
"pse...10",-5.40455113397911,1.41803166735917,5.48434490521733,2.80262266294174,0.975816995079306
"pse...11",3.8445515697822,0.87634513201192,5.48434491724433,2.8027495428638,0.975662027421348
"pse...12",-4.80311915511265,1.86618517432362,5.48434498472614,2.80273004852018,0.975392720100547
"pse...13",6.38863236643374,1.26170374592766,5.48434498944127,2.80239005649307,0.975386425500542
"pse...14",7.39348310278729,0.22290057502687,5.48434490287037,2.80253027575998,0.975541320956175
"pse...15",-6.80134454509243,0.197036178316921,5.48434491860965,2.80262572090299,0.975484645930634
"pse...16",7.7258844813332,1.32718420773745,5.4843449882687,2.80276369347457,0.975415763982686
"pse...17",6.73083281842992,0.917893062811345,5.48434497660642,2.80267823582337,0.975989341283909
"pse...18",5.23195741698146,1.40102722961456,5.48434489633702,2.80266305801041,0.975744904626991
"pse...19",9.45216655964032,1.38236297573894,5.48434489084306,2.80255164428576,0.97560793512229
"pse...20",6.49237031349912,1.7811597827822,5.48434493274268,2.80257932160106,0.975899819503798
"pse...21",-4.79109353385866,1.33712569065392,5.48434491972055,2.80270579752202,0.975542533125787
"pse...22",-3.47238088957965,0.470226733479649,5.48434492818644,2.80274385871725,0.975563946607316
"pse...23",11.6549108549953,1.60290331766009,5.48434495336802,2.8028172362302,0.975618931797338
"pse...24",2.89283210411668,1.95403548283502,5.484344917824,2.80264547410425,0.975496641023306
"pse...25",-5.15685097547248,1.61036005662754,5.48434495703525,2.80252808213246,0.975937920730051
"pse...26",-14.030538580846,0.896579755470157,5.4843449525168,2.8027132030794,0.975923912007584
"pse...27",-7.0580484601669,0.818535035476089,5.4843453397789,2.80290801323271,0.975090505019352
"pse...28",-9.16209599236026,1.08697502827272,5.48434504128149,2.80223003941184,0.975639246694256
"pse...29",13.0531110288575,1.54807522054762,5.48434495214856,2.80255303957015,0.975937395247201
"pse...30",14.9064975022338,1.6452516829595,5.48434495058469,2.80247306672641,0.975416076721428
"pse...31",-3.24883968103677,0.770498960278928,5.48434493754949,2.80238371407917,0.975658711970721
"pse...32",11.9741340028122,0.637706046923995,5.48434494070939,2.8027983516737,0.975757215442051
"pse...33",-8.73934552771971,1.12835434125736,5.48434492699666,2.80276895448823,0.975638182415759
"pse...34",-0.537466944660991,0.13022926542908,5.48434494595049,2.80249991990937,0.975897410292015
"pse...35",-7.16167943319306,0.660671283490956,5.48434491426649,2.8026327746596,0.975848517755407
"pse...36",-5.0830762507394,0.18470659153536,5.48434494431428,2.80248819796068,0.975424032751861
"pse...37",5.81980582326651,0.232979252003133,5.48434511927793,2.80303252271451,0.975757547521524
"pse...38",11.1179193668067,0.257341200485826,5.48434493263154,2.80265644491414,0.975459508214611
"pse...39",10.0613391492516,0.475383792072535,5.48434489923245,2.80262358562429,0.975789841539698
"pse...40",-1.48744178703055,1.66859723208472,5.48434495448413,2.80243992234378,0.975866871040355
"pse...41",4.97390852775425,1.08823836874217,5.48434490320575,2.80254888337377,0.9757944091474
"pse...42",4.86875790869817,1.74702454963699,5.48434496903301,2.80276476446697,0.97592706297353
"pse...43",5.05164217902347,0.427090503741056,5.48434495359738,2.8028260530362,0.975665094937494
"pse...44",-2.42776960367337,0.925551891792566,5.48434503717204,2.80293778483398,0.975625994699388
"pse...45",3.56426098616794,0.967452389188111,5.48434492033332,2.80273384427773,0.975794826210112
"pse...46",7.68813236150891,0.443223801441491,5.48434495738014,2.80262300965363,0.975959151734168
"pse...47",14.7353828768246,1.95945909665897,5.48434493505836,2.80273266788677,0.975519799564845
"pse...48",10.7708918815479,0.483028418850154,5.48434490141755,2.80248618121263,0.975703512167748
"pse...49",3.93997715553269,1.48809128301218,5.48434489861206,2.80254088944387,0.975557860167227
"pse...50",8.23211068287492,1.34967308910564,5.4843454975003,2.80210930386176,0.976227303652868
"pse...51",7.40335321985185,1.94818443665281,5.48434498665865,2.80282607115112,0.975902765412323
"pse...52",-10.8701321901754,1.49083702685311,5.48434499313045,2.80236006337263,0.975862001160472
"pse...53",-4.91306316806003,1.29541683150455,5.4843449057344,2.80269039134713,0.975776690107106
"pse...54",11.4502522791736,0.856978599913418,5.48434495037008,2.80262529568804,0.975944349466652
"pse...55",13.3049145620316,0.505520246457309,5.48434492238478,2.8024768464111,0.975808146718847
"pse...56",14.6616448508576,1.8122444706969,5.4843450652678,2.80271334114075,0.976120267844453
"pse...57",-14.4168034312315,1.10677122045308,5.4843449053255,2.8024656642659,0.975672870272179
"pse...58",-4.75212800083682,1.26142082549632,5.48434510995684,2.80241386187848,0.975177267454247
"pse...59",3.54894902324304,1.8458823855035,5.48434493234036,2.80278485662428,0.97573120505093
"pse...60",7.70932551473379,0.504852851387113,5.48434504543942,2.80290275817381,0.975489342901405
"pse...61",10.1540609216318,0.877452055457979,5.484344909258,2.80250987550593,0.975790554207393
"pse...62",-3.35457114502788,1.30771703599021,5.48434493961622,2.80276121269265,0.975546228183315
"pse...63",-14.1814183071256,0.772552878130227,5.48434504092,2.80278611542255,0.975340217895187
"pse...64",-11.3923907722346,0.298589018173516,5.48434489512815,2.80266023309632,0.975737620610397
"pse...65",10.5546809127554,1.64232668047771,5.4843449569914,2.80240772369906,0.97583300039829
