"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,5.90303075491028,2.13645774346454,1.32622644243563
"pse...2",-10.1154731540009,0.792240034788847,5.90303077518673,2.13675529056559,1.32625780106293
"pse...3",-14.088248074986,0.241769740357995,5.90303102531178,2.13627406391811,1.32544702356156
"pse...4",-2.21503028646111,1.23571576131508,5.90303078029501,2.13685092209718,1.32612487890672
"pse...5",-7.10375221911818,0.952647742349654,5.90303076978913,2.13653263841895,1.32578688922888
"pse...6",10.8695699600503,0.297757264226675,5.9030309729757,2.13690963606253,1.32528119041471
"pse...7",-9.58709761267528,1.99854662409052,5.90303079467637,2.13690800296145,1.32606118180199
"pse...8",10.252235471271,0.285298119764775,5.90303076855151,2.13641332275646,1.32595255060407
"pse...9",-4.65454840566963,1.77925090771168,5.903030765035,2.13662609623796,1.32631509855367
"pse...10",-5.40455113397911,1.41803166735917,5.9030307540459,2.13643733391161,1.3261722669576
"pse...11",3.8445515697822,0.87634513201192,5.90303077348588,2.13666047281686,1.32633134087981
"pse...12",-4.80311915511265,1.86618517432362,5.90303077128876,2.13677759216189,1.32621075936956
"pse...13",6.38863236643374,1.26170374592766,5.90303074818075,2.13647726149097,1.32619004144139
"pse...14",7.39348310278729,0.22290057502687,5.90303094844469,2.13709490397945,1.32548094524542
"pse...15",-6.80134454509243,0.197036178316921,5.90303082729546,2.13623731049926,1.32625123995639
"pse...16",7.7258844813332,1.32718420773745,5.90303104323473,2.13675863836435,1.32515617793918
"pse...17",6.73083281842992,0.917893062811345,5.90303088442333,2.13636072116484,1.32562081788466
"pse...18",5.23195741698146,1.40102722961456,5.90303075777959,2.13681182851746,1.32601297539079
"pse...19",9.45216655964032,1.38236297573894,5.90303079799591,2.13641474521541,1.32641681844196
"pse...20",6.49237031349912,1.7811597827822,5.90303079768157,2.13632998362097,1.32631535823333
"pse...21",-4.79109353385866,1.33712569065392,5.90303078804719,2.13654102293901,1.32641719261118
"pse...22",-3.47238088957965,0.470226733479649,5.9030308112074,2.13694770593079,1.32604898522506
"pse...23",11.6549108549953,1.60290331766009,5.90303077503658,2.13646524587768,1.32635225748065
"pse...24",2.89283210411668,1.95403548283502,5.90303075657817,2.13644404592983,1.32621952754398
"pse...25",-5.15685097547248,1.61036005662754,5.90303086784175,2.13670833822438,1.32655828175304
"pse...26",-14.030538580846,0.896579755470157,5.90303078002991,2.13685945195587,1.32609994970558
"pse...27",-7.0580484601669,0.818535035476089,5.90303082616826,2.13676865036285,1.32555638320959
"pse...28",-9.16209599236026,1.08697502827272,5.90303079419701,2.13635711905551,1.3259172940633
"pse...29",13.0531110288575,1.54807522054762,5.90303085060167,2.13696348043992,1.32621921846211
"pse...30",14.9064975022338,1.6452516829595,5.90303078620263,2.13678849987221,1.32626361189266
"pse...31",-3.24883968103677,0.770498960278928,5.90303083845318,2.13676319575615,1.32645158826817
"pse...32",11.9741340028122,0.637706046923995,5.90303082827152,2.13678584276493,1.32555464361568
"pse...33",-8.73934552771971,1.12835434125736,5.90303087510482,2.13685962524701,1.32644624032267
"pse...34",-0.537466944660991,0.13022926542908,5.90303080539012,2.13693678983138,1.32581109786881
"pse...35",-7.16167943319306,0.660671283490956,5.90303080998273,2.13627303380858,1.32623128557569
"pse...36",-5.0830762507394,0.18470659153536,5.90303100463284,2.13712769507033,1.32634274775765
"pse...37",5.81980582326651,0.232979252003133,5.90303079670808,2.13634037578717,1.32632955103843
"pse...38",11.1179193668067,0.257341200485826,5.90303088441159,2.13704991512808,1.32562959213398
"pse...39",10.0613391492516,0.475383792072535,5.90303076972442,2.13670180865852,1.32628748738179
"pse...40",-1.48744178703055,1.66859723208472,5.90303079035869,2.13691397481299,1.32594061839711
"pse...41",4.97390852775425,1.08823836874217,5.90303076893288,2.13655749181579,1.32577243504872
"pse...42",4.86875790869817,1.74702454963699,5.90303080036779,2.13674461458525,1.32562710021345
"pse...43",5.05164217902347,0.427090503741056,5.90303077581195,2.13639733052166,1.32629353373537
"pse...44",-2.42776960367337,0.925551891792566,5.90303077923637,2.1366550604564,1.32569549220001
"pse...45",3.56426098616794,0.967452389188111,5.90303107202388,2.13589791740374,1.32619497508923
"pse...46",7.68813236150891,0.443223801441491,5.90303097725827,2.137120149249,1.32543654987632
"pse...47",14.7353828768246,1.95945909665897,5.90303078031631,2.13683952268344,1.32576994920536
"pse...48",10.7708918815479,0.483028418850154,5.9030307690668,2.13667440252503,1.32630533915631
"pse...49",3.93997715553269,1.48809128301218,5.90303081653642,2.13629902107395,1.32636593985351
"pse...50",8.23211068287492,1.34967308910564,5.90303083667886,2.13669869157306,1.32552619963902
"pse...51",7.40335321985185,1.94818443665281,5.90303078788159,2.13679454237849,1.32569036233031
"pse...52",-10.8701321901754,1.49083702685311,5.90303077950902,2.13675361039823,1.32627783564449
"pse...53",-4.91306316806003,1.29541683150455,5.90303076230318,2.13644853578811,1.32592455712201
"pse...54",11.4502522791736,0.856978599913418,5.90303084320798,2.1369895112586,1.32569560152135
"pse...55",13.3049145620316,0.505520246457309,5.90303078884825,2.13635880014181,1.32594471551773
"pse...56",14.6616448508576,1.8122444706969,5.90303083387514,2.13622369406448,1.3261018673099
"pse...57",-14.4168034312315,1.10677122045308,5.90303074190573,2.13669823536652,1.32612741690825
"pse...58",-4.75212800083682,1.26142082549632,5.9030307500109,2.13678151910883,1.32595601881801
"pse...59",3.54894902324304,1.8458823855035,5.90303075942512,2.13681262476879,1.3258982660061
"pse...60",7.70932551473379,0.504852851387113,5.90303075165884,2.13655064333664,1.32585948743336
"pse...61",10.1540609216318,0.877452055457979,5.90303094458047,2.13685365061459,1.32531654465872
"pse...62",-3.35457114502788,1.30771703599021,5.90303091253805,2.13670781575863,1.32664602299345
"pse...63",-14.1814183071256,0.772552878130227,5.90303084361101,2.13702486265782,1.32595605281321
"pse...64",-11.3923907722346,0.298589018173516,5.90303080802209,2.13685044111287,1.32626213559548
