"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,5.36304194071648,2.2628099294492,0.500010232718256
"pse...2",-10.1154731540009,0.792240034788847,5.36304201278416,2.26304885743378,0.499765386266457
"pse...3",-14.088248074986,0.241769740357995,5.36304197989499,2.26297356442964,0.499738470813952
"pse...4",-2.21503028646111,1.23571576131508,5.36304194291315,2.26282965150025,0.499816610652607
"pse...5",-7.10375221911818,0.952647742349654,5.36304197119563,2.26293382850216,0.500204810939242
"pse...6",10.8695699600503,0.297757264226675,5.36304208352575,2.26270518091223,0.499735312460527
"pse...7",-9.58709761267528,1.99854662409052,5.36304208558878,2.26303195646588,0.500329787029618
"pse...8",10.252235471271,0.285298119764775,5.36304203552186,2.26296457608043,0.500290147503094
"pse...9",-4.65454840566963,1.77925090771168,5.3630420523844,2.26287619808736,0.500283318795515
"pse...10",-5.40455113397911,1.41803166735917,5.36304198077283,2.26275570322296,0.499903620254857
"pse...11",3.8445515697822,0.87634513201192,5.36304192028784,2.26285199942245,0.499858852602467
"pse...12",-4.80311915511265,1.86618517432362,5.36304197062506,2.26283586025195,0.499749013845158
"pse...13",6.38863236643374,1.26170374592766,5.36304194662642,2.26301739542484,0.499844444357888
"pse...14",7.39348310278729,0.22290057502687,5.36304193471511,2.26303193738924,0.499913008759576
"pse...15",-6.80134454509243,0.197036178316921,5.36304198737357,2.26296632103451,0.499723172321688
"pse...16",7.7258844813332,1.32718420773745,5.36304196960834,2.26305692675136,0.49986265319348
"pse...17",6.73083281842992,0.917893062811345,5.36304204828827,2.26304947475041,0.500277260725901
"pse...18",5.23195741698146,1.40102722961456,5.36304193999591,2.26291018529778,0.499780059396773
"pse...19",9.45216655964032,1.38236297573894,5.36304192357229,2.26302484201253,0.500029634808136
"pse...20",6.49237031349912,1.7811597827822,5.36304192562691,2.26302472233572,0.499935898136338
"pse...21",-4.79109353385866,1.33712569065392,5.36304197585964,2.26276203549756,0.499964080458319
"pse...22",-3.47238088957965,0.470226733479649,5.36304205102458,2.26302611753969,0.499688711219696
"pse...23",11.6549108549953,1.60290331766009,5.36304196685151,2.26280329420844,0.500079011855202
"pse...24",2.89283210411668,1.95403548283502,5.36304190708149,2.26286056091941,0.499916494764882
"pse...25",-5.15685097547248,1.61036005662754,5.36304196896741,2.26292229734057,0.499732254665492
"pse...26",-14.030538580846,0.896579755470157,5.3630421179428,2.26265751046871,0.49982519512563
"pse...27",-7.0580484601669,0.818535035476089,5.36304195497535,2.26279863331526,0.499837283347728
