TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1065.65	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  976.57	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1128.07	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1542.29	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1690.63	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1176.40	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1323.46	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1121.59	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1162.75	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1347.51	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1082.26	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1243.66	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1027.42	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1095.26	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1313.54	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1022.49	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
real	HR	1	1	1	15	   10.00	1	   -8.00	0	0	 1111.52	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	DR	1	2	1	15	   10.00	1	   -8.00	0	0	 1010.89	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	FL	1	3	1	15	  -10.00	0	    8.00	0	0	  936.63	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
real	ER	1	4	1	-15	   10.00	1	   -8.00	0	0	  881.36	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	AR	1	5	1	-15	   10.00	1	   -8.00	0	0	  937.67	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	AL	1	6	1	-15	  -10.00	0	    8.00	0	0	  937.45	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	BR	1	7	1	15	   10.00	1	   -8.00	0	0	  845.15	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	DL	1	8	1	15	  -10.00	0	    8.00	0	0	  999.90	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	EL	1	9	1	-15	  -10.00	0	    8.00	0	0	 1038.83	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_-15.png
real	CL	1	10	1	-15	  -10.00	0	    8.00	0	0	 1186.26	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	GR	1	11	1	-15	   10.00	1	   -8.00	0	0	 1205.25	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	GL	1	12	1	-15	  -10.00	0	    8.00	0	0	 1244.11	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	FR	1	13	1	15	   10.00	1	   -8.00	0	0	 1294.31	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_15.png
real	HL	1	14	1	15	  -10.00	0	    8.00	0	0	 1051.30	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	CR	1	15	1	-15	   10.00	1	   -8.00	0	0	 1125.23	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	BL	1	16	1	15	  -10.00	0	    8.00	0	0	  953.35	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	DL	2	17	2	15	   -2.00	0	    8.00	0	0	 1239.12	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_645_15.png
real	EL	2	18	2	-15	   -2.00	0	    8.00	0	0	 1700.41	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_-15.png
real	AL	2	19	2	-15	   -2.00	0	    8.00	0	0	 1582.12	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_880_-15.png
real	HR	2	20	2	15	    2.00	1	   -8.00	0	0	 1164.20	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_15.png
real	BL	2	21	2	15	   -2.00	0	    8.00	0	0	  829.43	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_880_15.png
real	FR	2	22	2	15	    2.00	0	    4.00	1	1	 1014.71	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_410_15.png
real	FL	2	23	2	15	   -2.00	0	    8.00	0	0	  901.93	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_15.png
real	BR	2	24	2	15	    2.00	0	    4.00	1	1	 1035.37	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_15.png
real	AR	2	25	2	-15	    2.00	1	   -8.00	0	0	 1330.19	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_-15.png
real	ER	2	26	2	-15	    2.00	1	   -8.00	0	0	 1185.46	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_410_-15.png
real	CR	2	27	2	-15	    2.00	1	   -8.00	0	0	  911.23	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_645_-15.png
real	GR	2	28	2	-15	    2.00	1	   -8.00	0	0	 1198.58	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_-15.png
real	HL	2	29	2	15	   -2.00	0	    8.00	0	0	  830.72	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_15.png
