TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1178.89	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1073.44	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  776.67	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  776.67	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1077.49	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1081.76	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  915.86	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1425.85	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1377.65	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1211.17	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  895.98	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  748.43	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  997.45	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  751.76	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  857.91	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1414.96	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
real	CR	1	1	1	-15	   10.00	1	   -8.00	0	0	  949.55	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	DR	1	2	1	15	   10.00	1	   -8.00	0	0	 1167.91	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	ER	1	3	1	-15	   10.00	1	   -8.00	0	0	  969.27	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	EL	1	4	1	-15	  -10.00	0	    8.00	0	0	  973.47	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_-15.png
real	GL	1	5	1	-15	  -10.00	0	    8.00	0	0	  901.86	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	DL	1	6	1	15	  -10.00	0	    8.00	0	0	  731.90	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	HL	1	7	1	15	  -10.00	0	    8.00	0	0	 1096.33	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	BR	1	8	1	15	   10.00	1	   -8.00	0	0	  849.66	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	AL	1	9	1	-15	  -10.00	0	    8.00	0	0	 1010.54	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	BL	1	10	1	15	  -10.00	0	    8.00	0	0	  925.63	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	AR	1	11	1	-15	   10.00	1	   -8.00	0	0	 1065.54	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	FL	1	12	1	15	  -10.00	0	    8.00	0	0	  907.34	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
