TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 2146.82	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1221.88	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1110.89	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  998.21	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  921.22	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  896.58	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  896.58	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  806.20	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  774.34	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  699.56	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  702.77	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  764.99	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  699.05	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  802.48	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  767.69	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  695.29	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
real	DL	1	1	1	15	  -10.00	0	    8.00	0	0	 1238.89	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	DR	1	2	1	15	   10.00	1	   -8.00	0	0	  779.16	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	FR	1	3	1	15	   10.00	1	   -8.00	0	0	  929.83	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_15.png
real	BL	1	4	1	15	  -10.00	0	    8.00	0	0	  767.47	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	HR	1	5	1	15	   10.00	1	   -8.00	0	0	  628.01	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	CL	1	6	1	-15	  -10.00	0	    8.00	0	0	  745.29	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	AL	1	7	1	-15	  -10.00	0	    8.00	0	0	  789.55	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	HL	1	8	1	15	  -10.00	0	    8.00	0	0	  774.92	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	CR	1	9	1	-15	   10.00	1	   -8.00	0	0	  721.95	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	GR	1	10	1	-15	   10.00	1	   -8.00	0	0	  575.46	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	BR	1	11	1	15	   10.00	1	   -8.00	0	0	  644.44	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	ER	1	12	1	-15	   10.00	1	   -8.00	0	0	  729.40	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	AR	1	13	1	-15	   10.00	1	   -8.00	0	0	  642.31	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	EL	1	14	1	-15	  -10.00	0	    8.00	0	0	  639.33	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_-15.png
real	FL	1	15	1	15	  -10.00	0	    8.00	0	0	  868.74	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
real	GL	1	16	1	-15	  -10.00	0	    8.00	0	0	 1104.05	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	CR	2	17	2	-15	    2.00	1	   -8.00	0	0	  782.62	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_645_-15.png
real	BL	2	18	2	15	   -2.00	0	    8.00	0	0	  715.63	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_880_15.png
real	HL	2	19	2	15	   -2.00	0	    8.00	0	0	  766.42	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_15.png
real	GR	2	20	2	-15	    2.00	1	   -8.00	0	0	  814.98	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_-15.png
real	EL	2	21	2	-15	   -2.00	0	    8.00	0	0	  753.50	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_-15.png
real	FL	2	22	2	15	   -2.00	0	    8.00	0	0	  789.92	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_15.png
real	DR	2	23	2	15	    2.00	0	    4.00	1	1	 1171.67	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_645_15.png
real	AL	2	24	2	-15	   -2.00	0	    8.00	0	0	  882.90	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_880_-15.png
real	FR	2	25	2	15	    2.00	0	    4.00	1	1	  854.17	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_410_15.png
real	CL	2	26	2	-15	   -2.00	0	    8.00	0	0	  690.64	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_645_-15.png
real	HR	2	27	2	15	    2.00	1	   -8.00	0	0	 1227.58	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_15.png
real	ER	2	28	2	-15	    2.00	1	   -8.00	0	0	  947.91	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_410_-15.png
real	BR	2	29	2	15	    2.00	0	    4.00	1	1	 1236.06	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_15.png
real	DL	2	30	2	15	   -2.00	1	   -4.00	1	1	  833.82	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_645_15.png
real	AR	2	31	2	-15	    2.00	1	   -8.00	0	0	  830.11	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_-15.png
real	GL	2	32	2	-15	   -2.00	1	   -4.00	1	1	  945.85	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_-15.png
real	CL	3	33	3	-15	    6.00	1	   -4.00	1	1	  763.20	0	rod	rod	rod	rod	rod_sm_6.0.png	frame_645_-15.png
real	DL	3	34	3	15	   -6.00	0	    2.00	1	2	  813.96	0	rod	rod	rod	rod	rod_sm_-6.0.png	frame_645_15.png
real	BL	3	35	3	15	    6.00	1	   -4.00	1	1	  751.27	0	rod	rod	rod	rod	rod_sm_6.0.png	frame_880_15.png
real	FR	3	36	3	15	    6.00	1	   -2.00	1	2	  561.83	0	rod	rod	rod	rod	rod_sm_6.0.png	frame_410_15.png
real	DR	3	37	3	15	    6.00	1	   -2.00	1	2	  595.80	0	rod	rod	rod	rod	rod_sm_6.0.png	frame_645_15.png
real	EL	3	38	3	-15	    6.00	1	   -4.00	1	1	  681.64	0	rod	rod	rod	rod	rod_sm_6.0.png	frame_410_-15.png
real	AL	3	39	3	-15	    6.00	1	   -4.00	1	1	  762.23	0	rod	rod	rod	rod	rod_sm_6.0.png	frame_880_-15.png
real	CR	3	40	3	-15	   -6.00	0	    4.00	1	1	  736.75	0	rod	rod	rod	rod	rod_sm_-6.0.png	frame_645_-15.png
real	ER	3	41	3	-15	   -6.00	0	    4.00	1	1	  800.04	0	rod	rod	rod	rod	rod_sm_-6.0.png	frame_410_-15.png
real	FL	3	42	3	15	    6.00	1	   -4.00	1	1	  751.37	0	rod	rod	rod	rod	rod_sm_6.0.png	frame_410_15.png
real	GL	3	43	3	-15	   -6.00	0	    2.00	1	2	  764.23	0	rod	rod	rod	rod	rod_sm_-6.0.png	frame_175_-15.png
real	GR	3	44	3	-15	   -6.00	0	    4.00	1	1	  792.12	0	rod	rod	rod	rod	rod_sm_-6.0.png	frame_175_-15.png
real	HL	3	45	3	15	    6.00	1	   -4.00	1	1	  831.10	0	rod	rod	rod	rod	rod_sm_6.0.png	frame_175_15.png
real	AR	3	46	3	-15	   -6.00	0	    4.00	1	1	  725.26	0	rod	rod	rod	rod	rod_sm_-6.0.png	frame_880_-15.png
real	BR	3	47	3	15	    6.00	1	   -2.00	1	2	  653.25	0	rod	rod	rod	rod	rod_sm_6.0.png	frame_880_15.png
real	HR	3	48	3	15	   -6.00	0	    4.00	1	1	  686.24	0	rod	rod	rod	rod	rod_sm_-6.0.png	frame_175_15.png
real	DL	4	49	4	15	   -4.00	0	    2.00	0	2	  675.20	0	rod	rod	rod	rod	rod_sm_-4.0.png	frame_645_15.png
real	GR	4	50	4	-15	   -2.00	1	   -2.00	1	2	  767.96	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_-15.png
real	FR	4	51	4	15	    4.00	1	   -2.00	0	2	  719.06	0	rod	rod	rod	rod	rod_sm_4.0.png	frame_410_15.png
real	GL	4	52	4	-15	   -4.00	0	    2.00	0	2	  820.42	0	rod	rod	rod	rod	rod_sm_-4.0.png	frame_175_-15.png
real	CL	4	53	4	-15	    2.00	1	   -4.00	0	1	  996.80	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_645_-15.png
real	DR	4	54	4	15	    4.00	1	   -2.00	0	2	  737.96	0	rod	rod	rod	rod	rod_sm_4.0.png	frame_645_15.png
real	CR	4	55	4	-15	   -2.00	0	    4.00	0	1	 1385.91	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_645_-15.png
real	BR	4	56	4	15	    4.00	1	   -2.00	0	2	  767.75	0	rod	rod	rod	rod	rod_sm_4.0.png	frame_880_15.png
real	ER	4	57	4	-15	   -2.00	0	    4.00	0	1	  918.75	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_-15.png
real	AL	4	58	4	-15	    2.00	1	   -4.00	0	1	 1180.29	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_-15.png
real	HL	4	59	4	15	    2.00	1	   -4.00	0	1	  955.46	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_15.png
real	FL	4	60	4	15	    2.00	1	   -4.00	0	1	  958.31	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_410_15.png
