TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  855.78	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  496.96	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  771.31	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  918.28	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  769.30	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  823.90	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  793.99	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  758.98	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  684.23	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  820.38	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  667.61	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  774.55	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  747.34	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  724.05	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  677.16	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  680.34	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
real	GR	1	1	1	-15	   10.00	1	   -8.00	0	0	  546.36	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	FL	1	2	1	15	  -10.00	0	    8.00	0	0	  743.02	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
real	BR	1	3	1	15	   10.00	1	   -8.00	0	0	  720.99	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	CL	1	4	1	-15	  -10.00	0	    8.00	0	0	  554.14	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	AL	1	5	1	-15	  -10.00	0	    8.00	0	0	  697.68	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	GL	1	6	1	-15	  -10.00	0	    8.00	0	0	  707.24	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	DR	1	7	1	15	   10.00	1	   -8.00	0	0	  623.26	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	ER	1	8	1	-15	   10.00	1	   -8.00	0	0	  553.53	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	CR	1	9	1	-15	   10.00	1	   -8.00	0	0	  653.58	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	DL	1	10	1	15	  -10.00	0	    8.00	0	0	  673.19	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	HL	1	11	1	15	  -10.00	0	    8.00	0	0	  697.25	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	HR	1	12	1	15	   10.00	1	   -8.00	0	0	  632.33	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	BL	1	13	1	15	  -10.00	0	    8.00	0	0	  458.68	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	AR	1	14	1	-15	   10.00	1	   -8.00	0	0	  612.81	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
