TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	NULL	    0.00	NULL	NULL	    0.00	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	NULL	    0.00	NULL	NULL	    0.00	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	NULL	    0.00	NULL	NULL	    0.00	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	NULL	    0.00	NULL	NULL	    0.00	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  466.62	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  455.93	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  446.68	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  437.08	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  663.53	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  453.44	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  435.72	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  447.49	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  447.49	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  447.88	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  447.88	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  463.80	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
real	FL	1	1	1	15	  -10.00	0	    8.00	0	0	  467.74	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
real	GR	1	2	1	-15	   10.00	1	   -8.00	0	0	  481.63	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	ER	1	3	1	-15	   10.00	1	   -8.00	0	0	  480.20	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	GL	1	4	1	-15	  -10.00	0	    8.00	0	0	  493.37	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	DR	1	5	1	15	   10.00	1	   -8.00	0	0	  479.84	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	BL	1	6	1	15	  -10.00	0	    8.00	0	0	  615.19	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	CR	1	7	1	-15	   10.00	1	   -8.00	0	0	  620.87	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	BR	1	8	1	15	   10.00	1	   -8.00	0	0	  484.62	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	DL	1	9	1	15	  -10.00	0	    8.00	0	0	  452.79	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	HL	1	10	1	15	  -10.00	0	    8.00	0	0	  526.84	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	HR	1	11	1	15	   10.00	1	   -8.00	0	0	  485.37	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	AL	1	12	1	-15	  -10.00	1	   -8.00	0	0	  484.23	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	FR	1	13	1	15	   10.00	1	   -8.00	0	0	  530.64	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_15.png
real	EL	1	14	1	-15	  -10.00	0	    8.00	0	0	  480.14	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_-15.png
real	CL	1	15	1	-15	  -10.00	0	    8.00	0	0	  503.36	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	AR	1	16	1	-15	   10.00	1	   -8.00	0	0	  520.73	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	ER	2	17	2	-15	    2.00	1	   -8.00	0	0	  529.53	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_410_-15.png
real	HR	2	18	2	15	    2.00	1	   -8.00	0	0	  572.47	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_15.png
real	FL	2	19	2	15	   -2.00	0	    8.00	0	0	  515.63	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_15.png
real	HL	2	20	2	15	   -2.00	0	    8.00	0	0	  506.15	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_15.png
real	GL	2	21	2	-15	   -2.00	1	   -4.00	1	1	  533.59	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_-15.png
real	BL	2	22	2	15	   -2.00	0	    8.00	0	0	  489.51	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_880_15.png
real	CR	2	23	2	-15	    2.00	1	   -8.00	0	0	  535.00	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_645_-15.png
real	BR	2	24	2	15	    2.00	1	   -8.00	0	0	  509.89	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_15.png
real	EL	2	25	2	-15	   -2.00	1	   -4.00	1	1	  520.52	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_-15.png
real	GR	2	26	2	-15	    2.00	1	   -8.00	0	0	  554.99	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_-15.png
real	DL	2	27	2	15	   -2.00	0	    8.00	0	0	  473.12	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_645_15.png
real	CL	2	28	2	-15	   -2.00	0	    8.00	0	0	  510.18	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_645_-15.png
real	AR	2	29	2	-15	    2.00	1	   -8.00	0	0	  510.66	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_-15.png
