TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	NULL	    0.00	NULL	NULL	    0.00	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	NULL	    0.00	NULL	NULL	    0.00	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1928.42	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1928.42	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1174.46	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1058.53	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 2309.88	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1148.16	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 2076.17	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1438.77	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1665.18	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1705.67	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1340.54	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1496.50	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	 1369.21	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 2161.22	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
real	EL	1	1	1	-15	  -10.00	0	    8.00	0	0	 1806.64	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_-15.png
real	GL	1	2	1	-15	  -10.00	0	    8.00	0	0	 1356.50	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	GR	1	3	1	-15	   10.00	1	   -8.00	0	0	 1490.41	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	AL	1	4	1	-15	  -10.00	0	    8.00	0	0	 1268.91	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	BR	1	5	1	15	   10.00	1	   -8.00	0	0	 1492.08	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	HR	1	6	1	15	   10.00	1	   -8.00	0	0	 1618.40	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	HL	1	7	1	15	  -10.00	0	    8.00	0	0	 1436.08	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	DR	1	8	1	15	   10.00	1	   -8.00	0	0	 1376.09	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	AR	1	9	1	-15	   10.00	1	   -8.00	0	0	 1176.13	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	FR	1	10	1	15	   10.00	1	   -8.00	0	0	 1953.48	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_15.png
real	DL	1	11	1	15	  -10.00	0	    8.00	0	0	  822.74	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	BL	1	12	1	15	  -10.00	0	    8.00	0	0	  651.42	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	ER	1	13	1	-15	   10.00	1	   -8.00	0	0	  648.47	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	CR	1	14	1	-15	   10.00	1	   -8.00	0	0	  627.47	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	CL	1	15	1	-15	  -10.00	0	    8.00	0	0	  965.47	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	FL	1	16	1	15	  -10.00	0	    8.00	0	0	  865.52	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
real	GR	2	17	2	-15	    2.00	1	   -8.00	0	0	  930.37	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_-15.png
real	FL	2	18	2	15	   -2.00	0	    8.00	0	0	 1118.51	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_15.png
real	CR	2	19	2	-15	    2.00	1	   -8.00	0	0	 1174.40	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_645_-15.png
real	EL	2	20	2	-15	   -2.00	1	   -4.00	1	1	 1771.95	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_-15.png
real	AR	2	21	2	-15	    2.00	1	   -8.00	0	0	 1101.77	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_-15.png
real	HR	2	22	2	15	    2.00	1	   -8.00	0	0	 1348.30	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_15.png
real	GL	2	23	2	-15	   -2.00	0	    8.00	0	0	 1302.69	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_-15.png
real	CL	2	24	2	-15	   -2.00	0	    8.00	0	0	 1695.25	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_645_-15.png
real	BR	2	25	2	15	    2.00	0	    4.00	1	1	 1219.68	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_15.png
real	ER	2	26	2	-15	    2.00	1	   -8.00	0	0	 1465.42	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_410_-15.png
