TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1070.69	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1070.69	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1070.69	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1070.69	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  828.83	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	 1375.89	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  970.66	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  962.80	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  833.39	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  978.41	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  839.51	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  761.85	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  818.97	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  548.87	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  660.84	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  596.60	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
real	ER	1	1	1	-15	   10.00	1	   -8.00	0	0	  570.29	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	GR	1	2	1	-15	   10.00	1	   -8.00	0	0	  861.59	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	HR	1	3	1	15	   10.00	1	   -8.00	0	0	  764.75	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	DL	1	4	1	15	  -10.00	0	    8.00	0	0	  863.85	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	GL	1	5	1	-15	  -10.00	0	    8.00	0	0	  854.33	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	AL	1	6	1	-15	  -10.00	0	    8.00	0	0	  798.48	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	BL	1	7	1	15	  -10.00	0	    8.00	0	0	  505.03	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	FL	1	8	1	15	  -10.00	0	    8.00	0	0	  702.59	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
real	CL	1	9	1	-15	  -10.00	0	    8.00	0	0	  607.11	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	EL	1	10	1	-15	  -10.00	0	    8.00	0	0	  839.16	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_-15.png
real	DR	1	11	1	15	   10.00	1	   -8.00	0	0	  670.15	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	AR	1	12	1	-15	   10.00	1	   -8.00	0	0	  716.92	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	HL	1	13	1	15	  -10.00	0	    8.00	0	0	  782.41	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	FR	1	14	1	15	   10.00	1	   -8.00	0	0	  792.20	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_15.png
real	BR	1	15	1	15	   10.00	1	   -8.00	0	0	  556.21	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	CR	1	16	1	-15	   10.00	1	   -8.00	0	0	  654.72	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	HL	2	17	2	15	   -2.00	0	    8.00	0	0	  896.92	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_15.png
real	GL	2	18	2	-15	   -2.00	1	   -4.00	1	1	 1021.40	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_175_-15.png
real	HR	2	19	2	15	    2.00	0	    4.00	1	1	 1528.97	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_15.png
