TRIAL_TYPE	trial_variant	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	stim_type	trial_stim	stim_type_1	trial_type_1	imageName	FRAME_NAME
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  702.65	0	rod	null	rod	rod	rod_sm_2.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  426.81	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  509.56	0	rod	null	rod	rod	rod_sm_-6.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  503.20	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  602.18	0	rod	null	rod	rod	rod_sm_4.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  429.46	0	rod	null	rod	rod	rod_sm_2.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  622.53	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_410_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  452.45	0	rod	null	rod	rod	rod_sm_8.0.png	frame_175_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  474.65	0	rod	null	rod	rod	rod_sm_6.0.png	frame_880_-15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  622.20	0	rod	null	rod	rod	rod_sm_4.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  467.34	0	rod	null	rod	rod	rod_sm_6.0.png	frame_175_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  591.84	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_645_15.png
practice	HR	0	0	0	15	    0.00	1	    0.00	NULL	NULL	  413.04	0	rod	null	rod	rod	rod_sm_8.0.png	frame_880_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  514.56	0	rod	null	rod	rod	rod_sm_-2.0.png	frame_410_15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  542.29	0	rod	null	rod	rod	rod_sm_-4.0.png	frame_645_-15.png
practice	HR	0	0	0	15	    0.00	0	    0.00	NULL	NULL	  514.74	0	rod	null	rod	rod	rod_sm_-8.0.png	frame_175_-15.png
real	HR	1	1	1	15	   10.00	1	   -8.00	0	0	  549.11	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_15.png
real	CR	1	2	1	-15	   10.00	1	   -8.00	0	0	  615.43	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_-15.png
real	AL	1	3	1	-15	  -10.00	0	    8.00	0	0	  694.35	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_-15.png
real	HL	1	4	1	15	  -10.00	0	    8.00	0	0	  543.60	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_15.png
real	FL	1	5	1	15	  -10.00	0	    8.00	0	0	  516.77	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_15.png
real	DR	1	6	1	15	   10.00	1	   -8.00	0	0	  538.44	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_645_15.png
real	CL	1	7	1	-15	  -10.00	0	    8.00	0	0	  504.78	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_-15.png
real	BR	1	8	1	15	   10.00	1	   -8.00	0	0	  577.79	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_15.png
real	FR	1	9	1	15	   10.00	1	   -8.00	0	0	  721.38	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_15.png
real	DL	1	10	1	15	  -10.00	0	    8.00	0	0	  537.62	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_645_15.png
real	ER	1	11	1	-15	   10.00	1	   -8.00	0	0	  512.80	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_410_-15.png
real	EL	1	12	1	-15	  -10.00	0	    8.00	0	0	  512.47	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_410_-15.png
real	GL	1	13	1	-15	  -10.00	0	    8.00	0	0	  501.11	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_175_-15.png
real	GR	1	14	1	-15	   10.00	1	   -8.00	0	0	  773.88	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_175_-15.png
real	AR	1	15	1	-15	   10.00	1	   -8.00	0	0	  610.18	0	rod	rod	rod	rod	rod_sm_10.0.png	frame_880_-15.png
real	BL	1	16	1	15	  -10.00	0	    8.00	0	0	  484.56	0	rod	rod	rod	rod	rod_sm_-10.0.png	frame_880_15.png
real	DR	2	17	2	15	    2.00	1	   -8.00	0	0	  725.83	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_645_15.png
real	HR	2	18	2	15	    2.00	1	   -8.00	0	0	  758.30	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_15.png
real	CL	2	19	2	-15	   -2.00	0	    8.00	0	0	  634.36	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_645_-15.png
real	FL	2	20	2	15	   -2.00	0	    8.00	0	0	  545.65	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_15.png
real	BL	2	21	2	15	   -2.00	0	    8.00	0	0	  569.86	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_880_15.png
real	GR	2	22	2	-15	    2.00	1	   -8.00	0	0	  757.26	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_175_-15.png
real	EL	2	23	2	-15	   -2.00	1	   -4.00	1	1	  712.82	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_410_-15.png
real	AL	2	24	2	-15	   -2.00	1	   -4.00	1	1	  648.72	0	rod	rod	rod	rod	rod_sm_-2.0.png	frame_880_-15.png
real	AR	2	25	2	-15	    2.00	1	   -8.00	0	0	  549.12	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_880_-15.png
real	CR	2	26	2	-15	    2.00	1	   -8.00	0	0	  495.60	0	rod	rod	rod	rod	rod_sm_2.0.png	frame_645_-15.png
