Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
r30418sf	1	True	practice	1	1	abort	-15	410	frame_410_-15.png	z_long_rod_5.jpg	0	  956.90	  831.70	    0.00	0
r30418sf	2	True	practice	1	2	timed_out	15	645	frame_645_15.png	z_long_rod_-5.jpg	0	  976.80	  822.00	    0.00	0
r30418sf	3	True	practice	1	3	abort	-15	175	frame_175_-15.png	z_long_rod_1.jpg	0	  960.90	  831.00	    0.00	0
r30418sf	4	True	practice	1	4	abort	-15	645	frame_645_-15.png	z_long_rod_1.jpg	0	  954.70	  830.30	    0.00	0
r30418sf	5	True	practice	1	5	timed_out	-15	880	frame_880_-15.png	z_long_rod_1.jpg	0	  950.90	  717.00	    0.00	0
r30418sf	6	True	practice	1	6	timed_out	15	410	frame_410_15.png	z_long_rod_3.jpg	0	  957.70	  717.90	    0.00	0
r30418sf	7	True	practice	1	7	timed_out	-15	645	frame_645_-15.png	z_long_rod_1.jpg	0	  942.10	  715.60	    0.00	0
r30418sf	8	True	practice	1	8	timed_out	15	645	frame_645_15.png	z_long_rod_-5.jpg	0	  947.30	  844.50	    0.00	0
r30418sf	9	True	practice	1	9	abort	15	175	frame_175_15.png	z_long_rod_-1.jpg	0	  958.50	  828.00	    0.00	0
r30418sf	10	False	practice	1	10	good	-15	410	frame_410_-15.png	z_long_rod_5.jpg	0	  969.10	  711.70	  152.57	  968.75
r30418sf	11	True	practice	1	11	abort	15	410	frame_410_15.png	z_long_rod_3.jpg	0	  957.40	  826.60	  152.57	0
r30418sf	12	True	practice	1	12	abort	-15	880	frame_880_-15.png	z_long_rod_5.jpg	0	  953.80	  805.80	  152.57	0
r30418sf	13	True	practice	1	13	abort	15	645	frame_645_15.png	z_long_rod_-5.jpg	0	  950.00	  832.40	  152.57	0
r30418sf	14	True	practice	1	14	abort	-15	175	frame_175_-15.png	z_long_rod_1.jpg	0	  954.90	  828.60	  152.57	0
r30418sf	15	True	practice	1	15	abort	-15	880	frame_880_-15.png	z_long_rod_5.jpg	0	  954.20	  826.30	  152.57	0
r30418sf	16	True	practice	1	16	abort	-15	880	frame_880_-15.png	z_long_rod_1.jpg	0	  949.20	  831.50	  152.57	0
r30418sf	17	True	practice	1	17	abort	-15	175	frame_175_-15.png	z_long_rod_5.jpg	0	  947.10	  825.60	  152.57	0
r30418sf	18	True	practice	1	18	timed_out	15	645	frame_645_15.png	z_long_rod_-1.jpg	0	  929.20	  710.10	  152.57	0
r30418sf	19	True	practice	1	19	timed_out	15	880	frame_880_15.png	z_long_rod_-1.jpg	0	  944.90	  848.40	  152.57	0
r30418sf	20	True	practice	1	20	abort	15	645	frame_645_15.png	z_long_rod_-5.jpg	0	  941.10	  837.50	  152.57	0
r30418sf	21	True	practice	1	21	abort	15	645	frame_645_15.png	z_long_rod_-1.jpg	0	  948.40	  820.20	  152.57	0
r30418sf	22	True	practice	1	22	abort	15	880	frame_880_15.png	z_long_rod_3.jpg	0	  955.40	  829.00	  152.57	0
r30418sf	23	True	practice	1	23	abort	-15	880	frame_880_-15.png	z_long_rod_5.jpg	0	  955.70	  831.90	  152.57	0
r30418sf	24	True	practice	1	24	abort	15	410	frame_410_15.png	z_long_rod_3.jpg	0	  938.90	  839.00	  152.57	0
r30418sf	25	True	practice	1	25	timed_out	-15	175	frame_175_-15.png	z_long_rod_5.jpg	0	  923.70	  714.90	  152.57	0
r30418sf	26	True	practice	1	26	timed_out	-15	410	frame_410_-15.png	z_long_rod_-3.jpg	0	  934.70	  710.50	  152.57	0
r30418sf	27	True	practice	1	27	abort	15	410	frame_410_15.png	z_long_rod_3.jpg	0	  950.20	  816.80	  152.57	0
r30418sf	28	True	practice	1	28	abort	-15	645	frame_645_-15.png	z_long_rod_-3.jpg	0	  964.60	  830.70	  152.57	0
r30418sf	29	False	practice	1	29	good	15	645	frame_645_15.png	z_long_rod_-5.jpg	0	  883.90	  724.30	  159.13	 1692.97
r30418sf	30	True	practice	1	30	timed_out	15	880	frame_880_15.png	z_long_rod_-1.jpg	0	  940.60	  716.00	  159.13	0
r30418sf	31	True	practice	1	31	abort	15	880	frame_880_15.png	z_long_rod_3.jpg	0	  959.70	  815.60	  159.13	0
r30418sf	32	False	practice	1	32	good	-15	175	frame_175_-15.png	z_long_rod_5.jpg	0	  952.70	  719.20	  144.98	 1180.08
r30418sf	33	True	practice	1	33	abort	-15	645	frame_645_-15.png	z_long_rod_1.jpg	0	  944.30	  830.80	  144.98	0
r30418sf	34	False	practice	1	34	good	15	880	frame_880_15.png	z_long_rod_3.jpg	0	  958.50	  705.40	  158.61	  857.17
r30418sf	35	False	practice	1	35	good	15	410	frame_410_15.png	z_long_rod_-5.jpg	0	  905.50	  714.40	  159.12	 1078.93
r30418sf	36	False	practice	1	36	good	-15	645	frame_645_-15.png	z_long_rod_-3.jpg	0	  924.00	  723.00	  145.52	  637.07
r30418sf	37	False	practice	1	37	good	15	410	frame_410_15.png	z_long_rod_3.jpg	0	  963.00	  710.60	  153.43	  721.02
r30418sf	38	False	practice	1	38	good	-15	880	frame_880_-15.png	z_long_rod_1.jpg	0	  959.30	  715.90	  148.10	  610.82
r30418sf	39	True	practice	1	39	abort	-15	645	frame_645_-15.png	z_long_rod_1.jpg	0	  956.70	  828.30	  148.10	0
r30418sf	40	False	practice	1	40	good	15	880	frame_880_15.png	z_long_rod_-1.jpg	0	  935.80	  720.30	  145.72	  868.22
r30418sf	41	False	practice	1	41	good	15	645	frame_645_15.png	z_long_rod_-1.jpg	0	  936.90	  717.60	  148.21	 1180.96
r30418sf	42	True	practice	1	42	abort	-15	880	frame_880_-15.png	z_long_rod_5.jpg	0	  959.10	  816.90	  148.21	0
r30418sf	43	True	practice	1	43	abort	-15	175	frame_175_-15.png	z_long_rod_1.jpg	0	  953.00	  831.90	  148.21	0
r30418sf	44	False	practice	1	44	good	-15	645	frame_645_-15.png	z_long_rod_1.jpg	0	  955.70	  707.70	  156.36	 1025.25
r30418sf	45	False	practice	1	45	good	-15	880	frame_880_-15.png	z_long_rod_5.jpg	0	  963.60	  712.80	  151.24	 1104.31
r30418sf	46	True	practice	1	46	abort	15	175	frame_175_15.png	z_long_rod_3.jpg	0	  953.30	  829.60	  151.24	0
r30418sf	47	False	practice	1	47	good	-15	175	frame_175_-15.png	z_long_rod_1.jpg	0	  946.10	  711.60	  153.03	 1071.08
r30418sf	48	False	practice	1	48	good	15	175	frame_175_15.png	z_long_rod_-1.jpg	0	  938.70	  723.90	  141.71	  935.95
r30418sf	49	True	practice	1	49	abort	-15	410	frame_410_-15.png	z_long_rod_-3.jpg	0	  946.80	  832.90	  141.71	0
r30418sf	50	False	practice	1	50	good	15	175	frame_175_15.png	z_long_rod_3.jpg	0	  954.30	  736.80	  127.33	  862.13
