Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
30301av	1	True	practice	1	1	abort	-15	410	frame_410_-15.png	black.jpg	0	  941.20	  898.40	    0.00	0
30301av	2	True	practice	1	2	timed_out	-15	880	frame_880_-15.png	black.jpg	0	  949.70	  834.00	    0.00	0
30301av	3	True	practice	1	3	timed_out	-15	645	frame_645_-15.png	black.jpg	0	  954.20	  848.70	    0.00	0
30301av	4	True	practice	1	4	abort	-15	645	frame_645_-15.png	black.jpg	0	  937.70	  837.70	    0.00	0
30301av	5	False	practice	1	5	good	15	410	frame_410_15.png	black.jpg	0	  941.30	  703.50	  161.59	 1064.36
30301av	6	True	practice	1	6	abort	-15	410	frame_410_-15.png	black.jpg	0	  934.40	  897.30	  161.59	0
30301av	7	False	practice	1	7	good	15	880	frame_880_15.png	black.jpg	0	  952.00	  703.00	  161.20	  748.57
30301av	8	False	practice	1	8	good	-15	175	frame_175_-15.png	black.jpg	0	  956.30	  692.30	  171.74	  498.18
30301av	9	True	practice	1	9	abort	-15	880	frame_880_-15.png	black.jpg	0	  954.30	  832.40	  171.74	0
30301av	10	True	practice	1	10	abort	-15	410	frame_410_-15.png	black.jpg	0	  933.60	  832.60	  171.74	0
30301av	11	True	practice	1	11	abort	-15	880	frame_880_-15.png	black.jpg	0	  938.90	  888.40	  171.74	0
30301av	12	True	practice	1	12	abort	15	410	frame_410_15.png	black.jpg	0	  942.80	  891.00	  171.74	0
30301av	13	True	practice	1	13	abort	-15	880	frame_880_-15.png	black.jpg	0	  936.20	  896.20	  171.74	0
30301av	14	True	practice	1	14	abort	-15	410	frame_410_-15.png	black.jpg	0	  935.70	  841.30	  171.74	0
30301av	15	False	practice	1	15	good	15	410	frame_410_15.png	black.jpg	0	  936.20	  697.80	  167.90	 1168.67
30301av	16	False	practice	1	16	good	-15	410	frame_410_-15.png	black.jpg	0	  933.90	  703.80	  162.31	  714.49
30301av	17	True	practice	1	17	abort	15	175	frame_175_15.png	black.jpg	0	  949.60	  830.50	  162.31	0
30301av	18	False	practice	1	18	good	15	645	frame_645_15.png	black.jpg	0	  947.10	  696.60	  167.81	  744.23
30301av	19	False	practice	1	19	good	-15	880	frame_880_-15.png	black.jpg	0	  945.10	  693.90	  170.75	  926.46
30301av	20	False	practice	1	20	good	15	175	frame_175_15.png	black.jpg	0	  949.40	  695.60	  168.73	  958.07
30301av	21	False	practice	1	21	good	15	645	frame_645_15.png	black.jpg	0	  945.00	  699.70	  164.98	  856.59
30301av	22	False	practice	1	22	good	-15	645	frame_645_-15.png	black.jpg	0	  927.40	  703.60	  163.68	  973.72
30301av	23	False	practice	1	23	good	15	175	frame_175_15.png	black.jpg	0	  937.60	  712.60	  153.05	  654.16
30301av	24	False	practice	1	24	good	-15	175	frame_175_-15.png	black.jpg	0	  932.30	  694.70	  171.55	  518.34
30301av	25	False	practice	1	25	good	-15	410	frame_410_-15.png	black.jpg	0	  930.40	  706.30	  160.45	  768.85
30301av	26	False	practice	1	26	good	15	880	frame_880_15.png	black.jpg	0	  934.10	  714.40	  151.83	  893.58
30301av	27	False	practice	1	27	good	-15	645	frame_645_-15.png	black.jpg	0	  951.40	  705.20	  159.03	  654.56
30301av	28	False	practice	1	28	good	-15	880	frame_880_-15.png	black.jpg	0	  934.20	  704.10	  161.97	  744.41
30301av	29	True	real	1	1	abort	-15	645	frame_645_-15.png	black.jpg	0	  956.10	  829.00	  161.97	0
30301av	30	False	real	1	2	good	-15	880	frame_880_-15.png	black.jpg	0	  940.60	  690.00	  175.08	  648.95
30301av	31	True	real	1	3	abort	-15	410	frame_410_-15.png	black.jpg	0	  952.00	  832.40	  175.08	0
30301av	32	False	real	1	4	good	15	880	frame_880_15.png	black.jpg	0	  942.30	  685.20	  179.67	  833.95
30301av	33	False	real	1	5	good	-15	645	frame_645_-15.png	black.jpg	0	  944.10	  682.90	  181.80	  707.09
30301av	34	True	real	1	6	timed_out	15	645	frame_645_15.png	black.jpg	0	  964.40	  705.00	  187.50	0
30301av	35	False	real	1	7	good	15	175	frame_175_15.png	black.jpg	0	  945.40	  695.50	  169.13	  760.96
30301av	36	False	real	1	8	good	-15	410	frame_410_-15.png	black.jpg	0	  958.40	  694.70	  169.31	  830.85
30301av	37	True	real	1	9	abort	15	645	frame_645_15.png	black.jpg	0	  961.10	  830.10	  169.31	0
30301av	38	False	real	1	10	good	15	410	frame_410_15.png	black.jpg	0	  961.40	  693.20	  170.81	  686.11
30301av	39	False	real	1	11	good	15	645	frame_645_15.png	black.jpg	0	  965.70	  686.90	  177.19	  637.02
30301av	40	True	real	1	12	abort	-15	175	frame_175_-15.png	black.jpg	0	  950.90	  831.60	  177.19	0
30301av	41	True	real	1	13	abort	-15	175	frame_175_-15.png	black.jpg	0	  948.50	  834.10	  177.19	0
30301av	42	False	real	1	14	good	-15	175	frame_175_-15.png	black.jpg	0	  943.30	  688.00	  176.79	  845.98
30301av	43	True	real	2	15	abort	15	410	frame_410_15.png	black.jpg	0	  949.40	  833.80	  176.79	0
30301av	44	True	real	2	16	abort	-15	410	frame_410_-15.png	black.jpg	0	  943.30	  826.80	  176.79	0
30301av	45	True	real	2	17	abort	15	645	frame_645_15.png	black.jpg	0	  949.10	  833.90	  176.79	0
30301av	46	False	real	2	18	good	-15	880	frame_880_-15.png	black.jpg	0	  947.40	  698.00	  166.48	 1047.14
30301av	47	True	real	2	19	timed_out	15	410	frame_410_15.png	black.jpg	0	  949.80	  691.20	  185.43	0
30301av	48	False	real	2	20	good	15	175	frame_175_15.png	black.jpg	0	  959.70	  682.70	  181.30	  759.14
30301av	49	True	real	2	21	abort	-15	175	frame_175_-15.png	black.jpg	0	  942.40	  837.20	  181.30	0
30301av	50	True	real	2	22	timed_out	-15	645	frame_645_-15.png	black.jpg	0	  945.50	  847.10	  182.65	0
30301av	51	False	real	2	23	good	-15	410	frame_410_-15.png	black.jpg	0	  939.60	  692.70	  172.51	  847.10
