Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v30303nm	1	False	practice	1	1	good	-15	175	frame_175_-15.png	black.jpg	0	  955.60	  746.00	  118.10	 1530.83
v30303nm	2	False	practice	1	2	good	-15	410	frame_410_-15.png	black.jpg	0	  952.80	  722.90	  141.28	  782.73
v30303nm	3	False	practice	1	3	good	15	880	frame_880_15.png	black.jpg	0	  961.50	  728.90	  135.11	  888.53
v30303nm	4	False	practice	1	4	good	-15	645	frame_645_-15.png	black.jpg	0	  952.40	  731.10	  133.12	  717.24
v30303nm	5	False	practice	1	5	good	15	645	frame_645_15.png	black.jpg	0	  962.00	  730.80	  133.22	  670.42
v30303nm	6	False	practice	1	6	good	-15	880	frame_880_-15.png	black.jpg	0	  958.10	  730.70	  133.31	  622.57
v30303nm	7	False	practice	1	7	good	-15	880	frame_880_-15.png	black.jpg	0	  962.80	  741.30	  122.73	  615.30
v30303nm	8	False	practice	1	8	good	15	645	frame_645_15.png	black.jpg	0	  958.90	  735.70	  128.30	  538.06
v30303nm	9	False	practice	1	9	good	-15	410	frame_410_-15.png	black.jpg	0	  952.20	  739.90	  124.34	  616.20
v30303nm	10	False	practice	1	10	good	15	175	frame_175_15.png	black.jpg	0	  953.30	  735.30	  129.46	  593.73
v30303nm	11	False	practice	1	11	good	15	410	frame_410_15.png	black.jpg	0	  956.00	  728.70	  135.36	  670.16
v30303nm	12	False	practice	1	12	good	15	175	frame_175_15.png	black.jpg	0	  952.80	  723.90	  140.28	  714.98
v30303nm	13	False	practice	1	13	good	-15	175	frame_175_-15.png	black.jpg	0	  951.40	  741.10	  123.20	  604.25
v30303nm	14	False	practice	1	14	good	15	410	frame_410_15.png	black.jpg	0	  953.10	  729.60	  134.58	  681.40
v30303nm	15	False	practice	1	15	good	15	880	frame_880_15.png	black.jpg	0	  953.10	  725.40	  138.77	  572.42
v30303nm	16	False	practice	1	16	good	-15	645	frame_645_-15.png	black.jpg	0	  950.00	  721.00	  143.35	  561.73
v30303nm	17	False	real	1	1	good	15	880	frame_880_15.png	black.jpg	0	  960.90	  721.50	  142.50	  692.86
