Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v30501rb	1	True	practice	1	1	timed_out	15	410	frame_410_15.png	black.jpg	0	  955.10	  850.00	    0.00	0
v30501rb	2	False	practice	1	2	good	15	645	frame_645_15.png	black.jpg	0	  973.70	  695.60	  168.56	  863.92
v30501rb	3	False	practice	1	3	good	15	175	frame_175_15.png	black.jpg	0	  974.70	  695.30	  169.34	  811.79
v30501rb	4	False	practice	1	4	good	-15	645	frame_645_-15.png	black.jpg	0	  967.00	  693.40	  170.95	  792.54
v30501rb	5	False	practice	1	5	good	15	410	frame_410_15.png	black.jpg	0	  966.30	  695.50	  168.62	  765.63
v30501rb	6	False	practice	1	6	good	15	645	frame_645_15.png	black.jpg	0	  990.50	  710.00	  156.99	  789.06
v30501rb	7	False	practice	1	7	good	15	175	frame_175_15.png	black.jpg	0	  953.00	  700.90	  163.25	  741.89
v30501rb	8	False	practice	1	8	good	-15	880	frame_880_-15.png	black.jpg	0	  971.80	  699.00	  165.42	  771.76
v30501rb	9	False	practice	1	9	good	-15	175	frame_175_-15.png	black.jpg	0	  951.20	  694.50	  169.73	  716.60
v30501rb	10	False	practice	1	10	good	-15	410	frame_410_-15.png	black.jpg	0	  978.50	  703.90	  161.17	  633.56
v30501rb	11	False	practice	1	11	good	15	880	frame_880_15.png	black.jpg	0	  966.20	  699.10	  165.02	  670.72
v30501rb	12	False	practice	1	12	good	-15	175	frame_175_-15.png	black.jpg	0	  970.30	  698.20	  166.12	  816.90
v30501rb	13	False	practice	1	13	good	15	880	frame_880_15.png	black.jpg	0	  959.10	  697.10	  166.90	  764.96
v30501rb	14	False	practice	1	14	good	15	410	frame_410_15.png	black.jpg	0	  966.10	  696.50	  167.61	  663.73
v30501rb	15	False	practice	1	15	good	-15	645	frame_645_-15.png	black.jpg	0	  969.70	  693.70	  170.58	  597.40
v30501rb	16	False	practice	1	16	good	-15	410	frame_410_-15.png	black.jpg	0	  970.20	  705.10	  159.23	  634.99
v30501rb	17	False	practice	1	17	good	-15	880	frame_880_-15.png	black.jpg	0	  962.30	  707.70	  156.32	  684.76
v30501rb	18	False	real	1	1	good	15	410	frame_410_15.png	black.jpg	0	  950.00	  706.60	  157.72	  674.19
v30501rb	19	False	real	1	2	good	-15	645	frame_645_-15.png	black.jpg	0	  961.90	  695.20	  168.81	  689.77
v30501rb	20	False	real	1	3	good	15	645	frame_645_15.png	black.jpg	0	  962.90	  706.60	  157.43	  619.14
v30501rb	21	False	real	1	4	good	-15	175	frame_175_-15.png	black.jpg	0	  956.60	  706.10	  157.94	  662.22
v30501rb	22	False	real	1	5	good	-15	880	frame_880_-15.png	black.jpg	0	  962.50	  705.60	  158.42	  581.92
v30501rb	23	False	real	1	6	good	-15	410	frame_410_-15.png	black.jpg	0	  962.00	  714.30	  149.71	  645.39
v30501rb	24	False	real	1	7	good	15	175	frame_175_15.png	black.jpg	0	  953.60	  710.70	  153.43	  553.09
v30501rb	25	False	real	1	8	good	15	880	frame_880_15.png	black.jpg	0	  967.20	  698.40	  165.76	  563.09
v30501rb	26	False	real	2	9	good	-15	880	frame_880_-15.png	black.jpg	0	  960.80	  709.10	  154.90	  558.31
