Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v31016cm	1	True	practice	1	1	timed_out	15	880	frame_880_15.png	black.jpg	0	  993.40	  866.80	    0.00	0
v31016cm	2	True	practice	1	2	timed_out	-15	645	frame_645_-15.png	black.jpg	0	  963.20	  721.50	    0.00	0
v31016cm	3	True	practice	1	3	abort	15	645	frame_645_15.png	black.jpg	0	  981.70	  810.50	    0.00	0
v31016cm	4	False	practice	1	4	good	-15	645	frame_645_-15.png	black.jpg	0	  966.10	  724.00	  140.13	  983.52
v31016cm	5	False	practice	1	5	good	-15	410	frame_410_-15.png	black.jpg	0	  959.90	  721.00	  143.00	  756.75
v31016cm	6	False	practice	1	6	good	15	175	frame_175_15.png	black.jpg	0	  960.20	  717.50	  146.50	  810.51
v31016cm	7	False	practice	1	7	good	-15	645	frame_645_-15.png	black.jpg	0	  947.80	  717.80	  146.71	  869.99
v31016cm	8	False	practice	1	8	good	-15	880	frame_880_-15.png	black.jpg	0	  962.60	  722.40	  141.62	  962.70
v31016cm	9	False	practice	1	9	good	15	410	frame_410_15.png	black.jpg	0	  965.80	  714.20	  149.91	  973.99
v31016cm	10	False	practice	1	10	good	15	645	frame_645_15.png	black.jpg	0	  962.70	  716.70	  147.32	  958.23
v31016cm	11	False	practice	1	11	good	15	645	frame_645_15.png	black.jpg	0	  964.20	  715.80	  147.86	  977.68
v31016cm	12	False	practice	1	12	good	15	175	frame_175_15.png	black.jpg	0	  971.60	  711.50	  152.94	  852.85
v31016cm	13	False	practice	1	13	good	-15	410	frame_410_-15.png	black.jpg	0	  959.90	  712.90	  151.10	  852.70
v31016cm	14	False	practice	1	14	good	-15	175	frame_175_-15.png	black.jpg	0	  958.40	  717.70	  146.31	  893.09
v31016cm	15	False	practice	1	15	good	15	880	frame_880_15.png	black.jpg	0	  948.60	  728.50	  135.98	  838.90
v31016cm	16	False	practice	1	16	good	15	410	frame_410_15.png	black.jpg	0	  961.10	  717.90	  146.10	  994.20
v31016cm	17	False	practice	1	17	good	-15	880	frame_880_-15.png	black.jpg	0	  959.00	  720.60	  143.40	  868.00
v31016cm	18	False	practice	1	18	good	15	880	frame_880_15.png	black.jpg	0	  959.20	  715.10	  148.80	  943.15
v31016cm	19	False	practice	1	19	good	-15	175	frame_175_-15.png	black.jpg	0	  955.00	  713.80	  150.28	  861.97
v31016cm	20	False	real	1	1	good	15	175	frame_175_15.png	black.jpg	0	  967.90	  713.70	  150.51	  947.67
v31016cm	21	False	real	1	2	good	15	880	frame_880_15.png	black.jpg	0	  969.80	  719.50	  144.83	  918.45
v31016cm	22	False	real	1	3	good	-15	175	frame_175_-15.png	black.jpg	0	  964.10	  715.50	  148.56	  793.38
v31016cm	23	False	real	1	4	good	15	645	frame_645_15.png	black.jpg	0	  975.90	  716.20	  148.65	  876.40
v31016cm	24	False	real	1	5	good	-15	880	frame_880_-15.png	black.jpg	0	  959.40	  723.60	  140.40	  754.64
v31016cm	25	False	real	1	6	good	15	410	frame_410_15.png	black.jpg	0	  966.70	  723.70	  140.46	  875.60
v31016cm	26	False	real	1	7	good	-15	410	frame_410_-15.png	black.jpg	0	  966.00	  715.00	  149.12	  985.55
v31016cm	27	False	real	1	8	good	-15	645	frame_645_-15.png	black.jpg	0	  965.90	  718.10	  146.02	  897.52
v31016cm	28	False	real	2	9	good	15	645	frame_645_15.png	black.jpg	0	  964.40	  722.50	  141.57	  987.47
v31016cm	29	False	real	2	10	good	15	410	frame_410_15.png	black.jpg	0	  965.30	  728.70	  135.40	 1054.44
v31016cm	30	False	real	2	11	good	-15	645	frame_645_-15.png	black.jpg	0	  961.40	  720.80	  143.21	  935.43
v31016cm	31	False	real	2	12	good	-15	175	frame_175_-15.png	black.jpg	0	  962.20	  721.00	  143.02	  848.55
v31016cm	32	False	real	2	13	good	-15	880	frame_880_-15.png	black.jpg	0	  965.50	  721.70	  142.41	  753.47
v31016cm	33	False	real	2	14	good	15	880	frame_880_15.png	black.jpg	0	  972.10	  721.40	  143.11	  886.66
v31016cm	34	False	real	2	15	good	-15	410	frame_410_-15.png	black.jpg	0	  960.00	  721.90	  142.10	  916.65
v31016cm	35	False	real	2	16	good	15	175	frame_175_15.png	black.jpg	0	  966.20	  723.90	  140.24	  717.49
v31016cm	36	False	real	3	17	good	-15	175	frame_175_-15.png	black.jpg	0	  962.50	  717.30	  146.72	  929.20
v31016cm	37	False	real	3	18	good	15	175	frame_175_15.png	black.jpg	0	  971.40	  717.80	  146.64	  887.63
