Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v31103is	1	False	practice	1	1	good	-15	410	frame_410_-15.png	black.jpg	0	  948.10	  712.70	  151.77	 1217.49
v31103is	2	True	practice	1	2	timed_out	-15	645	frame_645_-15.png	black.jpg	0	  944.70	  838.00	  102.07	0
v31103is	3	True	practice	1	3	abort	15	645	frame_645_15.png	black.jpg	0	  955.10	  800.60	  102.07	0
v31103is	4	True	practice	1	4	abort	-15	645	frame_645_-15.png	black.jpg	0	  962.70	  817.00	  102.07	0
v31103is	5	False	practice	1	5	good	15	880	frame_880_15.png	black.jpg	0	  966.40	  713.00	  151.14	 1618.66
v31103is	6	False	practice	1	6	good	-15	175	frame_175_-15.png	black.jpg	0	  953.90	  717.20	  146.93	 1586.40
v31103is	7	False	practice	1	7	good	-15	410	frame_410_-15.png	black.jpg	0	  959.60	  730.80	  133.20	 1272.17
v31103is	8	False	practice	1	8	good	-15	880	frame_880_-15.png	black.jpg	0	  957.00	  732.60	  131.43	 1555.03
v31103is	9	False	practice	1	9	good	-15	645	frame_645_-15.png	black.jpg	0	  949.60	  720.40	  143.98	 1433.60
v31103is	10	False	practice	1	10	good	-15	645	frame_645_-15.png	black.jpg	0	  962.70	  722.60	  141.43	 1385.88
v31103is	11	False	practice	1	11	good	-15	880	frame_880_-15.png	black.jpg	0	  950.90	  710.70	  153.17	 1361.08
v31103is	12	False	practice	1	12	good	15	175	frame_175_15.png	black.jpg	0	  955.70	  718.80	  145.26	 1423.33
v31103is	13	False	practice	1	13	good	15	645	frame_645_15.png	black.jpg	0	  946.20	  713.80	  150.83	 1236.73
v31103is	14	False	practice	1	14	good	15	410	frame_410_15.png	black.jpg	0	  950.50	  718.40	  145.91	 1127.89
v31103is	15	False	practice	1	15	good	15	645	frame_645_15.png	black.jpg	0	  955.80	  726.80	  137.26	 1231.12
v31103is	16	False	practice	1	16	good	15	880	frame_880_15.png	black.jpg	0	  942.90	  734.50	  130.62	 1153.68
v31103is	17	False	practice	1	17	good	-15	175	frame_175_-15.png	black.jpg	0	  945.90	  722.00	  142.70	 1148.28
v31103is	18	False	practice	1	18	good	15	175	frame_175_15.png	black.jpg	0	  947.90	  732.00	  132.55	 1381.08
v31103is	19	False	practice	1	19	good	15	410	frame_410_15.png	black.jpg	0	  946.20	  713.80	  150.83	 1355.85
v31103is	20	False	real	1	1	good	15	645	frame_645_15.png	black.jpg	0	  958.50	  718.60	  145.41	 1173.23
v31103is	21	False	real	1	2	good	15	880	frame_880_15.png	black.jpg	0	  969.70	  726.30	  138.04	 1250.90
v31103is	22	False	real	1	3	good	-15	410	frame_410_-15.png	black.jpg	0	  974.70	  736.90	  127.95	 1958.16
v31103is	23	False	real	1	4	good	-15	880	frame_880_-15.png	black.jpg	0	  968.20	  716.20	  148.03	 1073.31
v31103is	24	False	real	1	5	good	15	410	frame_410_15.png	black.jpg	0	  976.00	  719.40	  145.48	 1208.36
v31103is	25	False	real	1	6	good	15	175	frame_175_15.png	black.jpg	0	  973.50	  725.10	  139.55	 1977.08
v31103is	26	False	real	1	7	good	-15	175	frame_175_-15.png	black.jpg	0	  979.70	  709.60	  155.65	 1519.23
v31103is	27	False	real	1	8	good	-15	645	frame_645_-15.png	black.jpg	0	  988.20	  716.70	  149.98	 1295.26
v31103is	28	False	real	2	9	good	15	410	frame_410_15.png	black.jpg	0	  983.10	  720.80	  145.05	 1309.12
v31103is	29	False	real	2	10	good	-15	175	frame_175_-15.png	black.jpg	0	  973.60	  733.00	  131.70	 1211.05
v31103is	30	False	real	2	11	good	-15	645	frame_645_-15.png	black.jpg	0	  961.20	  723.70	  140.31	 1348.04
v31103is	31	False	real	2	12	good	-15	880	frame_880_-15.png	black.jpg	0	  966.50	  723.10	  141.05	 1021.35
v31103is	32	False	real	2	13	good	15	175	frame_175_15.png	black.jpg	0	  963.80	  715.40	  148.65	 1115.25
v31103is	33	False	real	2	14	good	15	880	frame_880_15.png	black.jpg	0	  974.40	  724.50	  140.24	 1095.29
v31103is	34	False	real	2	15	good	15	645	frame_645_15.png	black.jpg	0	  990.70	  713.80	  153.31	 1238.09
v31103is	35	False	real	2	16	good	-15	410	frame_410_-15.png	black.jpg	0	  957.90	  744.40	  119.62	 1723.17
v31103is	36	False	real	3	17	good	15	175	frame_175_15.png	black.jpg	0	  971.10	  725.70	  138.74	 1473.06
v31103is	37	False	real	3	18	good	-15	175	frame_175_-15.png	black.jpg	0	  959.90	  728.00	  136.00	 1262.29
v31103is	38	False	real	3	19	good	15	880	frame_880_15.png	black.jpg	0	  975.50	  742.20	  122.78	 1096.12
v31103is	39	False	real	3	20	good	-15	410	frame_410_-15.png	black.jpg	0	  963.50	  726.50	  137.54	 1304.26
v31103is	40	False	real	3	21	good	-15	880	frame_880_-15.png	black.jpg	0	  956.70	  726.30	  137.74	  974.39
v31103is	41	False	real	3	22	good	-15	645	frame_645_-15.png	black.jpg	0	  948.90	  720.50	  143.93	 1380.23
v31103is	42	False	real	3	23	good	15	410	frame_410_15.png	black.jpg	0	  962.70	  718.20	  145.82	 1350.02
v31103is	43	False	real	3	24	good	15	645	frame_645_15.png	black.jpg	0	  968.10	  722.10	  142.13	 1394.62
v31103is	44	False	real	4	25	good	-15	645	frame_645_-15.png	black.jpg	0	  970.70	  710.50	  153.87	 1212.97
v31103is	45	True	real	4	26	timed_out	15	410	frame_410_15.png	black.jpg	0	 1024.90	 1052.20	  117.60	0
v31103is	46	False	real	4	27	good	-15	410	frame_410_-15.png	black.jpg	0	  956.70	  727.90	  136.14	 1183.02
v31103is	47	False	real	4	28	good	-15	880	frame_880_-15.png	black.jpg	0	  970.70	  727.00	  137.42	 1148.23
v31103is	48	False	real	4	29	good	-15	175	frame_175_-15.png	black.jpg	0	  959.30	  720.00	  144.00	 1420.16
v31103is	49	False	real	4	30	good	15	410	frame_410_15.png	black.jpg	0	  964.80	  728.70	  135.39	 1405.33
v31103is	50	True	real	4	31	timed_out	15	645	frame_645_15.png	black.jpg	0	-32768	-32768	  284.65	0
v31103is	51	False	real	4	32	good	15	175	frame_175_15.png	black.jpg	0	  970.80	  727.90	  136.53	 1256.27
