Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	BLOCK_NUMBER	TRIAL_NUMBER	TRIAL_OUTCOME	FRAME_TILT_VAL	FRAME_SIZE_VAL	FRAME_NAME	ROD_VAL	DELAY_VAL	EYE_X	EYE_Y	EYE_AMPLITUDE	REACTION_TIME
v31121mm	1	False	practice	1	1	good	-15	645	frame_645_-15.png	black.jpg	0	  955.70	  725.80	  137.97	 1532.03
v31121mm	2	True	practice	1	2	abort	15	645	frame_645_15.png	black.jpg	0	  957.10	  896.40	  137.97	0
v31121mm	3	False	practice	1	3	good	-15	880	frame_880_-15.png	black.jpg	0	  956.10	  722.40	  141.65	  923.05
v31121mm	4	False	practice	1	4	good	-15	175	frame_175_-15.png	black.jpg	0	  964.60	  721.30	  142.77	  919.39
v31121mm	5	False	practice	1	5	good	15	175	frame_175_15.png	black.jpg	0	  953.80	  736.60	  127.55	  898.90
v31121mm	6	False	practice	1	6	good	-15	175	frame_175_-15.png	black.jpg	0	  961.40	  731.50	  132.51	  666.36
v31121mm	7	False	practice	1	7	good	-15	645	frame_645_-15.png	black.jpg	0	  963.40	  721.50	  142.54	 1013.24
v31121mm	8	True	practice	1	8	abort	-15	410	frame_410_-15.png	black.jpg	0	  958.70	  899.10	  142.54	0
v31121mm	9	False	practice	1	9	good	15	410	frame_410_15.png	black.jpg	0	  956.80	  720.00	  144.04	 1087.65
v31121mm	10	False	practice	1	10	good	15	410	frame_410_15.png	black.jpg	0	  959.30	  716.00	  148.00	 1126.13
v31121mm	11	False	practice	1	11	good	15	880	frame_880_15.png	black.jpg	0	  971.30	  729.40	  135.07	 1184.74
v31121mm	12	False	practice	1	12	good	-15	880	frame_880_-15.png	black.jpg	0	  948.00	  723.60	  140.91	  931.23
v31121mm	13	False	practice	1	13	good	15	645	frame_645_15.png	black.jpg	0	  967.10	  723.20	  140.98	 1060.85
v31121mm	14	True	practice	1	14	abort	-15	410	frame_410_-15.png	black.jpg	0	  951.60	  895.70	  140.98	0
v31121mm	15	False	practice	1	15	good	15	645	frame_645_15.png	black.jpg	0	  956.00	  721.40	  142.66	  886.69
v31121mm	16	False	practice	1	16	good	15	175	frame_175_15.png	black.jpg	0	  952.60	  724.50	  139.70	  855.26
v31121mm	17	False	practice	1	17	good	-15	410	frame_410_-15.png	black.jpg	0	  962.70	  739.10	  124.93	 1041.87
v31121mm	18	False	practice	1	18	good	15	880	frame_880_15.png	black.jpg	0	  971.40	  726.00	  138.47	  991.06
v31121mm	19	False	practice	1	19	good	-15	410	frame_410_-15.png	black.jpg	0	  967.40	  722.00	  142.19	  911.36
v31121mm	20	False	real	1	1	good	-15	880	frame_880_-15.png	black.jpg	0	  960.70	  708.80	  155.20	  928.24
v31121mm	21	False	real	1	2	good	-15	645	frame_645_-15.png	black.jpg	0	  959.50	  707.20	  156.80	  762.33
v31121mm	22	False	real	1	3	good	15	880	frame_880_15.png	black.jpg	0	  972.80	  714.40	  150.15	 1006.31
v31121mm	23	True	real	1	4	abort	-15	175	frame_175_-15.png	black.jpg	0	  968.10	  780.70	  150.15	0
v31121mm	24	False	real	1	5	good	15	410	frame_410_15.png	black.jpg	0	  983.60	  727.30	  138.72	 1150.30
v31121mm	25	True	real	1	6	abort	-15	410	frame_410_-15.png	black.jpg	0	  956.20	  898.50	  138.72	0
v31121mm	26	False	real	1	7	good	15	645	frame_645_15.png	black.jpg	0	  977.40	  708.50	  156.47	  848.08
v31121mm	27	False	real	1	8	good	-15	410	frame_410_-15.png	black.jpg	0	  960.80	  726.50	  137.50	 1248.36
v31121mm	28	False	real	1	9	good	-15	175	frame_175_-15.png	black.jpg	0	  950.00	  719.70	  144.65	  869.30
v31121mm	29	True	real	1	10	abort	15	175	frame_175_15.png	black.jpg	0	  948.10	  894.50	  144.65	0
v31121mm	30	False	real	1	11	good	15	175	frame_175_15.png	black.jpg	0	  985.40	  717.70	  148.49	  838.28
v31121mm	31	False	real	2	12	good	-15	645	frame_645_-15.png	black.jpg	0	  978.20	  711.00	  154.08	 1157.38
v31121mm	32	False	real	2	13	good	15	175	frame_175_15.png	black.jpg	0	  954.50	  701.80	  162.29	 1037.26
v31121mm	33	False	real	2	14	good	15	645	frame_645_15.png	black.jpg	0	  951.40	  703.50	  160.73	 1207.02
v31121mm	34	False	real	2	15	good	15	880	frame_880_15.png	black.jpg	0	  979.20	  721.60	  143.69	 1053.95
v31121mm	35	False	real	2	16	good	-15	880	frame_880_-15.png	black.jpg	0	  963.10	  708.90	  155.13	 1067.27
v31121mm	36	False	real	2	17	good	-15	410	frame_410_-15.png	black.jpg	0	  962.10	  728.40	  135.62	 1176.10
v31121mm	37	False	real	2	18	good	15	410	frame_410_15.png	black.jpg	0	  972.00	  735.00	  129.56	 1534.01
v31121mm	38	False	real	2	19	good	-15	175	frame_175_-15.png	black.jpg	0	  978.10	  723.90	  141.26	 1342.31
v31121mm	39	False	real	3	20	good	-15	645	frame_645_-15.png	black.jpg	0	 1009.80	  719.60	  152.75	 1161.20
v31121mm	40	False	real	3	21	good	15	410	frame_410_15.png	black.jpg	0	  964.70	  726.40	  137.68	 1596.37
v31121mm	41	False	real	3	22	good	-15	410	frame_410_-15.png	black.jpg	0	  957.40	  723.80	  140.22	 1412.29
v31121mm	42	False	real	3	23	good	15	645	frame_645_15.png	black.jpg	0	  966.00	  723.40	  140.73	 1675.33
v31121mm	43	False	real	3	24	good	-15	175	frame_175_-15.png	black.jpg	0	  950.30	  738.10	  126.27	 1166.18
