"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,8.60318522660132,-2.14758154522037,2.89305143073055
"pse...2",-10.1154731540009,0.792240034788847,8.60318551737759,-2.1469177485099,2.89164412830814
"pse...3",-14.088248074986,0.241769740357995,8.60318524380975,-2.14731333843691,2.89384732144796
"pse...4",-2.21503028646111,1.23571576131508,8.6031852331638,-2.146939920583,2.89310403909801
"pse...5",-7.10375221911818,0.952647742349654,8.60318599610683,-2.14919775646461,2.89326813341638
"pse...6",10.8695699600503,0.297757264226675,8.6031859097406,-2.14877768493234,2.89524259053077
"pse...7",-9.58709761267528,1.99854662409052,8.60318524764151,-2.14686838422016,2.89299201373652
"pse...8",10.252235471271,0.285298119764775,8.60318524585137,-2.14757168250799,2.89386763301109
"pse...9",-4.65454840566963,1.77925090771168,8.60318527393431,-2.14690286819446,2.8936385791494
"pse...10",-5.40455113397911,1.41803166735917,8.60318530069309,-2.1466433730154,2.892999919
"pse...11",3.8445515697822,0.87634513201192,8.60318528280146,-2.14715774994068,2.8924422434194
"pse...12",-4.80311915511265,1.86618517432362,8.60318521989997,-2.14719691411936,2.89287938333838
"pse...13",6.38863236643374,1.26170374592766,8.60318528607054,-2.14672335581765,2.89281498643188
"pse...14",7.39348310278729,0.22290057502687,8.60318560768631,-2.14871870600911,2.89373916830024
"pse...15",-6.80134454509243,0.197036178316921,8.603185397282,-2.14674280308953,2.89207925343686
"pse...16",7.7258844813332,1.32718420773745,8.60318535573737,-2.14795837998614,2.89425018262889
"pse...17",6.73083281842992,0.917893062811345,8.60318526545815,-2.14746195858883,2.8940123451611
"pse...18",5.23195741698146,1.40102722961456,8.60318524087169,-2.1471960174504,2.8937577250204
"pse...19",9.45216655964032,1.38236297573894,8.60318545696452,-2.14811315938744,2.89455331687475
"pse...20",6.49237031349912,1.7811597827822,8.60318538931107,-2.14826729279015,2.89377416292735
"pse...21",-4.79109353385866,1.33712569065392,8.60318525376864,-2.14771415927273,2.89299825552661
"pse...22",-3.47238088957965,0.470226733479649,8.60318526705139,-2.14748123260205,2.89402183821427
"pse...23",11.6549108549953,1.60290331766009,8.6031854335796,-2.1465732038866,2.89393452070216
"pse...24",2.89283210411668,1.95403548283502,8.60318527097949,-2.14693949315972,2.89258863810413
"pse...25",-5.15685097547248,1.61036005662754,8.60318529808559,-2.14794619205708,2.89386461539155
"pse...26",-14.030538580846,0.896579755470157,8.60318525217873,-2.14780821842546,2.89360633806197
"pse...27",-7.0580484601669,0.818535035476089,8.60318535032487,-2.14652150553841,2.89327744564608
"pse...28",-9.16209599236026,1.08697502827272,8.60318597360434,-2.14608229664419,2.89096179074528
"pse...29",13.0531110288575,1.54807522054762,8.60318526893406,-2.14786065523468,2.89372883492245
"pse...30",14.9064975022338,1.6452516829595,8.60318544342966,-2.14738443668138,2.89191807104475
"pse...31",-3.24883968103677,0.770498960278928,8.60318522631998,-2.1470718425546,2.89347859774888
"pse...32",11.9741340028122,0.637706046923995,8.60318536195672,-2.14787760235395,2.89434734943873
"pse...33",-8.73934552771971,1.12835434125736,8.60318530285315,-2.14671047074839,2.8926468331591
"pse...34",-0.537466944660991,0.13022926542908,8.60318522638743,-2.14751847546441,2.89296490394717
"pse...35",-7.16167943319306,0.660671283490956,8.60318526025644,-2.14718986492892,2.8925656906253
"pse...36",-5.0830762507394,0.18470659153536,8.60318528075088,-2.14718190410392,2.89245304428297
"pse...37",5.81980582326651,0.232979252003133,8.60318530678462,-2.14768107984776,2.89260934117761
"pse...38",11.1179193668067,0.257341200485826,8.60318524318941,-2.1477402137708,2.89318781014206
"pse...39",10.0613391492516,0.475383792072535,8.60318533734204,-2.14699920074688,2.89221300046443
"pse...40",-1.48744178703055,1.66859723208472,8.60318522431764,-2.14742305195683,2.89371961655978
"pse...41",4.97390852775425,1.08823836874217,8.60318523598201,-2.14718846222978,2.89273088581998
"pse...42",4.86875790869817,1.74702454963699,8.60318528424545,-2.147922556283,2.89376071083123
"pse...43",5.05164217902347,0.427090503741056,8.60318529146843,-2.14758192788937,2.89414265674446
"pse...44",-2.42776960367337,0.925551891792566,8.60318523029337,-2.14696093560132,2.89320952475831
"pse...45",3.56426098616794,0.967452389188111,8.60318527949532,-2.1479088335425,2.89323038483468
"pse...46",7.68813236150891,0.443223801441491,8.60318526387871,-2.14679880729388,2.89292091648597
"pse...47",14.7353828768246,1.95945909665897,8.60318524108522,-2.14691339908618,2.89295778292009
"pse...48",10.7708918815479,0.483028418850154,8.60318523148119,-2.14758801481101,2.89300527627677
"pse...49",3.93997715553269,1.48809128301218,8.60318521067938,-2.14720149599725,2.89345031935487
"pse...50",8.23211068287492,1.34967308910564,8.60318529583851,-2.1468976501353,2.8924592830604
"pse...51",7.40335321985185,1.94818443665281,8.60318526925883,-2.14780885908579,2.89304921822585
"pse...52",-10.8701321901754,1.49083702685311,8.60318534239084,-2.14722802571481,2.89219312687303
"pse...53",-4.91306316806003,1.29541683150455,8.60318531829123,-2.14794278452587,2.89294716587269
"pse...54",11.4502522791736,0.856978599913418,8.60318526849789,-2.14692798206795,2.89363983599689
"pse...55",13.3049145620316,0.505520246457309,8.60318522759007,-2.14741429194063,2.89374926607036
"pse...56",14.6616448508576,1.8122444706969,8.6031857514332,-2.14731047860645,2.89119277080387
"pse...57",-14.4168034312315,1.10677122045308,8.60318523595534,-2.14767499088,2.89311656468121
"pse...58",-4.75212800083682,1.26142082549632,8.60318521365411,-2.14755504605114,2.89322225501777
"pse...59",3.54894902324304,1.8458823855035,8.60318524204995,-2.14750524694546,2.89385901905025
"pse...60",7.70932551473379,0.504852851387113,8.60318523192106,-2.1476686233859,2.8936306916191
"pse...61",10.1540609216318,0.877452055457979,8.60318535193259,-2.14757309754472,2.89232017247264
"pse...62",-3.35457114502788,1.30771703599021,8.60318523219386,-2.1471841757908,2.89276266109041
"pse...63",-14.1814183071256,0.772552878130227,8.6031853300103,-2.14656457732773,2.8931990009454
"pse...64",-11.3923907722346,0.298589018173516,8.60318527386244,-2.14674303360044,2.89308978263193
"pse...65",10.5546809127554,1.64232668047771,8.60318539728902,-2.14661494489948,2.89384630721045
"pse...66",-1.58624636242166,1.76318219350651,8.60318525144203,-2.14686416556438,2.89329631739252
"pse...67",9.02730766218156,0.946886072400957,8.60318524590461,-2.14779305589922,2.89343981949845
"pse...68",-4.34705653460696,1.51056965626776,8.60318520988341,-2.14722072103728,2.89300804603208
"pse...69",10.5775444814935,0.197961130645126,8.6031854797463,-2.14842207242128,2.89320496023212
"pse...70",9.67875403119251,1.63090453203768,8.60318563415474,-2.14870658754415,2.89325830089998
