"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,6.94435338290199,1.31194506482143,2.95689146914946
"pse...2",-10.1154731540009,0.792240034788847,6.94435343325356,1.31135269389091,2.95437461338619
"pse...3",-14.088248074986,0.241769740357995,6.94435341726699,1.31194544625477,2.95453113910582
"pse...4",-2.21503028646111,1.23571576131508,6.9443535761132,1.31304848165657,2.95655781571395
"pse...5",-7.10375221911818,0.952647742349654,6.94435368794622,1.31305938423173,2.95491903654796
"pse...6",10.8695699600503,0.297757264226675,6.94435335356589,1.31224221076893,2.95644590894239
"pse...7",-9.58709761267528,1.99854662409052,6.94435337426284,1.31211035574728,2.95496519872435
"pse...8",10.252235471271,0.285298119764775,6.94435331816241,1.31200542870186,2.95544282784534
"pse...9",-4.65454840566963,1.77925090771168,6.94435339447713,1.31253547426991,2.95604609240025
"pse...10",-5.40455113397911,1.41803166735917,6.94435335327947,1.31123044519775,2.95530249289688
"pse...11",3.8445515697822,0.87634513201192,6.94435339113601,1.31161270326071,2.95456886375782
"pse...12",-4.80311915511265,1.86618517432362,6.944353488364,1.3111493428568,2.95687530440498
"pse...13",6.38863236643374,1.26170374592766,6.94435334397305,1.31138847267888,2.95507972258284
"pse...14",7.39348310278729,0.22290057502687,6.94435336216358,1.31238510004088,2.95580667324987
"pse...15",-6.80134454509243,0.197036178316921,6.94435340541506,1.31112324606418,2.95480827089049
"pse...16",7.7258844813332,1.32718420773745,6.94435336961873,1.31225269227517,2.95662155190884
"pse...17",6.73083281842992,0.917893062811345,6.94435332503901,1.31138032419962,2.95562220616046
"pse...18",5.23195741698146,1.40102722961456,6.9443533297685,1.31220600229629,2.95598907801782
"pse...19",9.45216655964032,1.38236297573894,6.9443533934331,1.31109295562319,2.95600470306218
"pse...20",6.49237031349912,1.7811597827822,6.94435334242567,1.31143573917726,2.9550425180155
"pse...21",-4.79109353385866,1.33712569065392,6.9443533805032,1.31242036258478,2.95555302223054
"pse...22",-3.47238088957965,0.470226733479649,6.94435346118292,1.31193847954686,2.95733039085068
"pse...23",11.6549108549953,1.60290331766009,6.9443535111773,1.31135759895988,2.95397756829791
"pse...24",2.89283210411668,1.95403548283502,6.94435334550862,1.31226171466613,2.95626413385225
"pse...25",-5.15685097547248,1.61036005662754,6.94435336592444,1.31149776183098,2.95654446945848
"pse...26",-14.030538580846,0.896579755470157,6.94435332636175,1.31153332639181,2.95516349301584
"pse...27",-7.0580484601669,0.818535035476089,6.9443534511204,1.31234345097088,2.95715842950661
"pse...28",-9.16209599236026,1.08697502827272,6.94435343315619,1.31171905503924,2.95713095426677
"pse...29",13.0531110288575,1.54807522054762,6.94435335736095,1.31134710506457,2.95496928633618
"pse...30",14.9064975022338,1.6452516829595,6.94435334325377,1.31127047135131,2.95573227768156
"pse...31",-3.24883968103677,0.770498960278928,6.94435334713747,1.31231157573771,2.95583466199514
"pse...32",11.9741340028122,0.637706046923995,6.94435352892854,1.31071579785596,2.9561639998256
"pse...33",-8.73934552771971,1.12835434125736,6.9443533587937,1.31121902014777,2.95521624775474
"pse...34",-0.537466944660991,0.13022926542908,6.94435332865207,1.31209039293809,2.95631298026605
"pse...35",-7.16167943319306,0.660671283490956,6.94435339071043,1.311351806222,2.95655300182611
"pse...36",-5.0830762507394,0.18470659153536,6.94435342099362,1.31114753856563,2.95643601871243
"pse...37",5.81980582326651,0.232979252003133,6.94435333086719,1.3122118162606,2.9558111555969
"pse...38",11.1179193668067,0.257341200485826,6.94435334894634,1.31123828856284,2.95540618018546
