"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,7.23476159920448,-2.73445399843022,1.05648517529695
"pse...2",-10.1154731540009,0.792240034788847,7.23476148885047,-2.73455955193822,1.05661043689526
"pse...3",-14.088248074986,0.241769740357995,7.23476177966273,-2.73430888379271,1.05638911801689
"pse...4",-2.21503028646111,1.23571576131508,7.23476145500023,-2.73472321480101,1.05667827959209
"pse...5",-7.10375221911818,0.952647742349654,7.23476150579951,-2.73488416311102,1.05671000892517
"pse...6",10.8695699600503,0.297757264226675,7.23476192221099,-2.73415596571898,1.05711996258169
"pse...7",-9.58709761267528,1.99854662409052,7.23476147986097,-2.73482267769398,1.05692804712035
"pse...8",10.252235471271,0.285298119764775,7.23476169303455,-2.73443463397637,1.05637771304191
"pse...9",-4.65454840566963,1.77925090771168,7.23476145826312,-2.73477179314903,1.05690570774141
"pse...10",-5.40455113397911,1.41803166735917,7.23476152528965,-2.73442249033982,1.05686382726169
"pse...11",3.8445515697822,0.87634513201192,7.23476148896428,-2.73482171583426,1.05696072811942
"pse...12",-4.80311915511265,1.86618517432362,7.23476159467867,-2.73437198244895,1.0565980961826
"pse...13",6.38863236643374,1.26170374592766,7.2347615042913,-2.73455099765864,1.05701022864257
"pse...14",7.39348310278729,0.22290057502687,7.23476165436221,-2.73453223165783,1.0563702431637
"pse...15",-6.80134454509243,0.197036178316921,7.23476152415165,-2.73475358949675,1.05653124351834
"pse...16",7.7258844813332,1.32718420773745,7.23476150054467,-2.7345043869814,1.05663263290098
"pse...17",6.73083281842992,0.917893062811345,7.23476170500706,-2.73424277949554,1.05691955386315
"pse...18",5.23195741698146,1.40102722961456,7.23476153532352,-2.73487360474949,1.05660341091829
"pse...19",9.45216655964032,1.38236297573894,7.23476203515177,-2.73467122437549,1.05605350734238
"pse...20",6.49237031349912,1.7811597827822,7.23476148338129,-2.73483884172665,1.05670517539766
"pse...21",-4.79109353385866,1.33712569065392,7.23476151802389,-2.73488895820549,1.05667368443974
"pse...22",-3.47238088957965,0.470226733479649,7.23476147883969,-2.73455320796862,1.05694751187429
"pse...23",11.6549108549953,1.60290331766009,7.2347614690458,-2.73483124992109,1.05678279366192
"pse...24",2.89283210411668,1.95403548283502,7.23476167336036,-2.73501961170456,1.05708773666464
"pse...25",-5.15685097547248,1.61036005662754,7.23476147209488,-2.73452757320425,1.0567029266371
"pse...26",-14.030538580846,0.896579755470157,7.23476145152764,-2.73474346278663,1.05690284500722
"pse...27",-7.0580484601669,0.818535035476089,7.23476150635885,-2.73446115840518,1.05668846421936
"pse...28",-9.16209599236026,1.08697502827272,7.2347614455383,-2.73458325288128,1.05679935869775
"pse...29",13.0531110288575,1.54807522054762,7.23476156889869,-2.73460474629348,1.05645270944167
"pse...30",14.9064975022338,1.6452516829595,7.23476153197903,-2.73453927503784,1.05653347191605
